POA_CODE_2016,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
POA2612,60,175,7,12,27,3,0,0,6,294,56,249,23,9,25,7,3,11,8,392,109,169,44,19,29,8,3,9,10,407,22,24,22,9,10,9,3,11,3,107,3,18,5,0,10,3,0,3,0,46,14,94,0,15,5,0,0,8,5,143,15,48,0,16,9,0,0,3,0,94,245,268,15,57,96,28,6,38,19,778,287,558,17,74,120,23,8,24,22,1127,31,67,19,15,13,5,0,6,4,166,27,6,31,9,5,0,0,10,4,86,0,0,0,0,0,0,0,0,0,0,28,23,7,11,11,0,0,0,3,77,6,18,6,3,6,3,0,3,9,50,904,1710,197,262,365,96,26,125,96,3776,52,129,13,21,25,10,0,8,6,261,23,41,3,9,5,0,0,0,0,78,18,38,0,3,4,4,3,3,0,67,8,23,4,0,7,0,0,0,0,48,14,20,7,7,15,0,0,4,0,56
POA2614,58,209,14,10,27,6,3,3,12,347,66,228,27,10,32,3,5,19,15,414,85,143,143,25,29,13,16,22,8,490,46,31,113,9,9,4,10,21,0,243,23,29,20,6,11,3,3,0,4,101,16,91,6,20,8,3,8,3,0,154,27,101,0,6,8,0,3,5,3,160,181,168,17,19,92,37,24,30,21,582,146,293,18,94,71,17,14,7,14,679,26,87,15,11,14,3,0,10,6,160,7,4,63,3,3,7,3,8,0,103,0,0,0,0,0,0,0,0,0,4,9,8,8,4,10,4,4,0,0,57,3,10,3,3,3,4,0,14,9,60,703,1407,461,220,329,106,85,144,103,3552,59,120,20,14,41,4,0,3,6,268,21,49,6,3,14,9,0,3,4,114,11,19,3,3,8,0,0,3,0,58,8,24,6,0,9,4,0,0,0,42,21,31,5,8,12,3,0,4,3,83
POA2615,87,205,35,25,38,9,7,7,14,439,150,508,82,19,57,21,22,13,26,897,189,236,665,69,95,44,119,89,22,1533,106,47,484,22,30,16,35,67,15,812,30,37,95,7,18,6,3,24,8,225,35,114,15,54,23,8,6,10,3,265,37,196,8,28,15,3,3,10,4,316,290,336,62,71,263,84,43,54,42,1248,171,328,37,194,138,22,20,44,43,1001,43,126,34,24,30,21,10,6,3,293,40,11,157,27,27,16,23,17,3,320,0,0,3,0,0,0,0,4,0,6,20,27,12,15,18,6,14,11,6,120,16,19,32,15,14,3,12,17,28,161,1223,2194,1705,565,782,258,322,378,210,7641,57,158,40,37,69,15,0,6,6,390,28,90,10,12,42,12,0,0,9,199,10,31,12,5,23,4,7,3,0,98,17,27,10,0,17,4,0,3,3,78,16,31,24,8,32,6,3,4,0,122
POA2617,56,241,30,11,47,15,3,16,11,428,139,477,69,29,53,24,9,19,13,840,158,306,321,27,79,33,38,58,11,1040,91,24,260,15,12,13,12,37,8,479,14,30,40,3,17,3,3,10,3,140,23,159,7,56,11,3,0,3,8,272,23,135,3,20,6,0,3,12,5,211,328,360,70,63,238,77,19,58,22,1231,194,419,27,155,133,36,20,31,28,1033,40,77,25,23,27,22,12,12,7,241,30,9,100,22,17,14,11,15,3,214,0,0,0,0,0,0,0,0,0,3,26,16,14,13,17,0,3,8,11,106,8,15,24,7,6,3,11,6,13,96,1123,2274,987,452,665,251,156,285,150,6343,64,166,19,30,53,10,0,3,3,348,32,128,22,15,24,9,0,4,6,234,9,56,10,8,20,10,0,3,4,117,9,19,6,0,17,6,0,4,0,57,10,25,15,4,24,3,0,6,0,88
POA2618,0,3,3,0,0,0,0,0,0,11,3,3,0,0,0,0,0,0,0,12,15,10,17,4,3,4,7,3,0,69,22,0,30,0,0,3,3,7,0,64,4,0,9,0,0,0,0,3,0,17,3,3,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,8,12,11,0,0,3,3,0,0,0,27,9,19,0,7,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,79,60,65,17,11,14,11,17,3,268,3,5,0,3,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,10
POA2900,0,6,0,0,0,0,0,0,0,12,17,100,7,0,3,3,0,0,7,136,5,43,16,0,3,3,3,4,0,77,4,4,10,0,0,0,0,0,0,16,0,0,3,0,0,0,0,0,0,3,0,16,0,0,0,0,0,0,0,17,3,8,0,3,0,0,0,0,0,12,14,22,4,3,14,3,5,0,0,66,3,12,3,10,12,0,0,0,3,39,0,7,0,0,3,0,0,0,0,15,0,0,7,0,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,55,212,54,24,42,16,6,10,5,423,3,11,0,0,9,0,0,0,0,21,0,24,3,0,3,0,0,0,0,31,4,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
POA2902,26,73,7,9,11,3,0,4,11,146,65,162,20,9,20,3,0,6,3,290,80,91,194,26,48,18,31,40,15,545,47,24,149,4,12,3,5,27,4,268,12,13,15,0,5,0,3,5,3,54,10,49,9,16,4,0,0,3,0,95,14,66,5,10,4,3,3,0,0,94,122,125,10,19,65,15,6,4,8,383,74,116,12,63,44,9,8,8,11,342,9,57,15,3,19,5,0,6,7,119,16,0,54,3,5,5,3,10,0,100,0,0,0,0,0,0,0,0,0,0,4,10,3,3,5,0,0,0,3,34,5,4,9,3,3,0,4,0,7,46,488,788,502,164,246,74,64,113,71,2511,24,52,10,11,34,0,3,0,5,134,19,24,5,3,6,0,0,0,3,61,3,12,4,4,3,0,0,0,0,31,6,5,0,0,0,0,0,0,0,12,4,11,9,0,5,0,0,0,0,32
POA2903,22,44,3,3,12,3,0,0,0,89,34,105,17,0,9,3,0,3,10,182,37,64,108,16,20,11,25,12,4,306,21,5,85,3,9,0,5,12,4,149,11,9,9,0,3,0,0,0,0,31,8,39,0,8,3,0,0,0,3,64,9,36,3,10,8,0,0,0,3,67,87,83,14,15,57,19,8,3,8,292,55,71,6,46,24,4,8,5,6,231,6,25,11,3,3,10,4,3,0,66,6,0,17,0,4,3,3,0,0,45,0,0,0,0,0,0,0,0,0,0,4,4,8,0,4,0,4,0,0,28,7,5,6,4,0,0,3,5,4,35,310,503,289,118,153,54,61,57,45,1581,11,31,3,3,8,3,0,0,0,60,11,22,3,0,6,5,0,0,4,49,0,9,3,0,0,0,0,3,0,16,0,0,0,0,6,0,0,0,0,8,0,9,3,3,9,0,0,0,0,18
POA2904,32,55,7,8,7,0,0,3,3,116,61,168,14,3,22,4,3,0,9,289,93,99,193,21,43,16,27,33,14,533,49,20,140,9,13,4,4,20,4,258,12,9,15,5,3,0,0,3,3,50,15,55,3,9,5,3,0,0,3,94,10,58,3,8,9,0,0,0,0,92,142,123,9,16,88,19,14,6,8,433,84,114,9,53,46,4,6,3,10,328,13,33,8,3,10,4,0,3,0,70,11,0,26,7,6,4,5,4,4,71,0,0,0,0,0,0,0,0,0,3,13,9,6,8,7,3,0,0,0,43,5,5,8,5,0,0,4,4,12,41,542,742,446,159,263,62,62,87,64,2424,29,44,7,7,20,3,0,0,0,115,12,33,3,0,13,3,0,0,3,73,3,7,4,3,0,3,3,3,0,22,0,5,0,0,5,0,0,0,0,16,9,6,3,3,6,4,0,0,0,27
POA2905,45,78,18,10,17,3,3,8,0,186,90,317,60,10,39,12,7,10,19,569,157,183,594,48,71,35,97,83,32,1304,92,17,392,13,25,15,25,68,8,648,5,14,51,9,16,3,13,19,3,128,13,60,4,28,5,3,6,0,3,130,14,103,3,18,12,3,6,5,0,171,230,210,40,53,151,49,31,20,26,807,99,127,22,132,88,25,16,19,13,535,26,44,22,8,13,14,0,5,3,137,21,3,100,18,21,13,23,16,3,211,0,0,0,0,0,0,0,3,0,7,12,14,12,13,4,3,8,5,3,76,18,5,34,17,9,6,16,8,21,129,824,1188,1339,372,478,182,246,268,142,5034,20,70,10,11,42,3,0,0,12,172,24,71,7,6,27,3,0,0,0,137,5,16,11,11,11,7,4,4,0,72,3,10,3,3,5,3,0,3,0,34,4,7,7,0,16,3,0,0,3,52
POA2906,21,44,10,3,6,0,0,3,3,94,61,199,38,17,22,9,8,3,8,360,103,128,318,26,62,10,59,36,16,766,37,9,221,0,15,5,21,30,8,345,5,3,19,0,9,0,0,7,0,57,14,42,4,28,13,0,0,5,0,107,8,45,6,12,5,0,0,0,0,77,156,102,19,16,107,27,7,8,22,469,42,87,20,79,35,13,9,0,15,301,19,27,14,11,13,3,0,6,3,100,23,3,63,9,10,8,9,16,3,140,0,0,0,0,0,0,0,0,0,0,11,7,3,3,9,3,4,0,6,49,9,5,19,3,11,0,10,7,15,74,511,714,754,207,307,83,135,135,98,2946,15,27,10,8,23,6,0,5,0,94,23,37,7,8,12,4,0,0,3,93,7,8,4,0,16,5,0,3,0,47,3,6,3,0,6,3,0,0,0,23,5,10,4,0,5,0,3,0,0,29
POA2911,9,32,0,4,7,0,0,0,0,55,32,144,16,3,13,7,4,0,7,228,27,52,35,4,10,4,0,5,0,144,30,12,39,3,3,0,0,9,0,92,3,5,0,0,0,0,0,3,0,17,0,31,0,11,3,0,4,0,0,45,0,21,0,0,3,0,0,0,0,24,67,74,17,6,46,17,5,5,3,238,24,42,7,28,9,5,3,7,5,125,3,20,0,3,3,0,0,0,3,36,4,3,18,9,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,9,5,0,3,0,0,0,0,0,23,0,3,3,0,0,0,0,0,4,11,216,439,132,72,99,28,19,33,28,1073,10,27,3,8,20,0,0,0,4,67,13,37,0,0,4,3,0,0,3,65,0,15,0,0,0,0,0,0,0,24,0,6,4,0,5,0,0,0,0,14,0,3,0,0,3,0,0,0,0,11
POA2912,11,25,4,3,11,3,0,3,0,60,30,136,25,3,8,3,3,8,7,223,38,61,65,8,11,3,10,23,0,216,8,3,53,0,0,3,0,10,3,85,6,6,0,0,0,0,0,0,0,18,6,25,4,6,3,0,0,3,0,46,9,9,0,3,5,0,0,0,0,27,85,77,14,13,53,14,9,7,9,282,36,49,6,23,25,9,0,4,11,167,7,12,6,4,3,0,0,3,0,35,4,0,24,4,3,0,3,3,0,46,0,0,0,0,0,0,0,3,0,7,6,8,3,3,0,0,0,0,0,18,3,0,3,3,0,0,0,3,3,23,246,408,219,78,132,42,24,68,35,1251,7,19,0,5,10,3,0,0,0,48,4,39,0,4,12,0,0,0,4,65,3,10,3,5,9,4,0,3,0,38,0,4,0,0,5,0,0,0,0,12,0,0,3,0,4,0,0,0,0,8
POA2913,68,161,26,16,28,17,3,9,7,329,194,615,97,33,62,25,15,19,19,1082,182,326,396,46,89,28,60,68,23,1222,122,40,359,6,30,10,19,38,12,646,24,28,40,6,10,7,7,10,3,141,22,115,10,37,18,5,0,4,4,220,30,125,4,16,13,5,3,3,4,203,437,451,59,86,264,91,21,37,39,1496,203,297,40,196,129,29,11,32,20,953,38,116,23,14,29,16,4,10,0,242,37,7,146,30,19,12,11,24,0,295,0,0,0,0,0,0,0,0,0,4,18,20,10,9,24,4,5,3,8,110,19,12,21,13,13,8,12,12,21,134,1394,2316,1238,510,733,257,177,276,168,7070,44,144,27,28,55,19,0,3,12,323,40,154,16,12,29,18,0,8,15,284,10,41,17,13,27,7,3,10,0,129,10,31,9,10,16,7,0,0,0,78,4,19,8,7,10,6,0,3,0,56
POA2914,46,122,10,16,19,8,4,5,6,223,154,595,75,17,58,22,14,10,25,982,149,279,268,32,61,25,30,41,14,916,85,17,201,17,15,11,12,22,3,383,10,22,17,8,8,3,3,5,3,82,21,91,5,23,9,0,3,7,3,156,26,92,3,17,16,4,4,0,3,156,354,349,43,63,202,53,24,39,22,1153,170,233,31,135,85,17,12,7,26,719,25,48,21,15,13,5,0,6,3,143,24,5,96,13,11,4,16,18,0,187,0,0,0,0,0,0,0,0,0,3,28,14,9,12,9,3,3,0,9,94,11,17,18,5,3,8,4,4,10,77,1111,1892,797,378,506,177,132,171,135,5288,49,103,20,19,45,10,0,0,5,253,35,154,10,12,35,11,0,0,6,268,16,54,7,9,18,7,0,7,5,116,7,12,0,3,19,4,0,3,0,46,5,9,0,3,16,0,0,3,0,37
