POA_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
POA2612,5988,..,..,..,..,5988,..,9,0,9,0,9,..,36,5,36,0,38,..,0,0,0,0,0,..,66,4,67,0,67,..,297,44,333,0,338,..,29,6,33,0,33,..,384,50,439,0,439,..,27,0,30,0,30,..,6,0,6,0,6,..,49,4,50,0,50,..,38,3,45,0,45,..,36,0,36,0,36,..,29,0,31,0,30,..,80,0,79,0,79,..,11,0,15,0,15,..,19,0,19,0,19,..,45,0,45,0,43,..,57,0,60,0,60,..,243,7,243,3,249,..,57,0,56,0,61,..,26,8,34,0,34,..,70,25,94,0,97,..,6,0,4,0,4,..,0,0,0,0,0,..,28,4,32,0,32,..,27,0,26,0,26,..,17,0,20,0,20,..,0,0,0,0,0,..,11,0,17,0,17,..,14,0,14,0,19,..,35,0,35,0,35,..,27,0,27,0,27,..,30
POA2614,7235,..,..,..,..,7235,..,3,0,3,0,3,..,36,7,46,0,44,..,0,0,3,0,3,..,46,11,58,0,58,..,232,50,286,0,286,..,8,3,9,0,9,..,291,63,356,0,356,..,26,3,29,0,29,..,10,0,16,0,16,..,49,0,51,0,51,..,54,0,54,0,56,..,65,6,77,0,77,..,36,3,42,0,43,..,69,0,69,0,69,..,54,4,60,3,67,..,37,4,39,0,45,..,81,0,84,0,82,..,38,7,36,0,36,..,323,15,336,8,342,..,76,16,91,3,96,..,24,7,28,0,28,..,26,12,33,0,33,..,3,0,3,0,3,..,4,0,4,0,4,..,11,0,12,0,12,..,17,0,15,0,13,..,20,0,23,0,23,..,10,0,10,0,10,..,19,3,18,0,18,..,8,0,8,0,8,..,37,6,42,0,42,..,22,3,29,0,29,..,14
POA2615,17079,..,..,..,..,17079,..,23,0,24,0,24,..,112,31,136,0,137,..,11,0,11,0,11,..,96,25,122,3,119,..,257,76,333,0,336,..,20,0,22,0,20,..,374,101,478,5,476,..,85,10,95,0,95,..,22,0,27,0,27,..,56,0,56,0,62,..,80,0,80,3,84,..,133,12,148,0,147,..,77,6,88,3,87,..,121,5,127,0,127,..,113,10,120,0,121,..,67,3,66,0,72,..,131,6,142,0,142,..,98,3,95,0,95,..,606,34,644,5,647,..,153,4,153,3,160,..,38,5,37,0,37,..,18,9,24,0,30,..,20,3,25,0,25,..,3,0,3,0,3,..,18,6,24,0,24,..,38,5,44,0,44,..,30,4,35,0,35,..,25,3,24,3,27,..,42,5,42,0,42,..,43,0,42,0,42,..,52,0,52,0,55,..,93,3,98,3,96,..,14
POA2617,10724,..,..,..,..,10724,..,12,0,14,0,14,..,142,13,147,0,149,..,0,0,0,0,0,..,179,41,224,0,223,..,875,181,1053,0,1057,..,79,34,114,0,114,..,1132,261,1396,4,1396,..,99,11,110,0,109,..,24,0,24,0,23,..,58,0,53,0,61,..,55,3,57,0,57,..,120,14,137,0,137,..,76,3,75,0,75,..,163,7,172,0,173,..,75,7,84,0,82,..,70,4,76,3,78,..,109,3,112,3,112,..,89,10,100,0,99,..,585,40,621,8,627,..,169,9,180,0,177,..,48,3,49,0,49,..,117,31,146,0,146,..,27,3,27,0,31,..,0,0,0,0,0,..,56,9,60,0,60,..,51,3,50,0,54,..,48,3,49,0,49,..,28,4,33,0,33,..,41,3,43,0,43,..,59,0,61,0,61,..,75,8,82,0,82,..,54,0,54,0,54,..,21
POA2618,619,..,..,..,..,619,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,4,0,4,..,0,0,0,0,0,..,6,0,4,0,4,..,7,0,7,0,10,..,0,0,0,0,0,..,4,0,4,0,4,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
POA2900,612,..,..,..,..,612,..,0,0,0,0,0,..,5,3,10,0,10,..,0,0,0,0,0,..,18,0,18,0,18,..,3,0,4,0,4,..,0,0,0,0,0,..,22,0,21,0,21,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,8,0,8,0,8,..,37,0,39,0,39,..,13,0,13,0,13,..,6,0,6,0,6,..,11,0,11,0,11,..,15,0,17,0,17,..,90,4,90,0,90,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,10,0,8,0,8,..,5,0,5,0,5,..,7,0,7,0,7,..,0
POA2902,6136,..,..,..,..,6136,..,12,0,12,0,12,..,37,10,46,3,50,..,3,0,3,0,3,..,21,10,27,0,27,..,25,15,40,0,40,..,6,0,6,0,6,..,56,20,73,0,73,..,31,8,34,0,34,..,17,0,17,0,17,..,20,0,21,0,21,..,39,3,42,0,42,..,25,4,28,0,28,..,12,0,12,0,12,..,27,0,30,0,30,..,24,0,24,0,24,..,15,0,12,0,12,..,10,0,14,0,14,..,9,0,9,0,9,..,97,3,100,0,100,..,44,3,46,0,46,..,7,0,7,0,7,..,3,0,3,0,3,..,4,0,4,0,4,..,5,0,5,0,5,..,6,0,11,0,11,..,20,0,21,0,21,..,15,0,15,0,15,..,6,0,6,0,6,..,17,3,17,0,17,..,11,0,11,0,11,..,10,0,7,0,7,..,17,0,17,0,17,..,10
POA2903,3713,..,..,..,..,3713,..,6,0,6,0,6,..,48,10,53,0,53,..,0,0,0,0,0,..,18,4,23,0,23,..,31,14,45,0,45,..,3,0,3,0,3,..,58,12,72,0,72,..,19,4,18,0,23,..,7,0,7,0,7,..,17,0,17,0,17,..,12,0,12,0,12,..,24,5,24,0,24,..,7,0,7,0,7,..,14,0,14,0,14,..,24,0,27,0,27,..,10,0,10,0,10,..,21,0,21,0,21,..,5,0,6,0,11,..,80,3,87,0,89,..,45,5,45,0,45,..,11,0,11,0,13,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,8,0,8,..,17,0,21,0,21,..,10,0,10,0,10,..,10,0,7,0,7,..,14,0,13,0,13,..,3,0,3,0,3,..,10,0,10,0,10,..,5
POA2904,5050,..,..,..,..,5050,..,26,0,26,0,26,..,71,4,77,0,79,..,0,0,0,0,0,..,26,8,33,0,33,..,45,10,53,0,53,..,8,0,8,0,8,..,75,18,95,0,95,..,27,0,26,0,26,..,11,0,11,0,11,..,18,3,21,0,23,..,20,0,20,0,20,..,24,3,26,0,26,..,13,0,13,0,13,..,33,0,33,0,33,..,20,0,20,0,20,..,27,0,28,0,28,..,14,0,15,0,15,..,6,0,6,0,6,..,111,3,119,0,119,..,40,0,37,0,37,..,15,0,15,0,15,..,9,0,6,0,9,..,10,0,10,0,10,..,3,0,3,0,3,..,4,0,4,0,4,..,23,0,23,0,25,..,9,0,9,0,9,..,3,0,3,0,3,..,16,4,24,0,20,..,7,3,9,0,9,..,3,0,3,0,3,..,17,0,17,0,17,..,5
POA2905,11507,..,..,..,..,11507,..,19,0,19,0,19,..,145,28,170,0,174,..,9,0,9,0,9,..,69,26,90,0,90,..,57,10,68,3,69,..,9,3,10,0,10,..,129,36,170,3,173,..,48,4,48,0,48,..,12,0,12,0,12,..,29,0,29,0,29,..,47,0,47,0,47,..,37,8,41,0,41,..,27,0,23,0,28,..,81,0,84,0,84,..,67,3,71,0,71,..,21,0,25,0,25,..,38,4,39,0,36,..,29,3,30,0,30,..,254,12,271,3,269,..,55,9,65,0,64,..,10,3,8,0,8,..,9,0,12,0,12,..,19,3,16,0,16,..,13,0,13,0,13,..,12,0,16,0,16,..,32,0,35,0,35,..,11,0,14,0,14,..,31,9,46,0,46,..,51,10,58,0,58,..,42,0,44,0,44,..,16,3,20,0,20,..,43,0,43,0,43,..,11
POA2906,7052,..,..,..,..,7052,..,3,0,3,0,3,..,64,10,70,0,70,..,0,0,0,0,0,..,43,4,56,0,56,..,31,11,39,0,39,..,3,0,3,0,3,..,79,15,98,0,98,..,37,3,43,0,43,..,8,0,8,0,8,..,13,0,13,0,13,..,20,0,27,0,27,..,19,0,18,0,18,..,26,0,29,0,29,..,34,0,37,0,37,..,35,6,39,0,39,..,43,0,43,0,43,..,31,0,31,0,31,..,9,0,9,0,9,..,182,5,183,0,183,..,32,0,35,0,35,..,10,0,10,0,10,..,4,0,4,0,4,..,13,0,12,0,12,..,7,0,7,0,7,..,16,3,20,0,20,..,21,0,21,0,21,..,4,0,4,0,4,..,3,3,4,0,4,..,17,0,20,0,20,..,28,0,28,0,28,..,3,0,4,0,4,..,23,0,23,0,23,..,4
POA2911,1258,..,..,..,..,1258,..,4,0,4,0,4,..,13,3,12,0,12,..,0,0,0,0,0,..,48,20,68,0,65,..,174,34,209,3,214,..,11,3,16,0,16,..,235,57,291,3,293,..,29,0,28,0,28,..,0,0,0,0,0,..,4,0,4,0,4,..,10,0,10,0,10,..,14,0,14,0,14,..,41,0,43,0,43,..,52,0,53,0,53,..,14,5,17,0,17,..,19,0,19,0,19,..,39,3,43,0,44,..,30,0,32,0,32,..,200,8,211,0,209,..,7,0,12,0,12,..,3,0,3,0,3,..,9,4,8,0,8,..,8,0,8,0,8,..,0,0,0,0,0,..,8,0,11,0,11,..,0,0,0,0,0,..,8,3,11,0,11,..,4,0,4,0,4,..,11,0,7,0,7,..,8,0,8,0,8,..,0,0,3,0,3,..,5,0,5,0,5,..,0
POA2912,1595,..,..,..,..,1595,..,20,0,17,0,17,..,33,8,38,0,39,..,0,0,0,0,0,..,48,7,54,0,57,..,206,57,260,4,263,..,20,4,27,0,27,..,272,73,345,7,348,..,27,7,34,0,34,..,0,0,0,0,0,..,8,3,9,0,9,..,0,0,0,0,0,..,7,0,7,0,7,..,19,0,19,0,21,..,72,0,72,0,69,..,36,4,44,0,42,..,11,0,11,0,15,..,32,0,31,0,31,..,31,5,36,0,36,..,198,10,210,3,209,..,16,0,19,0,19,..,5,3,12,0,12,..,84,56,139,0,139,..,8,0,10,0,10,..,0,0,0,0,0,..,20,3,20,0,24,..,3,0,3,0,3,..,0,0,0,0,0,..,3,4,6,0,6,..,3,0,3,0,3,..,14,0,14,0,14,..,3,0,3,0,3,..,20,0,25,0,25,..,6
POA2913,11323,..,..,..,..,11323,..,42,0,42,0,46,..,119,13,135,3,136,..,0,0,0,0,0,..,199,83,281,0,279,..,627,176,802,5,805,..,32,8,39,0,39,..,855,265,1127,4,1130,..,176,10,184,0,186,..,13,0,13,0,13,..,52,3,50,0,53,..,42,3,49,0,47,..,96,6,102,3,105,..,173,12,187,0,190,..,274,10,287,5,288,..,133,17,147,0,150,..,166,0,167,0,167,..,212,10,225,3,232,..,153,13,161,0,161,..,1112,65,1176,5,1185,..,141,8,142,0,142,..,26,4,34,0,34,..,129,79,206,0,206,..,50,7,54,3,59,..,0,0,0,0,0,..,53,4,57,0,64,..,37,3,34,0,34,..,32,0,29,0,29,..,10,3,13,0,13,..,53,7,55,0,55,..,52,4,57,0,57,..,50,4,50,0,54,..,83,3,88,0,93,..,22
POA2914,7720,..,..,..,..,7720,..,75,3,77,0,77,..,105,8,121,0,119,..,3,0,3,0,3,..,149,39,193,0,195,..,417,126,545,0,550,..,31,18,49,0,49,..,599,185,784,3,787,..,127,16,139,3,143,..,8,0,8,0,8,..,29,0,26,0,26,..,27,0,31,0,31,..,51,5,52,0,54,..,179,6,190,0,190,..,274,11,282,0,286,..,207,14,222,0,219,..,107,8,113,0,113,..,204,7,215,3,218,..,192,12,203,0,203,..,1164,52,1219,3,1225,..,59,0,63,3,61,..,18,3,24,0,21,..,104,52,159,0,160,..,20,0,24,0,24,..,3,0,3,0,3,..,33,4,30,0,30,..,32,3,34,0,34,..,27,4,29,0,29,..,15,0,15,0,15,..,32,3,38,0,38,..,65,0,67,0,67,..,25,0,27,0,30,..,52,0,52,3,55,..,10
