POA_CODE_2016,D_18_20_FPULPTW_MPTLF,D_18_20_FPULPTW_MPNLF,D_18_20_FPULPTW_MPLFSNS,D_18_20_FPULPTW_T,D_18_20_FPUT_MPEFT,D_18_20_FPUT_MPEPT,D_18_20_FPUT_MPEAW,D_18_20_FPUT_MPEHNS,D_18_20_FPUT_MPET,D_18_20_FPUT_MPULFTW,D_18_20_FPUT_MPULPTW,D_18_20_FPUT_MPUT,D_18_20_FPUT_MPTLF,D_18_20_FPUT_MPNLF,D_18_20_FPUT_MPLFSNS,D_18_20_FPUT_T,D_18_20_FPTLF_MPEFT,D_18_20_FPTLF_MPEPT,D_18_20_FPTLF_MPEAW,D_18_20_FPTLF_MPEHNS,D_18_20_FPTLF_MPET,D_18_20_FPTLF_MPULFTW,D_18_20_FPTLF_MPULPTW,D_18_20_FPTLF_MPUT,D_18_20_FPTLF_MPTLF,D_18_20_FPTLF_MPNLF,D_18_20_FPTLF_MPLFSNS,D_18_20_FPTLF_T,D_18_20_FPNLF_MPEFT,D_18_20_FPNLF_MPEPT,D_18_20_FPNLF_MPEAW,D_18_20_FPNLF_MPEHNS,D_18_20_FPNLF_MPET,D_18_20_FPNLF_MPULFTW,D_18_20_FPNLF_MPULPTW,D_18_20_FPNLF_MPUT,D_18_20_FPNLF_MPTLF,D_18_20_FPNLF_MPNLF,D_18_20_FPNLF_MPLFSNS,D_18_20_FPNLF_T,D_18_20_FPLFSNS_MPEFT,D_18_20_FPLFSNS_MPEPT,D_18_20_FPLFSNS_MPEAW,D_18_20_FPLFSNS_MPEHNS,D_18_20_FPLFSNS_MPET,D_18_20_FPLFSNS_MPULFTW,D_18_20_FPLFSNS_MPULPTW,D_18_20_FPLFSNS_MPUT,D_18_20_FPLFSNS_MPTLF,D_18_20_FPLFSNS_MPNLF,D_18_20_FPLFSNS_MPLFSNS,D_18_20_FPLFSNS_T,D_18_20_FPT_MPEFT,D_18_20_FPT_MPEPT,D_18_20_FPT_MPEAW,D_18_20_FPT_MPEHNS,D_18_20_FPT_MPET,D_18_20_FPT_MPULFTW,D_18_20_FPT_MPULPTW,D_18_20_FPT_MPUT,D_18_20_FPT_MPTLF,D_18_20_FPT_MPNLF,D_18_20_FPT_MPLFSNS,D_18_20_FPT_T,D_21_24_FPEFT_MPEFT,D_21_24_FPEFT_MPEPT,D_21_24_FPEFT_MPEAW,D_21_24_FPEFT_MPEHNS,D_21_24_FPEFT_MPET,D_21_24_FPEFT_MPULFTW,D_21_24_FPEFT_MPULPTW,D_21_24_FPEFT_MPUT,D_21_24_FPEFT_MPTLF,D_21_24_FPEFT_MPNLF,D_21_24_FPEFT_MPLFSNS,D_21_24_FPEFT_T,D_21_24_FPEPT_MPEFT,D_21_24_FPEPT_MPEPT,D_21_24_FPEPT_MPEAW,D_21_24_FPEPT_MPEHNS,D_21_24_FPEPT_MPET,D_21_24_FPEPT_MPULFTW,D_21_24_FPEPT_MPULPTW,D_21_24_FPEPT_MPUT,D_21_24_FPEPT_MPTLF,D_21_24_FPEPT_MPNLF,D_21_24_FPEPT_MPLFSNS,D_21_24_FPEPT_T,D_21_24_FPEAW_MPEFT,D_21_24_FPEAW_MPEPT,D_21_24_FPEAW_MPEAW,D_21_24_FPEAW_MPEHNS,D_21_24_FPEAW_MPET,D_21_24_FPEAW_MPULFTW,D_21_24_FPEAW_MPULPTW,D_21_24_FPEAW_MPUT,D_21_24_FPEAW_MPTLF,D_21_24_FPEAW_MPNLF,D_21_24_FPEAW_MPLFSNS,D_21_24_FPEAW_T,D_21_24_FPHNS_MPEFT,D_21_24_FPHNS_MPEPT,D_21_24_FPHNS_MPEAW,D_21_24_FPHNS_MPEHNS,D_21_24_FPHNS_MPET,D_21_24_FPHNS_MPULFTW,D_21_24_FPHNS_MPULPTW,D_21_24_FPHNS_MPUT,D_21_24_FPHNS_MPTLF,D_21_24_FPHNS_MPNLF,D_21_24_FPHNS_MPLFSNS,D_21_24_FPHNS_T,D_21_24_FPET_MPEFT,D_21_24_FPET_MPEPT,D_21_24_FPET_MPEAW,D_21_24_FPET_MPEHNS,D_21_24_FPET_MPET,D_21_24_FPET_MPULFTW,D_21_24_FPET_MPULPTW,D_21_24_FPET_MPUT,D_21_24_FPET_MPTLF,D_21_24_FPET_MPNLF,D_21_24_FPET_MPLFSNS,D_21_24_FPET_T,D_21_24_FPULFTW_MPEFT,D_21_24_FPULFTW_MPEPT,D_21_24_FPULFTW_MPEAW,D_21_24_FPULFTW_MPEHNS,D_21_24_FPULFTW_MPET,D_21_24_FPULFTW_MPULFTW,D_21_24_FPULFTW_MPULPTW,D_21_24_FPULFTW_MPUT,D_21_24_FPULFTW_MPTLF,D_21_24_FPULFTW_MPNLF,D_21_24_FPULFTW_MPLFSNS,D_21_24_FPULFTW_T,D_21_24_FPULPTW_MPEFT,D_21_24_FPULPTW_MPEPT,D_21_24_FPULPTW_MPEAW,D_21_24_FPULPTW_MPEHNS,D_21_24_FPULPTW_MPET,D_21_24_FPULPTW_MPULFTW,D_21_24_FPULPTW_MPULPTW,D_21_24_FPULPTW_MPUT,D_21_24_FPULPTW_MPTLF,D_21_24_FPULPTW_MPNLF,D_21_24_FPULPTW_MPLFSNS,D_21_24_FPULPTW_T,D_21_24_FPUT_MPEFT,D_21_24_FPUT_MPEPT,D_21_24_FPUT_MPEAW,D_21_24_FPUT_MPEHNS,D_21_24_FPUT_MPET,D_21_24_FPUT_MPULFTW,D_21_24_FPUT_MPULPTW,D_21_24_FPUT_MPUT,D_21_24_FPUT_MPTLF,D_21_24_FPUT_MPNLF,D_21_24_FPUT_MPLFSNS,D_21_24_FPUT_T,D_21_24_FPTLF_MPEFT,D_21_24_FPTLF_MPEPT,D_21_24_FPTLF_MPEAW,D_21_24_FPTLF_MPEHNS,D_21_24_FPTLF_MPET,D_21_24_FPTLF_MPULFTW,D_21_24_FPTLF_MPULPTW,D_21_24_FPTLF_MPUT,D_21_24_FPTLF_MPTLF,D_21_24_FPTLF_MPNLF,D_21_24_FPTLF_MPLFSNS,D_21_24_FPTLF_T,D_21_24_FPNLF_MPEFT,D_21_24_FPNLF_MPEPT,D_21_24_FPNLF_MPEAW,D_21_24_FPNLF_MPEHNS,D_21_24_FPNLF_MPET,D_21_24_FPNLF_MPULFTW,D_21_24_FPNLF_MPULPTW,D_21_24_FPNLF_MPUT,D_21_24_FPNLF_MPTLF,D_21_24_FPNLF_MPNLF,D_21_24_FPNLF_MPLFSNS,D_21_24_FPNLF_T,D_21_24_FPLFSNS_MPEFT,D_21_24_FPLFSNS_MPEPT,D_21_24_FPLFSNS_MPEAW,D_21_24_FPLFSNS_MPEHNS,D_21_24_FPLFSNS_MPET,D_21_24_FPLFSNS_MPULFTW,D_21_24_FPLFSNS_MPULPTW,D_21_24_FPLFSNS_MPUT,D_21_24_FPLFSNS_MPTLF,D_21_24_FPLFSNS_MPNLF,D_21_24_FPLFSNS_MPLFSNS,D_21_24_FPLFSNS_T,D_21_24_FPT_MPEFT,D_21_24_FPT_MPEPT,D_21_24_FPT_MPEAW,D_21_24_FPT_MPEHNS
POA2612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,3,0,0,54,3,0,3,56,4,0,62,7,0,0,0,7,0,0,0,7,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,57,3,0,0,61,3,0,3,68,4,0,76,13,0,0,0,18,0,0,0,19,3,0,20,11,0,0,0,14,0,0,0,15,0,0,15,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,25,3,3,0,29,4,0,4,33,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,3,0,28,4,0,4,30,3,0,31,7,4,0,0,6,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,31,3,3,0
POA2614,5,0,0,5,6,0,0,0,3,0,0,0,3,0,0,3,108,24,3,0,138,0,0,0,138,17,0,155,16,0,0,0,19,0,0,0,19,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,124,21,3,0,153,0,0,0,153,19,0,169,38,3,4,0,45,3,0,5,51,8,0,59,20,3,0,0,23,0,0,0,23,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,7,4,0,69,3,0,5,73,9,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,7,4,0,72,3,0,5,79,9,0,88,4,3,0,0,6,0,0,0,6,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,63,11,7,0
POA2615,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,3,227,28,6,3,261,3,0,8,267,19,0,290,37,6,3,0,47,3,0,6,51,16,0,62,0,0,0,0,0,0,0,0,0,0,0,0,263,30,11,3,304,11,4,12,320,34,0,355,74,3,0,0,74,0,0,0,79,3,0,83,47,12,0,0,54,0,0,0,55,3,0,56,3,0,0,0,4,0,0,0,4,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,120,16,3,0,131,0,0,3,135,11,0,146,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,4,0,0,0,8,0,0,8,7,0,0,0,10,0,0,0,10,0,0,10,126,11,3,0,143,0,3,6,141,11,0,153,19,3,0,0,20,0,0,0,20,17,0,36,0,0,0,0,0,0,0,0,0,0,0,0,141,17,3,0
POA2617,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,132,21,3,0,157,3,0,3,157,8,0,170,18,3,0,0,28,0,0,0,25,9,0,37,0,0,0,0,0,0,0,0,0,0,0,0,151,31,3,0,181,3,0,3,185,20,0,210,48,4,0,0,50,3,0,3,57,3,0,53,26,6,0,0,38,0,0,0,38,3,0,43,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,78,12,4,3,94,3,0,3,97,7,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,76,12,3,3,96,3,0,3,98,7,0,102,16,0,0,0,19,0,0,0,19,9,0,26,0,0,0,0,0,0,0,0,0,0,0,0,91,14,3,3
POA2618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,17,0,0,0,17,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,15,0,0,0,15,0,0,22,7,0,0,0,6,0,0,0,6,0,0,6,7,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,11,0,0,0,11,0,0,11,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
POA2900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,0,0,0,10,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2902,3,0,0,3,6,0,0,0,6,0,0,0,6,0,0,6,93,12,3,0,116,0,0,0,113,9,0,123,9,0,0,0,14,0,0,0,13,3,0,18,0,0,0,0,0,0,0,0,0,0,0,3,108,18,3,0,128,0,0,0,129,8,3,138,31,0,0,0,30,0,0,0,30,3,0,35,8,3,0,0,16,0,0,0,16,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,6,0,0,45,0,0,0,47,9,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,6,0,0,45,0,0,0,47,9,0,54,8,3,0,0,10,0,0,0,9,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,45,7,0,0
POA2903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,9,0,0,73,0,0,0,73,3,0,76,5,7,0,0,12,0,0,0,12,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,70,17,3,0,87,0,0,0,87,4,0,95,14,3,0,0,15,0,0,0,15,3,0,20,6,4,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,0,0,24,0,0,0,24,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,19,5,0,0,26,0,0,0,26,3,0,35,6,3,0,0,6,0,0,0,6,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,27,6,4,0
POA2904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,20,3,4,122,0,0,0,124,15,0,133,6,3,0,0,14,0,0,4,13,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,106,21,3,4,132,3,0,3,133,16,0,157,38,4,3,0,41,0,0,0,44,7,0,49,19,0,0,0,19,0,0,0,19,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,4,3,0,61,0,0,0,66,3,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,4,0,0,60,0,0,0,67,3,0,71,13,4,0,0,18,0,0,0,18,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,69,6,0,0
POA2905,0,0,0,0,4,0,0,0,6,0,0,0,6,0,0,6,193,26,0,4,216,5,0,6,227,11,0,236,26,4,0,3,30,0,0,0,30,5,0,42,0,0,0,0,0,0,0,0,0,0,0,0,215,31,0,7,250,5,0,6,253,22,0,278,62,8,7,0,79,0,0,0,79,7,0,84,24,3,0,0,25,0,0,0,25,4,0,29,3,0,3,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,85,11,6,3,111,0,0,0,111,10,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,85,12,6,3,107,0,0,0,107,13,0,119,11,3,0,0,17,0,0,0,20,8,0,22,0,0,0,0,0,0,0,0,0,0,0,0,101,13,5,3
POA2906,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,5,157,16,5,4,182,3,0,3,186,9,0,190,20,0,0,0,24,0,0,0,24,7,0,33,0,0,0,0,0,0,0,0,0,0,0,0,176,17,5,4,205,3,0,3,207,14,0,224,50,7,0,0,55,0,0,0,55,7,0,58,19,0,0,0,25,0,0,0,25,0,0,22,3,0,0,0,4,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,73,6,3,0,82,0,0,0,82,7,0,85,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,5,0,0,0,5,0,0,5,71,5,3,0,83,0,0,0,83,7,0,93,9,0,0,0,10,0,0,0,10,8,0,19,0,0,0,0,0,0,0,0,0,0,0,0,82,6,3,0
POA2911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0,0,29,0,0,0,25,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,29,0,0,0,32,0,0,32,9,0,0,0,5,0,0,0,5,0,0,8,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,9,0,0,0,9,0,0,9,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0
POA2912,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,26,12,0,0,38,3,0,3,38,0,0,42,6,4,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,33,15,0,0,49,3,0,3,48,0,0,51,9,6,0,0,9,0,0,0,9,0,0,9,6,0,0,0,6,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,0,18,0,0,0,18,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,0,18,0,0,0,18,0,0,21,3,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0
POA2913,8,0,0,12,8,0,0,0,8,0,0,0,8,3,0,8,311,27,4,6,351,6,3,5,357,21,0,381,38,9,3,0,46,3,0,0,48,8,0,59,0,0,0,0,0,0,0,0,0,0,0,0,348,38,8,6,398,6,3,9,409,34,0,439,66,5,0,0,80,3,0,3,80,6,0,83,33,7,0,0,39,0,0,0,39,3,0,46,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,99,11,3,3,117,3,0,3,122,12,0,134,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,107,11,3,3,124,3,0,3,127,12,0,139,14,0,0,0,14,0,0,0,14,5,0,21,0,0,0,0,0,0,0,0,0,0,3,3,121,14,4,3
POA2914,0,0,0,4,8,0,0,0,5,0,0,0,5,0,0,9,198,19,6,3,219,4,0,4,225,15,0,231,35,3,0,0,39,0,0,0,39,9,0,47,0,0,0,0,0,0,0,0,0,0,0,0,228,19,6,3,258,4,0,4,261,23,0,279,53,5,0,0,60,0,0,0,61,8,0,68,9,0,0,0,10,0,0,0,12,4,0,18,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,66,9,4,0,75,3,0,3,79,12,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,9,4,0,75,3,0,3,80,12,0,86,5,0,0,0,8,0,0,0,8,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,73,8,8,0
