POA_CODE_2016,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
POA2612,77,18,0,0,101,3,0,3,100,4,0,107,92,18,0,0,109,0,0,0,109,9,0,113,52,8,6,0,61,0,0,0,61,0,0,66,6,0,0,0,7,0,0,0,7,0,0,7,224,40,9,5,274,3,0,3,274,11,0,288,3,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,6,0,0,0,6,0,0,6,4,3,0,0,11,0,0,0,11,0,0,11,227,38,9,5,280,3,0,3,283,11,0,295,84,13,0,3,94,0,0,0,97,9,0,109,0,0,0,0,0,0,0,0,0,0,0,0,312,54,8,4,382,3,0,3,385,20,0,404,114,21,0,0,131,3,0,3,139,10,0,146,98,10,0,0,113,3,0,3,114,8,0,119,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,212,32,0,0,251,3,0,5
POA2614,158,28,0,0,191,0,0,4,196,7,0,202,277,62,10,4,353,0,0,0,353,3,0,361,106,14,7,0,123,0,0,0,123,0,0,123,0,4,0,0,4,0,0,0,4,0,0,4,547,104,13,3,671,0,0,4,675,18,0,690,5,0,0,0,4,3,0,3,11,0,0,11,3,0,0,0,11,0,0,0,7,3,0,10,13,4,0,0,12,3,0,3,15,3,0,19,554,112,13,3,683,4,0,8,692,17,0,705,201,33,6,0,235,3,3,3,243,22,0,264,0,0,0,0,0,0,0,0,0,0,0,4,757,137,20,5,921,11,3,9,935,34,3,969,268,45,8,0,321,3,0,11,331,17,0,341,345,57,5,3,411,3,0,8,421,11,0,431,16,11,0,0,25,0,0,0,25,0,0,24,0,0,0,5,8,0,0,0,8,0,0,8,629,112,12,7,765,9,4,15
POA2615,500,70,19,0,595,6,4,4,597,25,0,627,853,120,9,7,989,3,5,7,999,12,0,1006,331,40,54,3,423,0,3,0,430,0,0,432,13,0,0,7,23,0,0,0,19,0,0,24,1699,233,80,13,2028,13,7,18,2046,41,0,2088,13,5,0,0,20,0,0,0,21,0,0,21,26,4,0,0,29,0,0,0,36,0,0,36,39,6,0,0,51,0,0,4,52,0,0,52,1739,236,80,15,2076,13,14,19,2098,41,0,2138,512,57,21,15,605,13,7,26,629,49,0,677,8,0,0,3,13,0,0,0,13,0,0,15,2254,297,105,38,2692,26,16,43,2734,84,3,2822,723,114,7,3,849,15,3,15,865,35,0,903,853,105,16,3,977,8,0,7,988,6,0,995,56,13,13,0,81,0,0,0,81,0,0,82,3,0,0,10,12,0,0,0,12,0,0,12,1641,231,37,15,1921,20,0,21
POA2617,244,44,6,6,300,5,0,3,307,20,0,328,463,75,3,0,542,3,0,4,548,11,0,560,160,21,23,0,197,0,0,0,200,0,0,200,9,3,0,3,11,0,0,0,11,0,3,14,873,139,31,9,1055,9,0,11,1069,32,3,1099,20,0,0,0,19,4,3,6,28,0,0,24,24,5,0,0,27,7,0,7,31,0,0,32,42,3,0,0,48,9,3,10,55,3,0,59,917,144,31,11,1099,21,7,23,1124,33,3,1160,278,59,9,7,351,12,0,12,364,26,3,393,0,0,0,5,10,0,0,0,10,0,0,10,1196,202,36,24,1455,32,6,38,1493,61,7,1556,317,54,6,3,376,9,0,9,384,17,3,406,505,53,5,4,568,0,0,0,566,9,0,579,18,0,5,0,23,0,0,0,23,3,0,26,7,0,0,0,7,0,0,0,7,0,0,7,849,103,16,3,975,8,0,8
POA2618,12,0,0,0,11,0,0,0,11,0,0,15,13,0,0,0,16,0,0,0,16,0,0,15,4,4,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,28,7,0,0,35,0,0,0,37,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,0,0,35,0,0,0,37,0,0,37,4,0,0,0,10,0,0,0,10,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,36,4,0,0,46,0,0,0,47,3,0,48,20,4,0,0,21,0,0,0,21,3,0,25,30,0,3,0,32,0,0,0,32,0,0,32,7,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,52,4,3,0,63,0,0,0
POA2900,12,3,0,0,18,0,0,0,21,0,0,21,17,0,0,0,23,0,0,0,23,0,0,23,5,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,40,7,0,0,50,0,0,0,50,0,0,50,6,3,0,0,10,0,0,0,10,0,0,10,3,0,0,0,3,0,0,0,3,0,0,3,14,3,0,0,16,0,0,0,16,0,0,16,53,9,0,0,59,0,0,0,62,0,0,62,26,3,0,0,29,0,0,0,34,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,81,10,0,0,95,0,0,0,93,0,0,93,6,3,0,0,16,3,0,3,15,0,0,15,11,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,27,3,0,3
POA2902,139,24,0,0,165,3,0,4,171,10,0,180,236,41,0,0,283,0,0,0,287,7,3,294,103,9,7,0,118,0,0,0,118,0,0,118,3,0,0,0,3,0,0,0,3,0,0,7,481,80,8,0,570,3,0,7,576,18,3,598,0,0,0,0,3,0,0,0,3,0,0,3,7,0,0,0,7,0,0,0,4,0,3,10,7,0,0,0,10,0,0,0,11,0,3,11,490,79,8,0,581,3,0,7,589,18,5,611,106,23,4,6,137,7,0,7,144,20,0,161,3,0,0,0,6,3,0,3,7,0,0,7,602,103,20,3,724,15,0,11,734,40,5,776,215,18,0,0,237,0,3,3,242,3,0,244,254,47,3,0,303,3,0,4,310,13,0,317,23,7,3,0,25,0,0,0,25,0,0,25,0,0,0,0,3,0,0,0,3,0,0,5,489,69,7,7,574,6,3,8
POA2903,66,13,7,0,80,6,0,6,87,6,0,88,161,24,0,0,188,0,0,0,186,4,0,187,61,3,11,0,77,0,0,0,77,3,0,76,3,0,0,0,3,0,0,0,3,0,0,3,282,42,17,0,340,5,0,5,345,8,0,357,0,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,4,0,0,0,4,0,0,4,9,4,0,0,6,0,0,0,6,0,0,11,289,44,17,0,349,5,0,5,358,9,0,370,72,17,3,6,95,0,0,0,95,12,0,102,0,0,0,0,0,0,0,0,0,0,0,0,359,59,21,3,443,5,0,5,450,23,0,471,122,29,0,0,151,3,0,3,157,5,0,159,168,29,0,3,200,0,3,3,207,0,0,209,10,3,0,0,15,0,0,0,15,0,0,15,0,0,0,3,3,0,0,0,3,0,0,3,305,56,4,9,367,6,7,9
POA2904,108,17,3,0,123,3,0,3,126,7,0,131,212,30,4,0,249,0,0,0,248,3,0,250,80,3,13,0,97,0,0,0,97,0,0,97,7,0,0,4,4,0,0,0,4,0,0,4,400,46,19,5,472,5,0,5,475,10,0,487,3,0,0,0,3,0,0,0,3,0,0,3,0,3,0,0,6,0,0,0,6,0,0,6,7,3,0,0,11,0,0,0,11,0,0,11,403,46,19,9,478,5,0,5,487,10,0,498,99,23,0,0,125,0,0,0,125,10,0,136,4,0,0,0,4,0,0,0,4,0,0,9,510,71,20,11,607,9,0,6,618,20,0,635,174,28,0,3,204,4,0,4,204,10,0,217,228,16,3,3,250,0,0,0,255,3,0,255,19,3,0,0,19,0,0,0,19,0,0,19,3,0,0,4,8,0,0,0,8,0,0,8,414,51,5,13,481,7,0,7
POA2905,310,43,4,3,366,3,0,3,366,12,0,376,503,63,9,4,570,4,0,4,576,3,0,582,177,17,25,0,225,3,0,3,227,0,0,231,3,0,0,0,3,0,0,0,3,0,0,3,997,122,34,6,1168,12,0,12,1179,16,0,1191,12,0,0,0,18,0,0,0,19,4,0,22,12,3,0,0,19,0,0,0,19,0,0,17,25,3,3,0,29,0,0,0,31,8,0,40,1026,126,38,6,1201,13,0,10,1212,23,0,1229,287,38,0,6,330,3,0,5,335,26,0,359,8,0,0,0,8,0,0,0,8,0,3,10,1315,163,41,15,1531,20,4,22,1551,42,3,1602,437,56,10,3,505,8,5,13,515,19,0,538,461,62,7,5,533,4,3,4,535,8,0,546,33,7,5,0,49,0,0,0,49,0,0,49,3,0,0,3,5,0,0,0,5,0,0,5,943,119,22,13,1090,11,6,18
POA2906,224,27,3,0,257,0,0,0,258,15,0,274,263,28,3,0,299,3,5,3,306,0,0,301,109,23,6,0,138,5,0,5,146,0,0,142,7,0,0,3,6,0,0,0,6,0,3,12,603,79,14,4,706,8,5,11,714,12,3,732,4,0,0,0,4,3,0,3,10,0,0,10,17,0,0,0,17,0,0,0,17,0,0,14,24,0,0,0,24,3,0,3,21,0,0,25,626,79,14,4,727,10,5,16,734,19,3,758,168,16,3,5,200,4,0,4,207,21,0,225,3,0,0,0,3,0,0,0,3,0,0,3,798,95,19,13,924,14,5,18,946,32,3,978,267,30,4,8,307,3,0,3,311,9,0,318,299,35,9,0,346,3,0,3,344,0,0,346,24,0,5,0,30,0,0,0,30,0,0,30,6,0,0,3,11,0,0,0,11,0,0,10,599,66,19,11,697,6,0,8
POA2911,120,12,0,0,131,0,0,0,134,3,0,138,120,22,0,0,143,0,0,0,143,3,0,150,65,9,9,0,77,0,0,0,77,3,0,82,5,0,0,5,7,0,0,0,7,0,0,7,309,36,9,5,362,0,0,0,366,14,0,377,3,0,0,0,3,0,0,0,6,0,0,6,5,0,0,0,5,0,0,0,5,0,0,5,10,0,0,0,10,0,0,0,14,0,0,14,322,36,9,5,371,0,0,0,376,14,0,388,73,13,0,3,92,0,0,0,92,3,0,91,3,0,0,0,5,0,0,0,5,0,0,4,402,47,10,5,466,0,0,0,468,15,0,482,106,4,0,3,109,0,0,0,109,4,0,117,84,5,0,0,91,0,0,0,91,0,0,92,5,3,3,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,192,14,4,0,216,0,0,0
POA2912,79,9,3,0,92,3,0,3,98,0,0,97,93,8,3,0,101,3,0,3,103,0,0,103,30,4,3,0,38,0,0,0,38,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,198,21,7,3,235,4,0,4,242,0,0,240,10,0,0,0,10,0,0,0,10,0,0,10,4,0,0,0,4,0,0,0,4,0,0,8,9,0,0,0,9,0,0,0,9,0,0,10,209,21,7,3,240,4,0,4,246,5,0,251,120,6,4,3,134,6,0,9,140,13,0,155,3,0,0,0,3,0,0,0,3,0,0,3,327,30,11,7,376,12,0,13,388,22,0,409,89,17,3,0,105,5,0,8,113,0,0,115,98,8,0,0,107,9,0,9,116,0,0,116,3,0,3,0,11,0,0,0,11,0,0,11,3,0,0,0,3,0,0,0,3,0,0,3,194,21,9,0,228,13,0,11
POA2913,504,51,7,0,564,12,3,10,578,20,0,602,708,102,12,6,820,4,3,11,832,13,0,845,265,16,37,4,326,3,0,3,329,7,0,329,6,0,0,15,19,0,0,0,19,0,0,19,1489,166,51,19,1733,16,8,28,1757,38,0,1797,29,7,0,0,42,3,0,3,41,3,0,48,34,4,0,0,34,0,3,3,40,0,0,38,60,12,0,7,75,3,3,7,83,8,0,84,1551,176,58,23,1811,19,8,30,1838,46,0,1884,507,75,17,8,606,18,3,23,622,46,0,672,3,0,0,0,10,0,0,0,10,0,0,15,2059,251,74,43,2423,41,13,47,2470,87,0,2563,641,47,8,3,700,12,0,12,715,31,5,747,639,58,7,4,712,5,3,14,723,14,0,735,40,6,7,0,47,0,0,0,48,0,0,48,5,0,0,7,10,0,0,0,10,0,0,17,1321,115,25,23,1472,20,3,22
POA2914,514,50,6,7,575,5,0,5,580,25,0,611,595,68,11,3,678,4,3,4,684,10,0,692,244,9,31,0,291,0,0,0,291,3,0,288,11,0,0,5,17,0,0,0,17,0,0,17,1365,124,53,20,1558,10,3,17,1571,35,0,1609,52,0,3,0,57,0,0,0,60,0,0,62,29,0,0,0,28,4,0,4,31,0,0,32,80,4,0,0,89,9,0,9,93,0,0,97,1442,128,57,20,1646,22,3,20,1666,40,0,1704,470,45,15,4,528,12,0,12,542,35,0,583,8,0,0,3,8,0,0,0,8,0,0,10,1916,173,67,30,2188,30,0,38,2219,69,6,2295,689,48,8,4,748,8,0,8,758,25,0,788,589,58,9,4,654,4,3,10,662,5,0,668,42,0,17,0,58,0,0,0,59,0,0,59,11,3,0,11,17,0,0,0,17,0,0,17,1328,111,33,13,1482,14,3,18
