POA_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
POA2612,0,0,0,7,4,0,0,4,0,13,0,0,0,15,3,3,6,3,0,35,0,4,3,8,0,0,0,0,0,12,0,3,21,59,7,0,0,0,0,91,0,0,4,0,0,0,0,0,0,8,0,0,43,32,4,3,0,3,0,79,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,4,14,7,6,0,3,0,40,0,0,10,25,0,0,0,0,0,40,0,0,3,5,3,0,7,0,3,22,0,4,26,49,17,15,3,0,0,120,0,0,0,4,0,0,0,0,0,4,0,3,18,31,0,0,0,0,0,54,0,0,10,4,4,3,0,0,0,19,0,4,12,33,3,0,0,0,0,55,0,0,3,3,5,3,4,0,0,16,0,0,0,7,6,3,3,6,0,34,0,0,8,13,0,0,0,0,0,27,0,0,18,11,0,0,0,0,0,38
POA2614,0,3,0,7,8,6,3,0,0,26,0,0,0,0,6,10,14,23,16,71,0,4,0,0,3,3,3,0,0,16,0,3,3,21,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,3,0,0,0,19,4,6,5,3,0,34,0,0,0,0,0,0,6,3,0,5,0,0,3,3,0,0,0,0,0,8,0,3,3,4,4,0,0,0,0,12,0,0,0,8,0,0,0,0,0,9,0,0,0,3,3,3,7,3,3,27,3,11,17,25,20,16,11,11,0,105,0,0,0,0,3,0,3,3,0,11,3,10,16,59,0,0,0,0,0,95,0,3,0,7,5,3,0,0,0,15,3,8,10,27,8,3,0,0,0,55,0,0,0,0,0,4,3,3,3,9,0,4,3,5,9,9,15,10,3,59,0,0,0,7,3,0,0,0,0,15,0,3,0,13,7,4,3,0,0,30
POA2615,0,9,0,11,6,3,7,11,0,51,0,4,4,9,15,17,21,21,8,99,0,9,3,3,5,0,0,0,0,21,0,3,3,13,3,3,0,0,0,23,0,0,0,13,3,3,4,0,0,21,0,0,3,20,25,13,8,3,3,74,0,0,0,0,0,0,9,0,0,13,0,3,0,11,3,0,0,0,0,17,0,0,0,14,3,3,3,0,0,31,0,4,0,19,0,0,0,0,0,23,0,0,0,3,6,12,24,7,3,59,3,19,18,90,52,35,21,4,0,236,0,0,0,0,3,3,3,4,0,22,3,18,21,74,16,4,0,0,0,132,0,0,0,18,15,4,0,0,0,40,0,22,29,51,37,17,3,3,0,167,0,0,0,15,5,3,9,4,0,41,0,0,3,19,17,15,27,16,3,107,0,3,3,19,5,5,0,0,0,33,0,3,10,29,16,12,8,0,0,84
POA2617,0,0,3,13,0,0,5,3,0,30,0,0,0,9,10,24,35,27,3,115,0,3,3,4,0,0,0,0,0,13,0,4,51,62,12,5,0,0,0,145,0,0,4,3,4,5,6,0,0,19,0,3,16,43,17,11,17,4,0,106,0,0,0,3,0,6,0,0,0,6,0,0,0,4,0,0,0,0,0,8,0,0,5,3,0,0,3,0,0,14,0,3,8,20,3,0,0,0,0,33,0,0,3,5,5,6,9,8,0,38,3,14,21,58,32,30,17,3,0,173,0,0,0,3,0,8,4,0,0,13,0,3,11,85,8,0,3,0,0,116,3,3,3,17,12,3,0,0,0,39,6,7,14,97,16,0,3,3,0,145,0,0,0,18,3,3,4,0,0,33,0,0,6,4,5,13,12,5,5,55,0,0,3,26,3,4,3,0,0,45,0,0,14,20,8,5,4,0,0,51
POA2618,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3
POA2900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,7,0,0,0,5,5,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,4,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
POA2902,0,3,0,3,3,0,0,3,0,16,0,0,0,0,4,10,12,6,0,28,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,8,0,0,0,7,8,10,3,0,0,29,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,3,5,0,0,0,0,0,7,0,0,0,0,0,5,7,5,0,27,3,4,10,34,22,11,17,0,0,100,0,0,0,0,0,0,4,0,0,9,0,0,0,9,0,0,0,0,0,13,0,0,0,4,10,3,0,0,0,13,0,3,5,13,3,9,3,0,0,35,0,0,0,4,3,3,4,0,0,19,0,0,0,9,10,9,15,3,0,42,0,0,0,4,0,0,0,0,0,3,0,3,8,11,7,3,4,3,0,40
POA2903,0,0,0,0,0,0,4,0,0,6,0,0,0,8,0,7,18,3,4,41,0,0,0,0,3,0,0,0,0,6,0,4,0,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,3,5,0,0,3,0,0,3,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,10,3,0,13,0,10,5,12,16,8,3,0,0,60,0,0,0,0,0,3,0,0,0,3,0,0,7,9,4,0,0,0,0,18,0,0,0,3,0,3,0,0,0,6,0,3,9,5,7,3,0,0,0,32,0,0,0,0,0,3,3,0,0,5,0,0,0,7,8,8,3,5,0,31,0,3,0,3,0,3,0,0,0,12,0,0,4,4,0,0,0,0,0,15
POA2904,0,0,0,3,0,4,3,0,0,15,0,3,0,0,5,12,18,3,0,36,0,0,3,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,13,0,3,0,8,8,3,3,0,0,29,0,0,0,6,4,8,7,0,0,26,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,3,3,24,0,7,5,16,9,13,7,0,3,66,0,0,0,0,3,3,0,0,0,3,0,0,3,3,0,0,0,0,0,12,0,0,0,3,3,0,0,0,0,8,0,7,5,9,8,4,0,0,0,37,0,0,0,4,0,6,8,0,3,22,0,0,0,5,4,12,9,4,0,42,0,0,0,10,0,0,0,0,0,14,0,3,7,13,11,9,3,0,0,53
POA2905,0,3,0,0,0,0,0,0,0,11,0,0,0,0,4,16,14,12,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,10,0,0,0,13,13,8,6,4,0,36,0,0,4,18,14,16,11,3,0,68,0,0,0,0,3,4,5,3,0,18,0,0,0,6,0,0,0,0,0,9,0,0,0,7,3,0,0,3,0,9,0,0,0,6,0,0,0,0,0,11,0,0,0,0,0,9,13,0,0,25,4,12,15,49,47,36,11,3,0,177,0,0,0,7,3,0,0,0,0,12,0,3,6,15,0,3,0,0,0,28,0,0,0,3,7,3,0,0,0,10,4,12,20,33,10,12,6,0,0,97,0,0,0,11,3,17,4,0,0,33,0,0,3,8,19,16,22,9,4,80,0,0,3,3,0,7,0,0,0,18,0,3,6,12,10,11,3,0,3,50
POA2906,0,0,0,0,3,7,3,0,0,11,0,0,0,0,3,10,0,7,0,18,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,0,0,0,11,0,3,0,9,8,11,0,0,0,37,0,0,0,0,0,0,0,3,0,8,0,0,0,3,0,0,0,0,0,7,0,0,0,3,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,11,3,0,29,3,3,6,32,19,17,6,0,0,92,0,0,0,0,0,4,0,0,0,4,0,0,0,6,3,4,0,0,0,23,0,0,0,3,10,0,0,0,0,10,0,3,5,21,14,5,3,3,0,64,0,0,0,5,4,4,0,0,0,18,0,0,0,6,5,13,7,3,0,38,0,0,0,0,3,0,0,0,0,13,0,0,4,13,3,4,0,3,0,35
POA2911,0,0,0,6,0,0,0,0,0,11,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,8,3,0,0,0,0,15,0,0,0,3,0,0,0,0,0,3,3,3,0,19,9,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,7,0,0,0,3,4,0,0,0,0,8,0,3,4,4,5,0,0,0,0,15
POA2912,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,7,19,99,8,4,0,3,0,136,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,3,3,3,0,0,0,9,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,4,23,10,4,0,0,0,43,0,0,0,0,3,0,0,0,0,3,0,0,4,15,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,3,7,18,14,5,0,0,0,45,0,0,0,4,0,0,0,0,0,4,0,0,0,7,4,3,0,0,0,10,0,3,0,9,0,0,0,0,0,12,0,10,6,10,9,4,0,0,0,36
