POA_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
POA2612,5,8,13,306,339,649,0,0,0,0,0,0,13,8,22,1891,1570,3458,148,266,418,6,0,6,68,9,79,419,255,672,154,40,197,1674,1140,2812,4689,3634,8320,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,4,3,5,13,14,32,16,15,27,27,35,69,40,17,54,69,53,128,0,3,0,7,3,10,7,0,7,16,7,23,187,137,329,274,431,711,26,24,45,5261,4288,9553
POA2614,6,0,10,348,365,715,0,0,0,0,3,3,11,8,13,2969,2647,5614,196,349,541,33,0,33,90,15,108,237,85,323,30,16,49,134,115,249,4048,3607,7655,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,13,22,35,14,24,32,4,3,9,31,49,76,51,32,88,86,85,170,5,0,5,3,5,7,3,0,0,11,10,15,151,188,343,358,549,899,28,17,48,4677,4450,9129
POA2615,4,0,6,545,578,1128,3,0,3,0,3,5,16,13,27,8152,7159,15312,475,956,1427,163,4,168,228,25,253,163,42,199,61,21,89,104,107,210,9913,8905,18821,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,42,63,104,29,43,72,7,11,21,80,114,194,108,86,196,196,203,399,0,3,3,7,4,12,7,3,3,12,9,16,222,329,553,801,1370,2162,73,67,133,11205,10878,22086
POA2617,7,4,9,728,767,1494,0,0,0,0,3,3,14,6,25,5560,4666,10229,322,703,1025,71,0,71,125,12,142,289,106,398,39,19,59,450,394,844,7621,6672,14296,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,0,3,5,4,5,0,0,0,0,0,0,35,30,72,31,32,65,21,12,28,88,73,161,90,46,139,185,126,309,0,0,0,13,11,23,5,3,13,18,17,30,191,257,448,636,1058,1697,51,47,96,8699,8176,16879
POA2618,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,254,213,466,5,28,37,25,0,25,0,0,0,0,0,0,3,3,8,10,15,18,304,265,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,3,3,4,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,41,44,90,35,57,91,3,9,8,382,372,760
POA2900,0,0,0,52,47,98,0,0,0,0,0,0,3,0,4,279,244,527,18,47,68,4,0,4,3,0,3,8,3,8,4,0,4,138,60,203,508,410,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,6,0,0,3,0,0,0,3,3,6,3,0,6,5,6,18,0,0,0,3,0,3,0,0,0,3,0,3,11,18,30,35,45,78,3,3,9,570,478,1051
POA2902,0,0,3,148,156,308,0,0,0,3,0,3,3,3,5,2599,2367,4964,132,278,408,43,0,43,80,7,90,83,20,105,20,8,31,36,32,74,3153,2873,6027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,32,10,9,23,6,0,7,28,29,64,36,20,60,69,50,119,0,0,0,0,0,4,0,0,0,3,0,5,104,131,231,289,475,762,25,24,45,3634,3563,7200
POA2903,0,0,3,136,138,269,0,0,0,0,0,0,0,0,3,1624,1477,3106,102,191,300,35,0,35,47,5,45,52,14,64,14,0,10,40,41,84,2051,1869,3916,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,10,17,26,5,13,22,3,0,3,23,28,52,22,10,33,47,42,88,0,0,0,6,3,5,0,0,0,6,3,5,63,70,133,154,298,454,18,14,36,2336,2301,4641
POA2904,0,0,0,125,111,240,3,0,5,0,0,3,4,3,5,2481,2283,4759,107,242,346,34,0,34,46,0,44,52,11,62,29,9,35,36,39,74,2920,2692,5614,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,17,29,46,5,8,15,3,0,6,26,41,67,27,22,42,51,66,116,0,0,0,0,3,4,0,0,0,0,3,9,107,123,228,279,412,689,20,22,40,3370,3326,6695
POA2905,8,3,10,264,273,542,3,0,3,0,0,0,7,3,10,5991,5335,11324,316,570,889,113,7,122,120,11,137,83,15,96,40,17,51,97,69,162,7043,6304,13341,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,28,40,68,21,36,57,3,3,12,56,83,139,70,47,117,134,123,258,0,3,3,0,10,5,3,3,3,3,9,16,133,227,360,560,935,1498,62,42,103,7928,7640,15571
POA2906,0,0,0,167,201,364,0,0,0,0,0,0,9,0,9,3683,3444,7129,187,407,602,44,0,50,88,5,94,34,0,35,25,5,30,33,40,67,4263,4110,8375,0,0,0,0,0,0,0,0,0,8,3,8,0,0,0,0,0,0,4,3,12,0,0,0,0,0,0,15,27,44,4,10,16,7,5,11,25,42,70,36,17,60,76,68,139,0,0,0,3,0,4,4,0,4,9,0,11,77,128,200,339,619,963,35,35,68,4797,4957,9756
POA2911,0,0,0,52,50,103,0,0,0,0,0,0,0,0,0,1010,824,1835,52,115,164,9,0,9,24,3,28,23,6,27,8,0,13,12,15,30,1196,1016,2207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,4,18,4,4,6,3,0,4,21,13,30,13,9,21,29,22,59,0,0,0,3,0,3,0,0,0,0,0,4,21,48,72,76,146,224,3,4,11,1335,1246,2576
POA2912,3,0,3,165,172,337,0,0,0,0,0,0,4,4,8,1181,923,2102,76,142,216,21,0,21,26,4,25,19,4,27,9,3,15,57,75,137,1559,1323,2884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,9,13,12,6,12,3,0,3,17,12,30,9,7,21,31,23,51,3,0,3,0,3,3,0,0,0,3,3,5,30,34,63,115,181,291,10,5,18,1751,1574,3322
POA2913,8,4,14,582,557,1139,3,4,7,3,3,10,22,6,34,7166,6205,13373,414,828,1247,103,0,102,188,12,194,150,40,194,44,32,76,105,82,185,8783,7790,16573,0,0,0,0,0,0,0,0,0,13,4,13,0,0,0,0,0,0,10,3,19,0,0,0,0,0,0,58,43,97,28,38,73,11,3,13,97,88,180,93,75,168,203,165,365,0,0,0,6,4,14,9,0,6,12,9,20,185,292,480,621,1155,1780,57,45,104,9866,9457,19323
POA2914,7,6,14,424,428,852,0,0,0,3,0,3,16,3,20,5224,4159,9385,273,616,889,40,0,40,130,8,137,93,15,105,46,28,71,63,59,128,6326,5327,11653,4,0,4,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,7,3,8,0,0,0,0,0,0,59,44,104,7,29,38,5,0,6,71,74,149,59,27,89,138,109,247,4,0,4,12,4,14,0,0,0,11,4,22,110,231,337,369,752,1124,40,30,75,6995,6460,13453
