POA_CODE_2016,D_15_17_FPEAW_MPEFT,D_15_17_FPEAW_MPEPT,D_15_17_FPEAW_MPEAW,D_15_17_FPEAW_MPEHNS,D_15_17_FPEAW_MPET,D_15_17_FPEAW_MPULFTW,D_15_17_FPEAW_MPULPTW,D_15_17_FPEAW_MPUT,D_15_17_FPEAW_MPTLF,D_15_17_FPEAW_MPNLF,D_15_17_FPEAW_MPLFSNS,D_15_17_FPEAW_T,D_15_17_FPHNS_MPEFT,D_15_17_FPHNS_MPEPT,D_15_17_FPHNS_MPEAW,D_15_17_FPHNS_MPEHNS,D_15_17_FPHNS_MPET,D_15_17_FPHNS_MPULFTW,D_15_17_FPHNS_MPULPTW,D_15_17_FPHNS_MPUT,D_15_17_FPHNS_MPTLF,D_15_17_FPHNS_MPNLF,D_15_17_FPHNS_MPLFSNS,D_15_17_FPHNS_T,D_15_17_FPET_MPEFT,D_15_17_FPET_MPEPT,D_15_17_FPET_MPEAW,D_15_17_FPET_MPEHNS,D_15_17_FPET_MPET,D_15_17_FPET_MPULFTW,D_15_17_FPET_MPULPTW,D_15_17_FPET_MPUT,D_15_17_FPET_MPTLF,D_15_17_FPET_MPNLF,D_15_17_FPET_MPLFSNS,D_15_17_FPET_T,D_15_17_FPULFTW_MPEFT,D_15_17_FPULFTW_MPEPT,D_15_17_FPULFTW_MPEAW,D_15_17_FPULFTW_MPEHNS,D_15_17_FPULFTW_MPET,D_15_17_FPULFTW_MPULFTW,D_15_17_FPULFTW_MPULPTW,D_15_17_FPULFTW_MPUT,D_15_17_FPULFTW_MPTLF,D_15_17_FPULFTW_MPNLF,D_15_17_FPULFTW_MPLFSNS,D_15_17_FPULFTW_T,D_15_17_FPULPTW_MPEFT,D_15_17_FPULPTW_MPEPT,D_15_17_FPULPTW_MPEAW,D_15_17_FPULPTW_MPEHNS,D_15_17_FPULPTW_MPET,D_15_17_FPULPTW_MPULFTW,D_15_17_FPULPTW_MPULPTW,D_15_17_FPULPTW_MPUT,D_15_17_FPULPTW_MPTLF,D_15_17_FPULPTW_MPNLF,D_15_17_FPULPTW_MPLFSNS,D_15_17_FPULPTW_T,D_15_17_FPUT_MPEFT,D_15_17_FPUT_MPEPT,D_15_17_FPUT_MPEAW,D_15_17_FPUT_MPEHNS,D_15_17_FPUT_MPET,D_15_17_FPUT_MPULFTW,D_15_17_FPUT_MPULPTW,D_15_17_FPUT_MPUT,D_15_17_FPUT_MPTLF,D_15_17_FPUT_MPNLF,D_15_17_FPUT_MPLFSNS,D_15_17_FPUT_T,D_15_17_FPTLF_MPEFT,D_15_17_FPTLF_MPEPT,D_15_17_FPTLF_MPEAW,D_15_17_FPTLF_MPEHNS,D_15_17_FPTLF_MPET,D_15_17_FPTLF_MPULFTW,D_15_17_FPTLF_MPULPTW,D_15_17_FPTLF_MPUT,D_15_17_FPTLF_MPTLF,D_15_17_FPTLF_MPNLF,D_15_17_FPTLF_MPLFSNS,D_15_17_FPTLF_T,D_15_17_FPNLF_MPEFT,D_15_17_FPNLF_MPEPT,D_15_17_FPNLF_MPEAW,D_15_17_FPNLF_MPEHNS,D_15_17_FPNLF_MPET,D_15_17_FPNLF_MPULFTW,D_15_17_FPNLF_MPULPTW,D_15_17_FPNLF_MPUT,D_15_17_FPNLF_MPTLF,D_15_17_FPNLF_MPNLF,D_15_17_FPNLF_MPLFSNS,D_15_17_FPNLF_T,D_15_17_FPLFSNS_MPEFT,D_15_17_FPLFSNS_MPEPT,D_15_17_FPLFSNS_MPEAW,D_15_17_FPLFSNS_MPEHNS,D_15_17_FPLFSNS_MPET,D_15_17_FPLFSNS_MPULFTW,D_15_17_FPLFSNS_MPULPTW,D_15_17_FPLFSNS_MPUT,D_15_17_FPLFSNS_MPTLF,D_15_17_FPLFSNS_MPNLF,D_15_17_FPLFSNS_MPLFSNS,D_15_17_FPLFSNS_T,D_15_17_FPT_MPEFT,D_15_17_FPT_MPEPT,D_15_17_FPT_MPEAW,D_15_17_FPT_MPEHNS,D_15_17_FPT_MPET,D_15_17_FPT_MPULFTW,D_15_17_FPT_MPULPTW,D_15_17_FPT_MPUT,D_15_17_FPT_MPTLF,D_15_17_FPT_MPNLF,D_15_17_FPT_MPLFSNS,D_15_17_FPT_T,D_18_20_FPEFT_MPEFT,D_18_20_FPEFT_MPEPT,D_18_20_FPEFT_MPEAW,D_18_20_FPEFT_MPEHNS,D_18_20_FPEFT_MPET,D_18_20_FPEFT_MPULFTW,D_18_20_FPEFT_MPULPTW,D_18_20_FPEFT_MPUT,D_18_20_FPEFT_MPTLF,D_18_20_FPEFT_MPNLF,D_18_20_FPEFT_MPLFSNS,D_18_20_FPEFT_T,D_18_20_FPEPT_MPEFT,D_18_20_FPEPT_MPEPT,D_18_20_FPEPT_MPEAW,D_18_20_FPEPT_MPEHNS,D_18_20_FPEPT_MPET,D_18_20_FPEPT_MPULFTW,D_18_20_FPEPT_MPULPTW,D_18_20_FPEPT_MPUT,D_18_20_FPEPT_MPTLF,D_18_20_FPEPT_MPNLF,D_18_20_FPEPT_MPLFSNS,D_18_20_FPEPT_T,D_18_20_FPEAW_MPEFT,D_18_20_FPEAW_MPEPT,D_18_20_FPEAW_MPEAW,D_18_20_FPEAW_MPEHNS,D_18_20_FPEAW_MPET,D_18_20_FPEAW_MPULFTW,D_18_20_FPEAW_MPULPTW,D_18_20_FPEAW_MPUT,D_18_20_FPEAW_MPTLF,D_18_20_FPEAW_MPNLF,D_18_20_FPEAW_MPLFSNS,D_18_20_FPEAW_T,D_18_20_FPHNS_MPEFT,D_18_20_FPHNS_MPEPT,D_18_20_FPHNS_MPEAW,D_18_20_FPHNS_MPEHNS,D_18_20_FPHNS_MPET,D_18_20_FPHNS_MPULFTW,D_18_20_FPHNS_MPULPTW,D_18_20_FPHNS_MPUT,D_18_20_FPHNS_MPTLF,D_18_20_FPHNS_MPNLF,D_18_20_FPHNS_MPLFSNS,D_18_20_FPHNS_T,D_18_20_FPET_MPEFT,D_18_20_FPET_MPEPT,D_18_20_FPET_MPEAW,D_18_20_FPET_MPEHNS,D_18_20_FPET_MPET,D_18_20_FPET_MPULFTW,D_18_20_FPET_MPULPTW,D_18_20_FPET_MPUT,D_18_20_FPET_MPTLF,D_18_20_FPET_MPNLF,D_18_20_FPET_MPLFSNS,D_18_20_FPET_T,D_18_20_FPULFTW_MPEFT,D_18_20_FPULFTW_MPEPT,D_18_20_FPULFTW_MPEAW,D_18_20_FPULFTW_MPEHNS,D_18_20_FPULFTW_MPET,D_18_20_FPULFTW_MPULFTW,D_18_20_FPULFTW_MPULPTW,D_18_20_FPULFTW_MPUT,D_18_20_FPULFTW_MPTLF,D_18_20_FPULFTW_MPNLF,D_18_20_FPULFTW_MPLFSNS,D_18_20_FPULFTW_T,D_18_20_FPULPTW_MPEFT,D_18_20_FPULPTW_MPEPT,D_18_20_FPULPTW_MPEAW,D_18_20_FPULPTW_MPEHNS,D_18_20_FPULPTW_MPET,D_18_20_FPULPTW_MPULFTW,D_18_20_FPULPTW_MPULPTW,D_18_20_FPULPTW_MPUT
POA2612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,11,3,0,105,6,0,4,107,8,0,121,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,90,11,3,0,110,6,0,4,114,8,0,123,8,0,0,0,6,0,0,0,12,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,101,13,3,0,117,3,0,7,125,10,0,135,33,3,0,0,38,0,0,0,35,4,0,40,16,0,0,0,16,0,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,3,0,0,56,3,0,3,59,4,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2614,7,0,3,0,7,0,0,0,7,3,0,8,4,0,0,0,4,0,0,0,4,0,0,4,268,31,10,0,308,3,0,3,312,13,0,330,0,3,0,0,4,0,0,0,4,0,0,4,0,0,0,0,3,0,0,0,3,0,0,3,3,3,0,0,6,0,0,0,8,0,0,8,272,33,12,3,314,4,0,4,318,13,0,334,24,4,0,3,30,3,0,3,37,6,0,36,0,0,0,0,0,0,0,0,0,0,0,0,297,35,10,3,348,3,0,5,356,22,0,376,69,9,0,0,79,0,0,0,79,11,0,90,34,8,0,0,46,0,0,0,46,4,0,51,3,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,104,23,3,0,131,0,0,0,131,17,0,146,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0
POA2615,5,0,3,0,13,0,0,0,13,0,0,15,0,0,0,7,7,0,0,0,7,0,0,7,630,73,9,13,719,6,3,4,728,43,0,766,9,3,0,0,16,0,0,0,16,0,0,16,3,0,0,0,0,0,0,0,3,0,0,7,13,3,0,0,15,0,0,0,17,0,0,19,641,75,10,13,741,6,3,8,748,43,0,785,84,8,0,5,98,0,0,3,97,30,0,131,3,0,0,0,3,0,0,0,3,0,0,3,726,80,8,14,832,10,3,15,844,73,0,921,139,13,0,3,157,3,0,7,161,13,0,176,81,13,0,0,96,0,0,3,100,3,0,99,3,0,0,0,5,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,225,29,5,3,256,3,0,8,268,19,0,285,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0
POA2617,5,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,3,0,0,3,329,32,11,0,378,7,3,5,386,19,0,403,0,0,0,0,5,0,0,0,5,0,0,5,3,3,0,0,4,0,0,0,4,0,0,4,5,0,0,0,6,0,0,0,6,0,0,6,333,36,11,0,382,7,3,5,390,19,0,412,50,3,4,0,56,0,0,0,56,10,0,70,0,0,0,0,0,0,0,0,0,0,0,0,386,40,11,3,439,7,3,5,448,30,0,482,78,20,0,0,103,0,0,0,103,9,0,110,43,6,0,0,51,4,0,4,56,4,0,57,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,131,26,3,0,156,3,0,3,157,8,0,168,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0
POA2618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,4,0,0,45,0,0,0,45,5,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,0,0,45,0,0,0,45,5,0,46,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,39,9,0,0,51,0,0,0,51,5,0,51,9,0,0,0,11,0,0,0,11,0,0,11,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,17,0,0,0,17,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,12,0,0,0,12,0,0,12,4,0,0,0,4,0,0,0,4,0,0,9,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2902,3,3,0,0,7,0,0,0,7,0,0,7,0,0,0,3,4,0,0,0,4,0,0,4,248,25,5,4,279,4,0,8,289,10,0,295,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,4,0,0,0,4,0,0,4,5,0,0,0,8,0,0,0,8,0,0,8,250,25,7,4,284,4,0,8,294,10,0,303,31,5,0,3,38,0,3,3,37,12,0,49,0,0,0,0,0,0,0,0,0,0,0,0,280,31,7,8,325,4,3,11,329,21,0,356,68,9,3,0,75,0,0,0,77,3,0,83,27,3,0,0,25,0,0,0,25,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,12,3,0,111,0,0,0,109,9,0,113,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
POA2903,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,3,3,0,0,0,3,0,0,3,140,10,3,3,157,3,0,3,161,13,4,176,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,9,0,0,9,3,0,0,0,3,0,0,0,6,0,0,6,148,10,3,3,160,3,0,3,162,13,4,183,9,3,0,0,16,0,0,0,16,5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,159,17,3,0,175,3,0,3,175,16,4,197,30,10,0,0,35,0,0,0,35,3,0,40,25,7,0,0,30,0,0,0,30,0,0,30,3,0,0,0,5,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,60,9,0,0,75,0,0,0,75,3,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2904,3,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,258,25,5,6,299,0,0,0,299,5,0,309,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,5,0,0,5,264,25,5,6,303,0,0,0,303,5,0,310,24,5,0,0,33,0,0,0,34,7,0,41,0,0,0,0,0,0,0,0,0,0,0,0,287,31,5,10,334,0,0,3,336,19,0,356,60,5,0,4,72,0,0,0,73,7,0,77,41,9,0,0,45,0,0,0,45,3,0,50,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,96,20,6,4,118,0,0,0,119,15,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2905,8,0,3,0,8,0,0,0,8,0,0,8,0,0,0,5,5,0,0,0,5,3,0,5,469,51,17,5,547,9,0,9,549,24,0,579,3,0,0,0,3,0,0,0,4,0,0,8,3,0,0,0,7,0,0,0,5,0,0,9,7,0,0,0,11,0,0,0,13,4,0,13,477,51,17,5,552,9,0,9,562,31,0,591,74,5,5,0,83,0,0,0,86,10,0,99,0,0,0,0,8,0,0,0,8,3,0,9,557,63,16,6,644,9,0,8,655,42,0,700,118,9,0,3,135,0,0,0,138,8,0,145,64,11,0,0,75,3,0,3,73,7,0,76,3,3,0,0,6,0,0,0,6,0,0,6,3,0,0,0,3,0,0,0,3,0,0,3,190,25,0,4,212,5,0,6,219,11,0,234,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0
POA2906,11,8,3,0,18,0,0,0,18,0,0,18,0,0,0,3,3,0,0,0,3,0,0,3,393,38,5,9,448,3,0,3,448,8,0,456,4,0,0,0,3,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,4,0,0,10,401,40,5,9,452,9,0,9,459,6,0,468,41,5,0,0,46,0,0,0,46,10,0,58,0,0,0,0,0,0,0,0,0,0,3,3,441,46,5,9,497,9,0,9,503,20,3,522,102,13,0,0,116,3,0,3,117,10,0,126,52,3,3,0,55,0,0,0,55,0,0,58,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,151,16,5,4,179,3,0,3,181,9,0,188,0,0,0,0,0,3,0,3,7,0,0,7,0,0,0,0,0,0,0,0
POA2911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,3,0,0,58,0,0,0,58,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,54,4,0,0,57,0,0,0,57,5,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,4,0,0,64,0,0,0,64,5,0,64,19,0,0,0,23,0,0,0,24,0,0,19,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,27,0,0,0,24,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,14,3,5,98,3,0,3,96,4,0,105,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,7,0,0,7,81,14,3,5,101,3,0,3,108,4,0,106,7,0,0,0,7,0,0,0,7,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,92,13,3,5,108,3,0,3,112,5,0,120,15,3,0,0,22,3,0,3,24,0,0,30,6,6,0,0,10,0,0,0,10,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,12,0,0,33,3,0,3,37,0,0,42,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0
POA2913,12,0,0,0,9,0,0,0,9,0,0,9,0,0,0,5,3,0,0,0,3,0,0,3,633,60,13,7,713,3,3,4,719,25,0,739,0,0,0,0,4,0,0,0,4,0,0,3,10,0,0,0,10,0,0,0,10,0,0,10,10,0,0,0,16,0,0,0,16,0,0,14,645,60,12,7,721,3,3,4,732,24,0,755,79,3,0,0,86,3,5,5,89,14,0,109,0,0,0,0,0,0,0,0,0,0,0,3,725,61,16,11,812,4,4,11,824,43,4,865,200,17,3,5,217,3,3,7,227,17,0,243,100,12,3,0,118,0,0,0,118,6,0,121,8,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,303,27,4,6,342,6,3,5,348,20,0,371,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0
POA2914,7,0,0,0,7,0,0,0,7,0,0,7,3,0,0,0,3,0,0,0,3,0,0,3,474,40,4,0,517,4,0,7,521,12,0,537,4,0,0,0,5,5,0,5,11,0,0,11,3,0,0,0,3,0,0,3,4,0,0,12,11,0,0,0,14,3,0,4,17,0,0,16,482,38,4,0,526,13,3,9,538,15,0,553,68,5,0,0,81,0,0,3,80,4,0,81,0,0,0,0,0,0,0,0,0,0,0,0,550,46,4,3,602,12,0,13,622,18,0,636,109,14,0,0,121,0,0,0,128,7,0,133,73,3,3,0,83,0,0,0,85,3,0,88,3,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,188,19,6,3,215,4,0,4,215,8,0,230,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0
