POA_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
POA2612,19,523,40,576,24,1416,158,1596,83,2069,264,2422,74,842,134,1043,109,667,113,885,112,526,76,715,45,321,60,430,16,134,31,179,20,59,8,84,491,6556,886,7933,18,396,49,465,44,1104,111,1265,76,1835,210,2120,87,696,84,865,116,531,67,723,123,400,42,568,98,319,49,465,33,192,43,262,13,96,28,140,605,5581,687,6872,33,918,90,1039,72,2519,269,2863,160,3905,479,4543,156,1537,214,1911,223,1200,185,1609,233,924,117,1282,141,641,114,895,47,330,66,443,29,160,41,230,1095,12135,1572,14807
POA2614,17,475,30,520,40,612,39,695,81,1070,75,1221,128,1129,72,1326,200,1005,66,1264,160,709,41,909,131,723,50,908,84,431,63,579,23,162,27,204,859,6314,451,7631,35,411,30,473,37,515,31,591,120,1100,62,1283,186,1145,65,1399,260,918,57,1238,270,733,51,1050,221,803,70,1089,111,465,69,650,17,267,39,333,1270,6360,481,8103,51,886,62,997,78,1132,76,1282,202,2172,136,2509,316,2272,134,2721,461,1921,120,2505,432,1440,84,1960,345,1526,121,1998,195,899,128,1228,39,431,68,538,2131,12676,927,15737
POA2615,70,1145,86,1301,70,1180,78,1336,214,2771,180,3167,362,2893,177,3427,365,2133,122,2610,363,1665,123,2150,288,1390,115,1795,96,523,71,697,25,113,27,158,1853,13811,986,16646,82,1097,74,1261,88,1112,71,1265,369,2945,177,3489,528,2883,159,3575,572,2013,144,2729,575,1813,158,2551,385,1536,154,2082,85,584,76,747,14,193,56,261,2708,14176,1069,17957,159,2239,165,2563,156,2290,151,2606,585,5718,355,6658,893,5777,339,7009,940,4142,259,5337,943,3473,280,4701,671,2928,278,3876,185,1109,149,1439,36,307,82,420,4560,27987,2060,34605
POA2617,32,836,84,954,92,1836,161,2087,168,2851,248,3271,191,1928,162,2280,207,1362,123,1690,251,1247,103,1603,150,960,92,1203,64,335,49,445,19,100,41,163,1177,11450,1067,13697,42,827,64,930,111,1850,184,2142,194,2815,191,3197,280,1743,132,2156,299,1248,99,1656,407,1287,146,1836,233,922,92,1245,50,421,67,542,13,157,111,284,1631,11274,1084,13991,76,1660,149,1889,198,3684,340,4221,369,5669,442,6473,469,3669,295,4436,507,2614,224,3343,661,2536,246,3438,376,1882,187,2447,112,755,115,989,31,256,154,446,2806,22730,2153,27686
POA2618,8,50,8,66,3,35,8,43,3,37,9,50,4,77,6,88,12,92,8,112,12,67,5,88,9,76,3,88,3,31,3,44,0,3,0,5,49,478,56,585,3,50,9,60,0,27,3,33,0,42,11,50,7,91,13,116,22,78,9,110,25,72,6,106,15,65,4,85,3,20,8,32,0,3,0,3,83,451,60,595,5,99,19,123,3,68,7,81,4,77,18,104,11,173,17,206,37,167,19,226,36,146,11,193,29,144,11,175,8,55,11,70,0,7,0,7,133,930,114,1177
POA2900,3,35,6,37,3,59,11,72,10,215,18,243,12,134,7,152,11,77,7,101,9,85,7,103,10,61,3,85,8,26,0,37,0,7,3,7,65,704,63,830,0,33,3,34,12,58,3,70,21,187,20,228,11,93,4,116,19,92,10,118,26,90,13,125,17,92,6,117,6,41,3,54,0,20,0,16,111,708,58,872,0,64,7,69,12,121,13,140,30,406,34,468,20,229,15,267,32,172,14,214,35,174,18,231,29,157,15,199,15,72,5,85,0,23,3,25,170,1408,127,1702
POA2902,20,414,26,462,14,364,28,408,52,746,55,847,97,858,64,1015,140,785,40,963,157,714,51,918,110,679,57,854,41,189,30,261,7,34,8,44,629,4794,357,5775,39,414,24,474,28,320,28,373,95,704,50,846,166,852,59,1080,219,759,58,1036,279,771,68,1119,166,635,64,863,40,214,34,287,3,51,15,72,1040,4714,399,6160,59,831,52,942,42,685,56,780,146,1443,108,1695,255,1716,124,2092,358,1540,101,2001,435,1492,112,2040,282,1312,122,1716,81,407,62,551,9,89,23,119,1667,9511,753,11933
POA2903,20,251,8,284,17,260,14,287,43,461,22,525,73,532,31,633,94,473,36,603,105,483,45,638,65,370,27,461,22,117,9,153,0,29,3,32,445,2976,191,3604,11,259,12,285,25,203,12,244,62,474,25,560,100,510,31,633,140,480,25,648,156,580,48,776,111,316,29,460,17,110,17,141,4,46,3,53,633,2976,197,3803,40,513,20,571,45,462,23,529,111,928,49,1083,172,1040,62,1269,234,952,58,1246,261,1060,91,1415,178,691,55,920,43,229,27,290,8,75,8,84,1078,5951,384,7406
POA2904,23,381,22,430,15,372,18,409,34,628,25,695,83,624,25,733,123,669,36,835,145,813,44,997,84,491,41,616,28,158,31,216,13,51,41,106,559,4190,294,5038,26,364,20,410,31,316,10,352,61,636,20,720,111,660,43,811,174,756,40,973,258,830,41,1130,112,422,55,589,35,229,67,332,4,111,102,221,808,4330,405,5544,53,749,42,839,44,687,28,763,98,1269,46,1415,195,1282,70,1543,300,1423,82,1807,405,1644,84,2127,195,917,98,1204,66,382,103,555,19,165,146,329,1361,8517,700,10582
POA2905,42,946,54,1049,43,951,65,1056,137,1879,115,2122,171,1567,84,1828,254,1592,108,1951,275,1509,92,1878,106,654,52,809,45,248,42,332,7,69,14,90,1078,9414,628,11125,61,842,64,970,62,848,49,963,208,1806,99,2120,282,1600,88,1966,437,1745,90,2275,437,1398,110,1938,173,677,70,921,56,314,43,406,11,118,22,150,1714,9359,633,11712,101,1790,122,2016,103,1802,119,2022,342,3688,218,4248,453,3169,176,3795,687,3341,199,4227,709,2908,199,3820,281,1333,120,1729,94,560,83,744,14,189,35,238,2795,18775,1268,22832
POA2906,25,643,32,708,17,585,38,642,80,991,46,1113,117,952,72,1144,187,1141,80,1408,145,761,55,960,62,345,36,441,20,164,21,206,13,34,4,55,680,5615,383,6672,31,649,57,737,42,604,25,677,127,1066,60,1255,205,1027,52,1278,305,1253,87,1637,178,694,34,901,77,395,36,502,27,215,24,267,6,57,16,78,989,5957,381,7330,64,1296,88,1445,64,1192,64,1321,202,2059,104,2364,319,1974,128,2421,494,2395,163,3048,323,1457,89,1866,140,734,65,939,46,382,43,471,20,85,22,131,1666,11572,767,14005
POA2911,0,87,4,92,8,150,4,161,27,500,35,557,49,394,26,468,23,170,9,200,13,87,5,101,11,43,0,57,4,18,0,22,0,4,0,4,128,1453,82,1670,3,74,3,76,3,148,9,165,47,565,35,644,49,331,20,402,28,160,4,194,27,102,5,135,13,47,0,64,3,22,0,30,0,3,0,4,169,1467,76,1711,3,161,5,172,10,303,12,327,66,1065,71,1202,92,728,48,869,52,331,6,391,38,187,9,237,22,93,3,117,5,42,0,53,0,6,0,9,295,2916,165,3379
POA2912,6,163,9,181,13,309,32,351,50,541,65,654,41,462,47,547,37,306,18,364,31,171,17,215,5,68,5,81,3,26,4,37,0,4,0,7,184,2064,195,2444,3,177,12,195,14,280,30,327,60,585,43,684,56,437,35,529,52,285,20,357,41,168,21,233,15,91,8,117,7,22,6,40,3,7,0,11,259,2053,177,2492,8,346,25,378,31,587,59,677,110,1125,109,1337,101,894,76,1073,92,593,39,719,74,344,33,450,26,162,11,202,8,50,17,73,3,16,3,20,444,4118,372,4933
POA2913,43,1054,67,1169,45,1058,77,1181,209,2923,198,3326,267,2424,170,2862,246,1833,135,2214,184,1165,79,1423,117,612,45,782,32,238,28,302,4,52,13,74,1159,11355,813,13330,49,973,60,1085,74,1157,85,1315,298,3112,220,3627,353,2399,141,2888,393,1819,121,2334,282,1125,91,1497,152,693,59,902,48,282,34,361,3,52,15,64,1652,11607,815,14071,95,2033,123,2254,124,2207,165,2496,501,6033,417,6952,621,4825,308,5750,638,3654,256,4543,459,2283,170,2921,271,1309,108,1687,84,519,59,665,12,100,26,138,2807,22961,1634,27399
POA2914,27,646,37,708,38,654,28,713,128,1928,90,2144,241,2275,137,2648,167,1244,86,1496,88,547,34,663,36,249,18,296,16,91,12,119,0,11,3,16,743,7631,430,8805,44,687,44,777,40,728,52,813,223,2145,102,2471,325,2184,118,2627,208,1131,51,1391,122,526,38,689,61,253,17,333,15,92,13,118,4,23,0,25,1035,7774,431,9242,79,1333,78,1488,72,1383,72,1530,351,4071,186,4612,567,4463,251,5273,378,2374,135,2887,206,1075,74,1352,98,502,32,630,33,180,25,237,6,32,4,43,1782,15412,859,18048
