POA_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
POA2612,57,152,0,5,27,0,0,0,4,242,15,35,4,3,11,0,0,0,3,74,281,784,31,110,212,50,0,25,41,1538,4,0,0,0,0,0,0,0,0,4,20,27,9,18,29,9,0,0,3,111,20,17,8,25,42,14,0,5,0,134,38,36,29,37,46,16,0,6,4,217,6,4,3,4,9,3,0,3,0,33,0,10,0,9,12,7,0,3,0,36,4,4,0,3,7,3,0,0,0,21,6,5,5,3,10,3,0,0,3,36,653,1585,91,249,491,121,5,62,80,3329,3,12,0,0,4,0,0,0,0,16,71,350,12,3,28,0,0,3,0,465,373,722,12,43,149,28,4,42,41,1410,3,16,0,3,3,0,0,0,0,24,91,272,0,18,45,4,0,0,8,431,35,63,3,5,14,0,0,0,3,128,637,1602,85,222,380,94,8,72,83,3188,4,0,0,0,0,0,0,0,0,4
POA2614,40,166,3,21,33,7,0,0,3,275,15,42,0,5,9,0,0,0,5,78,251,719,29,107,240,41,3,20,27,1450,0,0,0,0,0,0,0,0,0,8,34,57,4,32,46,17,0,3,5,191,32,38,18,53,57,12,0,5,13,234,32,27,36,91,86,35,3,10,3,322,3,0,5,8,16,5,0,0,0,46,5,11,4,18,20,6,0,6,3,71,6,6,0,3,6,3,0,0,0,33,3,12,4,5,12,3,0,0,7,43,592,1541,119,371,616,138,10,64,85,3530,0,7,0,0,0,0,0,0,0,10,86,373,12,3,31,0,0,0,8,523,259,533,16,39,113,9,6,13,30,1030,4,14,0,0,8,0,0,0,0,27,93,276,14,27,59,4,0,0,8,478,29,65,0,8,17,3,0,0,5,121,520,1338,98,179,371,78,21,65,63,2735,0,0,4,0,0,0,0,0,0,8
POA2615,54,235,3,49,46,3,0,3,4,398,30,68,0,3,23,4,0,0,3,141,364,1305,60,237,500,85,3,38,44,2640,0,4,0,8,10,0,0,0,0,27,63,128,22,84,152,23,0,16,6,484,151,157,40,218,285,36,3,21,28,930,129,134,155,342,444,91,9,37,34,1384,8,14,11,28,68,29,0,15,3,172,14,21,12,50,112,14,3,6,7,249,0,18,4,19,26,3,0,3,3,70,10,19,3,22,44,12,3,11,6,125,989,2646,326,1098,1839,320,26,140,164,7540,0,15,0,0,0,0,0,0,0,19,58,307,8,4,17,0,0,0,3,406,309,725,33,65,196,35,13,16,40,1427,11,27,0,0,3,0,0,0,0,47,101,361,8,59,65,9,3,7,17,624,53,93,3,13,32,4,0,0,4,212,731,2276,178,357,729,148,30,84,108,4646,3,4,0,8,9,0,0,0,0,31
POA2617,59,215,4,23,49,7,0,3,4,370,25,61,0,4,28,3,0,0,0,118,338,1207,61,240,425,108,3,38,45,2463,0,0,0,0,3,0,0,0,0,10,43,66,12,40,103,30,0,6,4,306,77,89,46,145,152,38,0,11,6,564,72,71,79,204,187,54,8,31,16,722,11,6,4,18,19,14,0,3,0,85,14,18,4,31,52,19,0,8,3,148,3,14,3,5,7,0,0,3,3,42,8,22,3,23,23,12,0,7,8,107,834,2369,227,801,1218,322,15,126,119,6041,3,7,0,0,0,3,0,0,0,12,79,421,10,4,33,7,0,0,8,562,349,909,45,100,273,47,9,41,38,1812,12,26,0,0,3,3,0,0,5,56,118,334,13,33,68,13,0,3,10,584,42,95,0,10,42,3,0,0,6,207,756,2252,177,385,692,189,29,133,90,4705,3,3,0,3,3,0,0,0,0,19
POA2618,8,13,0,0,0,0,0,0,0,17,0,3,0,0,0,0,0,0,0,4,16,45,0,4,14,3,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,19,4,11,0,0,9,0,0,0,0,25,4,3,7,12,14,0,0,0,0,33,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,44,93,8,21,54,8,0,10,3,245,0,3,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,14,15,16,0,3,3,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,0,0,24,0,4,0,0,0,0,0,0,0,7,40,76,7,8,23,9,0,3,0,156,0,0,0,0,0,0,0,0,0,0
POA2900,0,10,0,3,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,6,17,68,0,8,32,6,0,0,3,131,0,0,0,0,0,0,0,0,0,0,3,6,0,7,6,4,0,0,0,20,13,12,3,8,13,0,0,0,0,49,6,3,9,18,12,3,0,0,0,47,0,0,0,0,3,0,0,0,0,6,0,4,0,0,9,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,45,126,9,51,78,20,0,3,10,342,0,3,0,0,0,0,0,0,0,3,0,8,0,0,4,0,0,0,0,8,10,74,5,6,10,0,0,0,3,110,0,0,0,0,0,0,0,0,0,0,9,21,0,3,4,0,0,0,0,35,0,4,0,0,5,0,0,0,0,13,33,181,3,14,48,5,3,0,6,297,0,0,0,0,0,0,0,0,0,0
POA2902,21,95,3,10,17,0,0,0,3,151,8,31,0,0,10,0,0,0,0,52,127,463,19,71,158,17,3,8,17,890,0,0,0,3,0,0,0,0,0,4,25,55,3,30,65,9,0,0,3,192,42,38,13,47,92,9,0,0,12,262,29,48,50,107,113,29,3,11,8,402,3,6,0,12,17,11,0,3,0,52,11,3,0,14,44,7,0,0,0,88,3,7,0,3,15,0,0,5,0,30,6,10,4,15,17,5,0,0,8,62,344,912,100,331,576,96,12,37,57,2454,0,0,0,0,0,0,0,0,0,3,32,83,3,0,5,0,0,0,3,126,101,227,3,17,54,3,0,0,8,418,3,7,0,0,4,0,0,0,0,19,40,139,3,20,27,0,0,0,3,239,22,41,0,3,13,0,0,0,0,72,272,836,43,115,232,33,11,15,37,1599,0,0,0,3,0,0,0,0,0,3
POA2903,16,65,0,7,19,0,0,0,0,108,3,15,0,0,6,0,0,0,0,29,73,297,14,36,106,13,0,3,7,538,0,3,0,0,0,0,0,0,0,5,11,29,0,20,30,3,0,0,0,103,24,34,4,49,81,7,0,0,4,207,9,30,26,78,95,17,3,6,3,266,5,6,0,3,12,4,0,4,3,33,4,7,3,3,18,3,0,3,3,51,4,7,0,0,7,0,0,0,0,18,4,6,0,0,16,6,0,0,6,38,202,583,50,201,407,61,3,24,27,1562,0,5,0,0,0,0,0,0,0,11,22,44,0,0,7,0,0,0,0,76,88,142,8,16,36,3,3,0,3,293,0,7,0,0,0,0,0,0,0,9,31,86,0,13,29,0,0,0,3,154,5,19,0,0,12,4,0,0,0,44,161,546,27,63,159,33,6,9,21,1029,3,3,0,0,3,0,0,0,0,7
POA2904,24,74,0,11,17,0,0,0,0,132,17,24,0,0,6,0,0,0,0,50,135,442,17,65,159,26,0,0,15,849,0,0,0,0,0,0,0,0,0,3,37,50,10,28,65,10,0,3,5,202,53,50,12,52,92,13,0,6,5,280,32,46,46,80,122,19,4,7,5,368,5,0,0,10,18,5,0,3,0,42,10,8,3,23,43,5,0,4,0,94,0,7,0,3,13,0,0,0,0,27,3,4,4,6,10,3,0,3,6,44,377,863,92,280,583,81,7,23,45,2341,4,4,0,0,0,0,0,0,0,11,32,65,0,0,4,0,0,0,0,107,122,245,5,18,54,0,0,0,11,455,10,13,0,0,3,0,0,0,0,26,52,114,4,18,31,0,0,3,0,218,30,33,4,0,12,0,0,0,0,81,294,779,49,93,230,32,12,9,24,1526,0,0,0,4,0,0,0,0,0,4
POA2905,33,92,0,27,22,0,0,0,6,184,21,41,0,4,18,0,0,0,0,82,211,748,19,117,286,37,6,13,36,1475,4,0,0,0,3,5,0,0,0,15,61,115,11,50,126,4,0,5,8,379,111,121,20,152,236,26,5,11,18,700,83,118,126,258,371,76,12,29,17,1094,6,12,3,21,47,12,0,12,5,111,27,20,14,38,90,17,4,3,4,222,5,10,3,8,22,3,0,3,0,59,18,14,0,17,33,17,0,9,10,122,643,1497,209,717,1309,208,26,85,115,4805,3,3,0,0,0,0,0,0,0,4,19,85,9,3,11,0,0,0,0,132,134,317,19,33,67,6,3,6,10,596,10,26,0,0,6,0,0,0,0,41,58,155,11,32,31,3,3,0,7,301,42,52,0,9,26,0,0,0,3,132,396,1255,74,182,402,80,22,22,66,2505,5,3,0,0,3,5,0,0,0,19
POA2906,19,68,3,16,10,0,0,0,3,116,11,26,0,0,14,0,0,0,4,56,127,457,19,65,168,28,0,9,25,902,0,0,0,0,0,0,0,0,0,3,44,54,3,37,81,15,0,0,5,239,73,77,13,83,165,15,0,10,12,449,46,62,62,178,249,52,8,16,21,704,7,8,3,20,29,10,3,0,0,78,15,6,3,16,62,8,0,3,3,119,3,13,0,10,9,3,0,0,3,38,5,4,3,8,22,9,0,5,13,79,393,888,123,449,825,150,21,52,75,2974,3,7,0,0,0,0,0,0,0,9,10,33,0,0,5,0,0,0,0,57,108,178,11,24,36,3,4,3,8,371,4,14,0,0,0,0,0,0,0,14,31,105,3,15,18,0,5,0,4,188,24,34,0,0,16,0,0,0,3,81,253,763,59,105,225,34,9,21,49,1512,0,0,0,0,0,0,0,0,0,6
POA2911,10,33,0,7,12,0,0,0,0,61,3,5,0,0,0,0,0,0,0,6,70,213,9,22,71,18,0,0,4,415,0,0,0,0,0,0,0,0,0,0,8,5,0,15,26,0,0,0,0,60,16,17,0,18,37,11,0,0,3,97,22,16,6,19,37,5,0,7,3,111,0,0,0,0,0,0,0,3,0,8,3,4,0,4,8,0,0,3,0,24,0,0,0,0,0,0,0,0,0,8,0,3,0,0,3,0,0,0,0,8,165,410,22,110,223,47,0,10,23,1009,0,0,0,0,0,0,0,0,0,3,4,63,3,0,3,0,0,0,0,80,84,215,9,20,61,10,7,8,17,434,0,0,0,0,0,0,0,0,0,6,20,46,0,6,11,0,0,0,0,91,11,7,0,0,3,0,0,0,0,24,138,403,22,39,103,26,10,3,16,764,0,0,0,0,0,0,0,0,0,0
POA2912,3,30,0,15,6,0,0,0,0,53,7,9,0,0,3,0,0,0,0,15,56,210,6,37,80,31,4,11,7,447,0,0,0,0,0,0,0,0,0,0,8,21,0,14,13,0,0,4,3,63,20,15,12,38,45,8,0,5,0,150,20,15,10,47,46,16,3,10,3,160,3,3,0,3,6,0,0,0,0,18,0,3,0,6,11,4,0,0,0,32,0,7,0,0,4,0,0,0,3,17,0,0,3,3,5,3,0,0,0,16,158,389,41,182,253,72,3,30,22,1153,0,0,0,0,0,0,0,0,0,0,10,54,0,4,0,0,0,0,0,76,104,158,13,25,56,23,5,7,8,393,3,7,0,0,3,0,0,0,0,15,7,54,0,17,7,3,0,0,0,87,6,17,3,0,3,0,0,0,0,32,125,380,39,57,135,38,11,32,25,835,0,0,3,0,0,0,0,0,0,3
POA2913,58,182,3,31,58,8,0,0,0,339,20,65,0,9,22,0,0,0,0,114,354,1264,60,226,471,108,3,33,44,2578,0,0,0,3,3,0,0,0,4,11,63,85,24,61,121,31,3,6,8,396,118,119,37,152,268,53,0,8,21,781,93,94,127,234,353,95,7,32,14,1047,14,11,8,26,39,16,0,7,0,121,15,21,8,22,77,17,3,7,3,173,12,19,4,16,17,0,0,3,7,68,8,9,3,19,24,10,0,12,11,100,911,2385,297,878,1622,368,13,127,144,6748,6,15,0,0,7,0,0,0,0,32,65,256,12,3,14,0,3,5,3,357,447,909,59,123,262,57,13,19,39,1927,12,51,3,8,11,3,0,0,3,95,119,290,9,34,72,8,0,0,4,542,39,87,5,5,38,0,0,0,4,181,768,2297,188,349,733,194,27,87,80,4733,3,4,0,3,4,3,0,0,0,22
POA2914,32,115,0,25,23,3,0,0,3,201,26,44,3,3,16,0,0,0,0,93,267,922,33,183,388,84,3,16,48,1944,0,3,0,0,3,0,0,0,0,4,53,70,12,42,92,16,0,3,4,289,85,85,22,120,161,31,0,14,4,524,59,64,57,193,233,61,3,11,14,700,7,3,3,11,27,14,0,4,0,71,13,9,0,17,44,10,0,3,3,101,3,12,3,4,8,4,0,0,0,36,7,8,4,9,11,6,0,0,7,50,658,1807,155,675,1109,252,10,61,104,4836,5,17,0,0,0,0,0,0,0,19,40,219,0,0,24,0,0,0,0,281,391,890,58,101,196,52,11,11,46,1757,13,35,0,5,3,0,0,0,0,58,72,196,3,37,40,6,0,0,3,363,48,64,8,8,20,0,0,0,3,155,597,1658,129,277,544,122,39,46,91,3506,0,3,0,3,0,0,0,0,3,17
