POA_CODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
POA2612,264,10,0,0,10,0,277,29,82,3,0,89,0,115,0,9,5,0,9,0,9,0,0,0,0,0,0,3,28,95,7,0,99,0,128,0,0,0,0,0,0,0,294,104,7,0,112,0,404,251,6,0,0,6,0,261,15,54,0,0,62,0,78,0,0,0,0,3,0,3,3,3,0,0,3,0,3,21,60,0,0,68,0,82,0,0,0,0,0,0,0,271,69,0,0,72,0,338,126,6,0,0,6,0,136,12,20,3,0,27,0,38,0,7,0,0,7,0,3,0,0,0,0,0,0,0,13,28,3,0,32,0,44,0,0,0,0,0,0,0,141,34,3,0,35,0,175,90,3,0,0,3,0,91,5,6,0,0,6,0,16,0,0,0,0,0,0,0,0,0,0,3,3,0,3,5,10,0,3,11,0,16,0,0,0,0,0,0,0,92,16,0,3,15,0,111,112,0,0,0
POA2614,645,29,0,0,29,0,673,38,226,5,0,232,0,275,0,20,4,0,19,0,19,0,0,0,0,3,0,3,38,246,8,0,253,0,299,0,0,0,0,0,0,0,690,271,8,0,280,0,969,766,28,0,3,27,0,796,31,165,5,0,176,0,202,0,12,4,0,17,0,17,0,0,0,0,0,0,0,31,182,8,0,192,0,224,0,0,0,0,0,0,0,801,211,11,4,224,0,1020,417,11,0,0,10,0,428,30,63,8,0,65,0,92,0,9,0,0,6,0,6,0,0,0,0,0,0,0,30,71,7,0,75,0,98,0,0,0,0,0,0,0,448,79,7,0,81,0,527,221,9,0,0,9,0,230,7,42,0,0,43,0,51,0,6,3,0,11,0,11,0,3,0,0,3,0,3,7,51,3,0,56,0,64,0,0,0,0,0,0,0,232,61,3,0,62,0,295,300,12,0,0
POA2615,2043,91,4,0,93,0,2132,146,477,6,4,488,0,636,0,28,12,0,44,0,46,3,0,0,0,5,0,7,149,513,25,7,542,0,686,3,0,0,0,0,0,10,2196,597,23,7,632,0,2822,1878,69,3,0,74,3,1960,101,417,12,0,435,0,535,0,26,22,0,47,0,50,0,3,0,0,6,0,8,107,447,31,3,484,0,592,3,0,0,0,0,0,3,1990,514,36,3,558,9,2554,903,25,0,0,25,0,926,44,162,4,0,172,0,214,0,8,15,0,24,0,24,0,0,0,0,0,0,4,48,177,19,0,193,0,240,0,0,0,0,0,0,3,951,198,17,0,220,0,1167,573,12,0,0,12,0,590,32,88,4,0,95,0,124,0,0,10,0,13,0,11,0,0,0,0,0,0,0,33,88,18,0,108,0,139,0,0,0,0,0,0,0,608,101,18,0,119,0,730,696,13,0,0
POA2617,900,70,0,0,72,0,972,96,425,12,4,435,0,533,0,39,12,0,51,0,51,0,0,0,0,0,0,0,97,466,18,8,492,0,583,0,0,0,0,0,3,3,992,532,21,8,562,3,1556,794,50,0,0,50,0,841,63,294,14,3,312,3,381,3,13,7,0,23,0,26,3,0,0,0,0,0,3,65,313,19,3,342,3,412,3,0,0,0,0,0,9,866,362,19,3,389,8,1259,409,10,0,0,10,0,417,30,112,4,0,114,0,145,0,7,11,0,15,0,14,0,0,0,0,0,0,0,28,114,14,0,131,0,159,0,0,0,0,0,0,6,439,132,14,0,146,0,584,260,15,0,0,15,0,273,9,70,7,0,74,0,89,0,3,4,0,9,0,9,0,0,0,0,0,0,0,9,76,6,0,83,0,97,0,0,0,0,0,0,0,276,87,6,0,99,0,377,347,11,0,0
POA2618,46,0,0,0,0,0,48,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,50,0,0,0,0,0,48,65,0,0,0,0,0,68,3,4,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,5,0,0,0,0,0,0,0,72,4,0,0,4,0,76,48,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3,0,0,3,0,55,36,0,0,0,0,0,36,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,36,3,0,0,3,0,36,45,0,0,0
POA2900,25,0,0,0,0,0,25,3,63,0,0,59,0,69,0,0,0,0,0,0,0,0,3,0,0,3,0,4,5,65,0,0,65,0,69,0,0,0,0,0,0,0,31,65,0,0,65,0,93,19,0,0,0,0,0,19,0,21,0,0,21,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,21,0,0,0,0,0,0,0,16,20,0,0,20,0,35,5,0,0,0,0,0,5,0,7,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,5,0,0,0,0,0,0,0,8,7,0,0,7,0,15,5,0,0,0,0,0,5,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,5,3,0,0,3,0,6,6,0,0,0
POA2902,623,19,0,0,19,0,642,34,87,0,0,92,0,122,0,6,5,0,8,0,8,0,0,0,0,0,0,0,34,98,4,0,98,0,137,0,0,0,0,0,0,0,657,120,4,0,125,0,776,612,14,0,0,14,0,628,34,55,4,0,59,0,95,4,3,0,0,3,0,6,0,0,0,0,0,0,0,39,60,3,0,63,0,102,0,0,0,0,0,0,0,650,75,3,0,78,0,733,335,7,0,0,7,0,343,19,32,0,0,34,0,52,0,0,0,0,3,0,3,0,0,0,0,0,0,0,19,29,5,0,38,0,57,0,0,0,0,0,0,0,354,38,5,0,42,0,401,201,13,0,0,13,0,213,22,30,0,0,30,0,47,0,0,4,0,5,0,5,0,0,0,0,0,0,0,22,32,4,0,33,0,52,0,0,0,0,0,0,0,218,43,4,0,44,0,265,289,8,0,0
POA2903,366,10,0,0,10,3,381,21,56,0,0,58,0,81,0,5,0,0,5,0,3,0,4,0,0,3,0,3,23,66,0,3,67,0,92,0,0,0,0,0,0,0,388,78,0,3,82,6,471,354,8,0,0,6,0,362,22,70,3,0,69,3,92,0,10,0,0,14,0,14,0,0,0,3,3,0,3,24,80,6,3,90,3,108,0,0,0,0,0,0,0,372,85,6,3,98,5,475,175,6,0,0,6,3,185,8,38,3,0,40,0,47,0,3,3,0,5,0,9,0,0,0,0,0,0,0,11,39,4,0,48,0,57,0,0,0,0,0,0,0,191,44,4,0,53,3,243,108,4,0,0,4,0,109,4,20,0,0,22,0,27,0,3,0,0,6,0,6,0,0,0,0,0,0,0,4,24,3,0,28,0,32,0,0,0,0,0,0,0,114,27,3,0,28,0,147,144,3,0,0
POA2904,474,14,0,0,14,0,486,28,107,3,3,111,0,136,0,8,0,0,7,0,11,0,0,0,0,0,0,0,25,113,3,3,122,0,149,0,0,0,0,0,0,0,499,132,3,3,136,0,635,486,12,0,0,12,0,495,27,97,0,0,95,0,123,0,3,3,0,6,0,5,0,0,0,0,0,0,0,22,98,4,0,104,0,128,0,0,0,0,0,0,0,510,111,4,0,117,0,627,247,10,0,0,10,0,258,10,49,0,0,53,0,60,0,3,0,0,4,0,4,0,0,0,0,0,0,0,12,52,3,0,55,0,64,0,0,0,0,0,0,0,263,61,3,0,67,0,327,143,4,0,0,4,0,152,11,48,0,0,48,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,48,0,0,48,0,64,0,0,0,0,0,0,0,153,56,0,0,57,0,213,268,12,0,0
POA2905,1196,58,0,0,58,6,1261,47,257,15,0,270,0,317,0,10,4,0,17,0,17,0,0,0,0,3,0,3,47,273,17,0,291,0,339,0,0,0,0,0,3,3,1242,330,17,0,349,10,1602,1139,42,0,0,42,0,1180,53,209,14,0,220,0,269,0,14,3,0,14,0,14,0,3,3,0,5,0,5,53,220,20,0,240,0,295,3,0,0,0,0,0,3,1194,262,20,0,282,0,1472,583,15,0,0,17,0,600,33,110,4,0,117,0,148,0,12,7,0,18,0,18,0,0,0,0,4,0,4,33,120,16,0,134,0,161,0,0,0,0,0,0,3,618,128,16,0,146,0,765,357,19,0,0,19,0,378,11,65,4,0,71,0,85,0,4,3,0,4,0,4,0,0,0,0,0,0,0,11,68,5,0,79,0,90,0,0,0,0,0,0,0,373,83,5,0,89,0,468,551,8,0,0
POA2906,770,25,0,0,25,0,797,32,132,3,0,141,0,169,3,10,0,0,10,0,14,0,3,0,0,3,0,3,33,147,3,0,152,0,187,0,0,0,0,0,0,0,803,173,3,0,181,0,978,675,31,0,0,31,3,702,38,127,9,0,135,0,172,0,3,0,0,3,0,3,0,6,0,0,6,0,6,38,136,9,0,142,0,183,0,0,0,0,0,0,0,714,167,9,0,172,4,884,397,20,0,0,20,0,410,20,67,3,0,69,0,87,0,3,0,0,5,0,5,0,0,0,0,0,0,0,20,70,5,0,77,0,91,0,0,0,0,0,0,0,410,87,5,0,90,0,506,293,4,0,0,4,0,295,6,41,3,0,43,0,50,0,3,0,0,3,0,3,0,0,0,0,0,0,0,6,44,3,0,45,0,51,0,0,0,0,0,0,0,298,44,3,0,49,0,353,428,12,0,0
POA2911,235,14,0,0,16,0,250,27,192,4,0,197,0,225,0,7,0,0,12,0,12,0,0,0,0,0,0,0,27,200,6,0,203,0,236,0,0,0,0,0,0,0,260,211,6,0,224,0,482,117,3,0,0,3,0,121,11,136,3,0,137,0,144,0,3,3,0,3,0,3,0,0,0,0,0,0,0,11,137,6,0,138,0,151,0,0,0,0,0,0,0,128,140,6,0,144,0,270,46,0,0,0,0,0,50,4,48,0,0,50,0,48,0,0,3,0,3,0,3,0,0,0,0,0,0,0,4,50,5,0,47,0,50,0,0,0,0,0,0,0,50,50,5,0,52,0,105,28,0,0,0,0,0,28,0,29,0,0,30,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,30,0,31,0,0,0,0,0,0,0,32,29,0,0,30,0,63,35,0,0,0
POA2912,169,10,0,0,10,0,178,26,170,7,0,180,0,206,0,16,12,0,23,0,23,0,0,0,0,3,0,3,26,185,16,3,211,0,234,0,0,0,0,0,0,0,197,193,16,3,217,0,409,148,8,0,0,8,0,156,17,114,9,0,123,0,146,0,4,8,0,11,0,11,0,3,0,0,3,0,3,17,119,10,0,135,0,154,0,0,0,0,0,0,0,167,129,10,0,148,0,314,84,7,0,0,7,0,88,8,67,3,0,66,0,77,0,8,3,0,9,0,9,0,0,0,0,0,0,0,8,73,7,0,82,0,91,0,0,0,0,0,0,0,88,80,7,0,85,0,175,50,3,0,0,3,0,51,0,29,0,0,29,0,30,0,3,5,0,10,0,10,0,0,0,0,0,0,0,0,37,5,0,39,0,37,0,0,0,0,0,0,0,47,35,5,0,42,0,88,70,3,0,0
POA2913,1403,99,0,0,99,0,1497,131,815,23,5,842,0,971,0,49,24,0,73,0,80,3,3,0,0,3,0,5,133,865,50,7,923,0,1054,0,4,0,0,4,0,6,1540,968,50,7,1026,0,2563,1111,47,0,3,51,3,1164,75,656,18,5,678,0,751,0,36,22,0,59,0,56,0,3,0,0,3,0,3,77,695,38,5,737,0,818,3,0,0,0,0,0,3,1195,744,38,3,789,3,1983,587,31,0,0,29,0,619,36,277,8,3,289,0,324,0,20,14,0,28,0,32,0,0,0,0,0,0,0,38,291,20,6,314,0,359,0,0,0,0,0,0,3,629,324,20,4,348,3,976,361,11,0,0,11,0,371,24,160,11,0,169,0,193,0,7,4,0,13,0,13,0,0,0,0,0,0,0,24,166,16,0,189,0,214,0,0,0,0,0,0,0,381,178,16,0,195,0,581,576,11,0,0
POA2914,1187,73,0,0,73,0,1258,110,838,13,0,855,0,963,0,51,20,0,73,0,73,0,7,0,0,7,0,7,109,892,31,0,930,0,1033,0,0,0,0,0,0,3,1291,972,31,0,1001,0,2295,1099,53,0,0,53,0,1151,101,698,15,3,710,0,814,0,43,17,0,57,0,61,0,0,0,0,0,0,0,100,736,30,3,773,0,877,4,0,0,0,0,0,5,1202,789,30,3,825,0,2028,574,22,0,0,22,0,593,47,310,6,4,319,0,365,0,23,12,0,38,0,38,0,0,0,0,0,0,0,47,330,17,4,361,0,404,0,0,0,0,0,0,0,619,352,17,4,377,0,996,328,15,0,0,15,0,342,25,170,8,4,175,0,201,0,9,7,0,18,0,18,0,0,0,0,0,0,0,25,180,9,4,189,0,220,0,0,0,0,0,0,0,353,195,9,4,207,0,559,366,15,0,0
