POA_CODE_2016,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_15,P_AgriForestFish_16_24,P_AgriForestFish_25_34,P_AgriForestFish_35_39,P_AgriForestFish_40,P_AgriForestFish_41_48,P_AgriForestFish_49over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_15,P_Min_16_24,P_Min_25_34,P_Min_35_39,P_Min_40,P_Min_41_48,P_Min_49over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_15,P_Mnfg_16_24,P_Mnfg_25_34,P_Mnfg_35_39,P_Mnfg_40,P_Mnfg_41_48,P_Mnfg_49over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_15,P_EGW_WS_16_24,P_EGW_WS_25_34,P_EGW_WS_35_39,P_EGW_WS_40,P_EGW_WS_41_48,P_EGW_WS_49over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_15,P_Cnstn_16_24,P_Cnstn_25_34,P_Cnstn_35_39,P_Cnstn_40,P_Cnstn_41_48,P_Cnstn_49over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_15,P_WTrade_16_24,P_WTrade_25_34,P_WTrade_35_39,P_WTrade_40,P_WTrade_41_48,P_WTrade_49over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_15,P_RTrade_16_24,P_RTrade_25_34,P_RTrade_35_39,P_RTrade_40,P_RTrade_41_48,P_RTrade_49over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_15,P_AccomFoodS_16_24,P_AccomFoodS_25_34,P_AccomFoodS_35_39,P_AccomFoodS_40,P_AccomFoodS_41_48,P_AccomFoodS_49over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_15,P_TransPostWhse_16_24,P_TransPostWhse_25_34,P_TransPostWhse_35_39,P_TransPostWhse_40,P_TransPostWhse_41_48,P_TransPostWhse_49over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_15,P_InfoMedTelecom_16_24,P_InfoMedTelecom_25_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40,P_InfoMedTelecom_41_48,P_InfoMedTelecom_49over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_15,P_FinInsurS_16_24,P_FinInsurS_25_34,P_FinInsurS_35_39,P_FinInsurS_40,P_FinInsurS_41_48,P_FinInsurS_49over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_15,P_RentHirREserv_16_24,P_RentHirREserv_25_34,P_RentHirREserv_35_39,P_RentHirREserv_40,P_RentHirREserv_41_48,P_RentHirREserv_49over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_15,P_ProScieTechServ_16_24,P_ProScieTechServ_25_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40,P_ProScieTechServ_41_48,P_ProScieTechServ_49over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_15,P_AdminSupServ_16_24,P_AdminSupServ_25_34,P_AdminSupServ_35_39,P_AdminSupServ_40,P_AdminSupServ_41_48,P_AdminSupServ_49over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_15,P_PubAdmiSafety_16_24,P_PubAdmiSafety_25_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40,P_PubAdmiSafety_41_48,P_PubAdmiSafety_49over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_15,P_EducTrain_16_24,P_EducTrain_25_34,P_EducTrain_35_39,P_EducTrain_40,P_EducTrain_41_48,P_EducTrain_49over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_15,P_HealthCareSocA_16_24,P_HealthCareSocA_25_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40,P_HealthCareSocA_41_48,P_HealthCareSocA_49over,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_15,P_ArtRecServ_16_24,P_ArtRecServ_25_34,P_ArtRecServ_35_39,P_ArtRecServ_40,P_ArtRecServ_41_48,P_ArtRecServ_49over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
POA2612,4,7,11,3,13,8,4,17,15,73,185,486,352,356,943,789,463,643,65,4288,0,3,0,3,0,6,0,8,0,19,0,0,0,0,0,0,0,0,0,0,0,16,7,12,11,20,10,18,0,94,0,4,5,3,11,11,9,4,0,47,5,5,17,12,16,47,27,46,0,169,0,4,3,8,11,14,7,12,0,51,13,139,72,54,65,36,29,48,8,457,27,174,141,70,78,59,35,78,19,680,4,11,5,6,35,19,22,13,0,109,11,14,20,4,33,36,22,18,0,154,3,12,3,10,18,34,14,16,0,112,4,4,3,5,17,16,12,23,0,88,20,67,62,67,185,266,160,228,9,1065,8,45,41,24,37,32,12,25,5,221,134,86,99,186,1022,975,593,1196,48,4334,33,168,58,68,173,147,72,185,7,912,25,46,62,63,123,70,29,56,6,476,6,39,17,12,28,21,11,21,3,154
POA2614,5,16,5,6,9,10,0,8,17,84,245,569,520,683,967,650,379,399,43,4450,0,11,5,7,7,9,3,7,0,44,0,0,0,0,0,0,3,3,0,9,3,21,15,7,26,30,12,16,0,143,3,4,4,3,17,11,4,7,0,56,13,19,18,30,47,127,59,104,7,414,0,6,5,9,19,8,11,14,0,72,18,150,94,81,108,70,35,38,0,597,11,165,98,78,79,56,36,46,3,568,8,11,14,22,38,35,28,37,3,194,7,18,15,21,44,30,27,10,0,165,0,9,3,18,28,32,13,10,0,116,3,9,8,6,15,24,16,24,0,105,35,65,57,88,215,236,118,133,3,960,7,47,37,29,30,33,21,28,0,232,159,64,131,266,770,593,351,310,10,2653,47,152,124,140,237,177,135,210,5,1222,50,121,135,167,176,123,57,67,15,915,7,46,28,16,27,31,9,27,0,190
POA2615,10,49,14,19,33,26,8,11,52,223,632,1355,1151,1602,2657,1688,827,840,125,10878,3,16,3,9,14,13,7,11,0,72,0,0,3,0,0,3,0,3,0,11,6,37,21,15,87,78,47,69,3,364,8,3,0,10,71,56,21,36,0,213,42,74,61,102,223,555,238,405,26,1707,10,18,11,15,58,50,34,49,5,241,64,362,241,247,344,195,145,147,15,1757,53,417,185,144,175,117,84,104,19,1286,26,36,36,66,139,137,67,114,4,637,13,37,17,20,111,95,37,47,0,387,19,10,17,33,123,81,43,41,0,381,6,14,13,14,63,64,33,38,4,239,53,107,104,164,467,484,195,244,7,1841,27,101,89,79,132,104,53,53,3,635,372,128,241,500,1964,1401,755,554,39,5950,112,287,206,318,545,293,208,336,6,2314,104,232,334,408,616,323,131,157,21,2322,21,85,52,51,65,49,40,41,3,404
POA2617,7,30,18,13,32,20,5,8,42,181,418,1094,988,1071,1962,1282,630,597,139,8176,0,12,11,11,9,9,4,4,0,58,3,0,0,0,3,0,0,3,0,10,11,24,14,21,53,49,28,34,3,231,5,3,4,5,33,37,16,10,0,108,14,51,41,59,134,297,136,228,5,969,10,18,7,13,32,27,18,21,0,145,61,339,253,198,268,113,74,103,27,1439,44,393,275,165,195,123,79,120,44,1426,26,24,34,37,56,72,54,42,3,343,6,22,19,24,87,92,35,29,4,305,15,29,7,26,93,67,40,30,0,301,13,15,20,15,53,57,22,29,0,222,45,96,77,133,445,492,202,239,12,1752,11,70,71,50,84,96,33,34,14,461,238,94,205,341,1394,1070,529,464,29,4365,88,289,170,196,436,292,159,249,16,1900,73,182,266,244,365,239,73,113,19,1588,8,82,43,43,68,39,30,33,8,348
POA2618,0,0,0,0,4,0,0,0,3,13,23,71,45,60,58,48,25,37,12,372,0,7,8,3,3,9,0,14,0,45,0,0,0,0,0,0,0,0,0,3,0,3,3,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,5,5,5,15,39,13,44,5,133,0,0,0,0,0,0,0,0,0,12,0,12,5,0,6,4,0,0,0,38,0,18,3,11,3,4,3,5,0,46,0,3,0,3,0,0,4,8,0,19,0,0,0,0,3,0,0,3,0,7,0,0,0,0,0,0,0,3,4,9,0,3,0,0,4,0,0,3,0,14,13,11,8,4,8,18,10,20,0,93,0,3,3,3,6,10,0,0,0,24,14,4,6,7,17,29,10,14,0,106,3,8,3,12,11,11,6,9,0,65,5,9,5,18,4,11,0,6,0,55,0,5,3,4,0,0,0,0,0,16
POA2900,0,0,0,0,0,0,0,0,4,9,19,33,55,47,112,118,55,35,5,478,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,4,0,21,0,0,0,0,4,0,0,3,0,8,0,3,3,6,6,18,7,7,0,51,0,0,0,0,0,3,3,3,0,6,0,10,9,3,19,4,7,7,0,68,0,7,5,11,10,14,3,3,0,60,5,0,3,3,0,3,4,3,0,23,0,3,0,0,10,3,0,0,0,14,0,0,0,3,4,7,0,4,0,12,0,0,0,0,7,6,4,3,0,21,8,7,3,9,15,78,10,6,0,137,0,10,3,8,3,5,0,4,0,29,16,7,7,13,116,130,49,29,0,373,3,10,4,10,10,8,8,11,0,59,4,10,19,18,16,21,15,7,0,114,0,0,3,0,0,0,0,0,0,12
POA2902,6,11,4,11,4,6,9,3,20,75,194,471,452,539,803,499,286,268,46,3563,0,0,3,0,6,3,3,3,0,23,0,0,0,0,0,0,0,4,0,5,5,13,13,9,28,38,17,23,0,148,6,0,0,0,11,18,9,11,0,62,14,16,27,35,67,155,59,117,7,499,0,12,9,4,21,22,13,13,0,100,15,129,58,71,86,39,35,43,4,496,8,140,65,64,51,33,23,35,7,424,7,10,15,20,33,41,38,34,0,206,3,9,15,12,26,27,11,10,3,112,6,6,7,6,18,12,16,10,0,81,3,10,5,4,28,18,5,17,3,88,26,41,44,55,104,144,58,78,4,548,7,33,24,28,34,33,13,22,4,193,125,50,108,196,637,473,285,218,21,2110,27,91,83,84,140,104,56,87,7,672,40,93,128,153,201,112,46,68,3,852,0,38,18,10,16,14,3,5,0,115
POA2903,4,9,10,0,12,3,0,3,11,54,135,303,294,316,549,340,165,177,29,2301,0,0,3,4,4,0,0,0,0,14,0,0,0,0,0,0,3,0,0,5,3,4,11,3,14,20,18,16,0,85,0,0,0,3,15,7,3,7,0,41,7,15,14,23,36,93,47,71,7,316,0,4,3,0,11,12,8,12,0,47,11,116,48,49,63,36,27,40,6,398,3,84,49,31,14,22,5,23,3,244,13,8,9,16,23,25,13,22,0,126,3,5,3,0,13,13,6,3,0,63,6,0,3,3,19,14,4,4,0,61,0,5,4,3,14,13,7,13,0,51,8,26,35,35,60,97,49,38,3,351,12,21,17,12,21,22,9,8,0,119,79,48,64,112,427,333,178,137,10,1390,22,48,46,64,88,61,34,68,3,428,30,68,82,95,138,56,24,32,3,536,0,25,8,6,16,11,0,5,0,82
POA2904,6,11,11,9,13,9,0,4,19,78,201,413,357,459,756,576,269,255,44,3326,0,3,0,0,3,4,0,0,0,18,0,0,0,0,0,0,0,3,0,7,3,10,4,9,15,33,27,27,0,135,0,0,0,3,13,20,7,3,0,59,16,24,21,30,49,165,62,115,3,483,8,3,3,8,10,22,17,22,0,88,13,134,64,58,73,40,28,35,7,438,15,142,39,43,43,27,23,35,4,367,4,9,13,17,44,38,20,36,0,183,8,11,6,5,27,19,13,17,0,104,3,3,3,12,23,30,11,20,0,106,6,4,3,9,13,21,12,18,0,79,14,34,27,41,83,131,60,78,0,474,11,24,17,19,26,31,9,18,0,156,121,48,94,168,622,537,276,211,22,2095,35,82,68,75,112,103,64,95,0,636,43,81,94,115,177,125,55,55,8,760,9,28,6,15,9,11,11,7,3,92
POA2905,14,24,14,10,27,28,9,5,37,172,444,901,789,1068,2035,1197,593,540,83,7640,4,4,3,0,11,3,0,4,0,28,0,0,0,0,0,4,0,9,0,14,13,32,15,25,84,104,51,80,4,397,9,3,4,11,52,51,20,24,0,168,39,49,55,90,212,449,209,327,16,1455,0,11,10,19,46,56,37,37,3,217,57,303,150,170,250,135,116,119,12,1299,30,281,108,105,108,91,45,65,11,844,23,31,28,61,127,115,77,123,9,584,12,17,16,15,58,48,22,17,0,208,13,9,3,19,58,40,11,18,0,182,7,14,5,13,61,56,25,26,0,209,29,60,58,70,208,283,118,124,5,949,15,72,50,54,101,80,14,43,5,441,275,82,189,337,1527,1067,574,421,23,4494,55,135,107,156,278,153,109,153,3,1149,83,159,227,294,466,235,92,123,17,1689,8,56,18,23,38,20,16,16,3,207
POA2906,13,10,10,16,23,18,4,3,38,131,269,617,493,670,1294,804,401,336,68,4957,0,0,0,0,10,0,0,0,0,16,0,0,0,0,0,4,0,4,0,7,0,26,3,13,59,79,30,35,0,247,3,0,3,3,27,18,16,18,0,95,16,23,19,50,104,262,114,142,13,750,0,14,4,3,29,37,22,18,0,138,28,218,121,117,166,95,61,81,8,897,16,211,84,68,56,65,25,46,4,576,11,11,16,19,68,67,42,77,3,315,5,10,8,12,32,34,23,13,0,131,6,5,5,11,40,18,17,9,0,123,9,10,0,6,42,24,15,23,0,129,16,38,26,45,142,164,81,72,4,599,12,37,41,37,47,51,16,25,0,259,157,52,115,227,1000,730,441,261,13,2991,21,81,58,83,154,83,54,91,4,625,65,106,117,183,282,155,65,74,11,1044,0,33,19,11,24,13,3,16,0,128
