POA_CODE_2016,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
POA2612,238,299,33,576,511,934,150,1596,480,1680,257,2422,208,712,123,1043,190,584,115,885,182,448,79,715,147,235,47,430,59,93,31,179,16,60,9,84,2027,5055,849,7933,200,215,42,465,444,709,109,1265,552,1365,200,2120,214,567,82,865,210,440,63,723,184,345,40,568,174,245,44,465,64,161,37,262,14,97,33,140,2061,4158,652,6872,442,513,80,1039,952,1645,260,2863,1032,3053,460,4543,419,1283,206,1911,401,1020,178,1609,370,794,119,1282,322,480,97,895,122,263,69,443,26,157,39,230,4089,9216,1505,14807
POA2614,126,370,24,520,134,525,39,695,220,937,66,1221,345,916,60,1326,376,829,59,1264,275,598,30,909,315,543,50,908,164,358,55,579,22,162,21,204,1971,5249,405,7631,158,293,24,473,137,423,27,591,285,943,56,1283,451,891,57,1399,418,761,55,1238,335,674,47,1050,385,648,61,1089,173,415,64,650,20,274,38,333,2359,5322,428,8103,286,664,48,997,264,950,63,1282,505,1881,121,2509,797,1805,121,2721,797,1592,111,2505,616,1276,77,1960,698,1190,113,1998,330,773,121,1228,43,440,58,538,4331,10570,836,15737
POA2615,225,992,92,1301,212,1051,71,1336,476,2524,165,3167,725,2535,171,3427,582,1921,106,2610,471,1568,118,2150,499,1194,107,1795,140,490,68,697,20,114,21,158,3359,12377,914,16646,300,880,81,1261,236,965,67,1265,663,2670,152,3489,1003,2429,144,3575,683,1916,130,2729,530,1874,144,2551,557,1395,135,2082,123,560,62,747,17,193,48,261,4107,12889,966,17957,522,1869,167,2563,447,2021,134,2606,1142,5197,320,6658,1726,4968,318,7009,1266,3830,244,5337,998,3442,263,4701,1054,2582,241,3876,268,1051,128,1439,42,307,75,420,7459,25267,1879,34605
POA2617,210,664,79,954,403,1533,150,2087,506,2530,237,3271,449,1671,156,2280,384,1189,121,1690,380,1118,101,1603,307,814,86,1203,113,292,46,445,26,93,36,163,2772,9909,1012,13697,255,603,68,930,493,1463,176,2142,622,2396,177,3197,618,1421,121,2156,444,1110,94,1656,446,1264,131,1836,342,813,91,1245,110,374,58,542,24,160,96,284,3360,9613,1015,13991,468,1268,152,1889,900,2998,329,4221,1130,4923,415,6473,1069,3092,283,4436,829,2304,216,3343,824,2382,228,3438,643,1630,176,2447,226,670,101,989,51,258,136,446,6135,19521,2028,27686
POA2618,15,41,10,66,8,28,4,43,7,33,9,50,31,52,6,88,27,77,10,112,26,53,5,88,32,50,3,88,12,21,5,44,0,5,0,5,159,367,54,585,18,28,9,60,8,23,3,33,7,38,11,50,36,64,15,116,41,68,11,110,27,73,6,106,34,53,3,85,6,17,8,32,0,3,0,3,182,364,56,595,33,74,19,123,18,48,10,81,19,68,18,104,65,123,21,206,63,142,16,226,59,119,10,193,67,104,10,175,22,42,8,70,0,7,0,7,341,729,112,1177
POA2900,7,31,5,37,7,56,6,72,29,195,18,243,23,123,7,152,22,67,7,101,30,69,7,103,22,54,7,85,8,27,0,37,0,9,3,7,139,632,62,830,3,26,0,34,12,59,3,70,33,174,21,228,18,86,7,116,33,83,5,118,31,86,7,125,30,79,8,117,12,36,3,54,0,19,0,16,175,638,61,872,10,53,4,69,24,113,10,140,59,372,36,468,38,209,13,267,52,151,13,214,55,153,17,231,53,131,10,199,22,61,6,85,0,23,3,25,322,1271,118,1702
POA2902,100,332,29,462,58,324,27,408,135,665,52,847,234,718,64,1015,246,680,43,963,222,655,46,918,227,582,42,854,54,177,27,261,4,35,6,44,1282,4162,331,5775,125,320,23,474,65,283,30,373,180,614,49,846,324,695,61,1080,296,683,57,1036,268,795,62,1119,258,561,52,863,59,198,28,287,8,55,9,72,1587,4198,368,6160,231,657,53,942,130,600,57,780,316,1279,107,1695,558,1415,124,2092,538,1364,97,2001,489,1449,105,2040,484,1140,97,1716,118,382,53,551,12,87,14,119,2864,8362,707,11933
POA2903,59,215,8,284,48,231,14,287,72,427,20,525,153,455,30,633,154,410,34,603,148,451,42,638,116,327,23,461,32,108,6,153,3,24,4,32,789,2648,176,3604,75,195,12,285,56,176,14,244,114,424,25,560,192,413,26,633,173,445,29,648,207,521,48,776,126,304,30,460,19,112,17,141,6,45,3,53,967,2633,197,3803,135,414,19,571,101,403,21,529,183,849,50,1083,342,866,54,1269,328,857,63,1246,352,970,88,1415,244,629,51,920,51,216,24,290,9,73,4,84,1758,5278,377,7406
POA2904,90,316,28,430,58,326,18,409,86,587,25,695,185,529,25,733,213,584,43,835,243,714,42,997,159,418,44,616,31,153,30,216,5,59,38,106,1073,3675,291,5038,124,265,17,410,69,276,15,352,127,572,18,720,228,542,40,811,284,642,41,973,245,847,42,1130,154,388,47,589,51,222,64,332,13,107,103,221,1293,3866,379,5544,212,582,44,839,128,605,32,763,217,1159,43,1415,409,1072,61,1543,501,1224,83,1807,490,1557,84,2127,310,811,89,1204,78,375,94,555,19,171,139,329,2365,7548,668,10582
POA2905,189,796,56,1049,140,847,71,1056,243,1773,110,2122,340,1404,78,1828,358,1492,103,1951,350,1441,80,1878,166,605,42,809,50,253,34,332,3,72,13,90,1841,8686,598,11125,230,671,63,970,176,742,48,963,364,1666,95,2120,476,1411,79,1966,510,1675,90,2275,368,1477,97,1938,203,658,61,921,61,309,37,406,10,126,19,150,2389,8731,589,11712,424,1472,120,2016,317,1592,112,2022,604,3431,210,4248,820,2815,161,3795,866,3170,198,4227,719,2925,181,3820,363,1258,107,1729,109,561,68,744,11,193,33,238,4230,17416,1184,22832
POA2906,127,554,26,708,67,540,37,642,117,950,46,1113,216,860,66,1144,295,1040,70,1408,151,764,48,960,82,327,31,441,31,150,16,206,4,42,5,55,1090,5231,354,6672,169,525,44,737,119,525,26,677,182,1009,60,1255,329,902,47,1278,362,1198,75,1637,161,714,28,901,94,383,27,502,33,213,20,267,5,60,12,78,1458,5532,340,7330,295,1083,73,1445,193,1067,66,1321,304,1963,103,2364,545,1757,116,2421,658,2237,153,3048,312,1480,77,1866,174,709,56,939,64,367,42,471,10,106,16,131,2550,10769,695,14005
POA2911,21,71,4,92,22,135,4,161,82,441,34,557,82,359,27,468,49,145,5,200,31,66,5,101,16,42,0,57,8,17,0,22,0,3,0,4,299,1290,78,1670,17,60,3,76,35,121,9,165,94,518,31,644,90,294,16,402,42,147,3,194,24,103,8,135,12,51,0,64,3,22,0,30,0,3,0,4,315,1321,79,1711,34,134,5,172,53,252,12,327,172,962,67,1202,165,658,46,869,86,295,10,391,54,176,11,237,31,89,3,117,10,38,0,53,0,6,0,9,609,2609,157,3379
POA2912,28,145,10,181,47,272,28,351,68,520,62,654,95,414,41,547,82,262,17,364,38,168,10,215,17,62,5,81,8,27,3,37,0,8,0,7,389,1881,177,2444,39,146,13,195,49,252,25,327,93,544,51,684,119,378,35,529,81,263,13,357,45,169,15,233,23,86,5,117,5,25,5,40,3,5,0,11,460,1872,159,2492,65,291,16,378,98,525,53,677,170,1061,109,1337,210,795,73,1073,157,530,31,719,79,334,27,450,39,147,11,202,12,47,8,73,3,13,0,20,848,3749,340,4933
POA2913,209,904,60,1169,140,964,77,1181,425,2714,186,3326,511,2187,166,2862,489,1596,124,2214,275,1077,70,1423,178,562,38,782,47,229,22,302,8,57,9,74,2285,10277,765,13330,259,768,56,1085,234,997,82,1315,567,2867,196,3627,657,2105,127,2888,552,1664,117,2334,248,1161,87,1497,228,625,55,902,53,280,30,361,0,57,10,64,2797,10521,753,14071,465,1669,116,2254,379,1961,159,2496,986,5578,389,6952,1169,4296,288,5750,1046,3261,240,4543,527,2234,156,2921,406,1184,90,1687,104,502,53,665,8,112,22,138,5088,20797,1517,27399
POA2914,133,541,35,708,106,582,29,713,303,1757,81,2144,518,2001,127,2648,364,1046,85,1496,117,515,30,663,66,222,10,296,22,82,15,119,0,15,3,16,1630,6766,410,8805,210,530,32,777,138,628,46,813,399,1974,93,2471,673,1841,106,2627,320,1032,43,1391,117,540,37,689,71,235,17,333,18,95,6,118,0,22,0,25,1947,6902,396,9242,342,1072,69,1488,250,1204,73,1530,700,3734,175,4612,1197,3848,232,5273,682,2077,131,2887,233,1057,67,1352,139,458,32,630,32,181,21,237,0,33,4,43,3576,13666,806,18048
