POA_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
POA2612,3,76,16,22,8,20,146,0,115,0,5,0,0,124,3,185,5,9,6,0,209,15,52,15,15,0,0,102,8,50,23,0,10,0,96,54,82,40,0,78,0,249,152,27,70,0,59,0,302,870,22,204,4,13,6,1120,547,9,191,3,20,0,767,201,0,61,0,7,3,276,74,0,40,0,0,0,120,36,0,20,0,0,0,56,21,0,4,0,3,0,29,23,3,8,0,3,0,33,19,29,21,0,8,0,80,2033,652,722,54,212,28,3706
POA2614,6,40,33,7,6,17,100,0,65,3,0,0,0,74,3,124,13,7,3,3,154,6,61,25,11,5,0,101,16,20,18,0,0,0,59,51,24,31,0,3,0,116,205,23,93,3,5,0,331,449,29,176,3,12,3,666,200,3,103,0,3,0,312,42,3,19,0,3,0,72,16,0,17,0,0,0,34,5,0,6,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,6,10,14,22,3,4,3,60,1010,405,570,29,46,25,2089
POA2615,3,49,58,3,3,30,150,0,134,0,0,3,0,141,0,350,17,3,0,0,373,14,209,41,6,7,0,271,16,72,27,7,7,0,124,33,88,48,7,15,0,193,161,64,116,3,10,0,352,802,99,349,4,37,4,1300,330,18,158,0,13,0,523,66,0,20,3,0,0,99,4,3,5,0,0,0,18,7,0,6,0,0,0,12,0,0,0,0,0,0,3,3,0,4,0,0,0,10,32,81,37,3,3,7,152,1475,1163,889,47,104,45,3717
POA2617,7,35,52,4,4,25,128,0,80,0,0,0,0,79,6,184,19,9,0,0,221,24,92,47,11,5,0,179,5,30,25,3,7,0,75,48,21,26,0,20,0,119,636,48,171,3,64,4,927,1209,47,360,4,50,8,1676,512,9,223,0,12,4,766,168,0,70,3,10,0,247,29,0,26,0,0,0,59,15,0,9,3,3,0,31,7,0,7,0,0,0,16,9,0,5,0,0,0,16,29,45,29,7,8,12,130,2705,592,1074,50,195,52,4668
POA2618,0,0,9,0,0,9,23,0,3,0,0,0,0,3,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,0,4,0,0,0,11,5,0,10,0,0,0,7,5,0,13,0,0,0,13,3,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,0,0,7,17,5,44,4,5,12,88
POA2900,0,0,3,0,0,0,6,0,10,0,0,0,0,10,0,9,3,0,0,0,19,0,3,0,0,0,0,6,3,0,9,0,0,0,6,0,0,3,0,0,0,0,26,0,12,0,4,0,43,181,0,38,0,3,0,225,73,0,20,0,0,0,100,7,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,304,36,93,0,9,4,439
POA2902,0,28,21,0,0,7,61,0,71,0,0,0,0,68,0,138,9,3,0,0,147,3,85,12,4,0,0,99,0,31,8,0,0,0,38,3,42,11,0,0,0,52,34,32,48,3,0,0,114,194,41,117,0,7,0,359,103,7,42,0,3,0,161,27,0,3,0,0,0,30,11,0,3,0,0,0,16,3,0,0,0,0,0,3,3,0,0,0,0,0,6,0,0,0,0,0,0,0,7,29,10,0,4,0,54,385,497,284,10,15,15,1203
POA2903,0,22,6,0,0,10,46,0,41,0,0,0,0,42,0,95,5,0,0,0,97,0,47,0,5,0,0,47,0,21,3,4,0,0,27,4,16,11,0,0,0,34,30,22,13,3,3,0,69,106,28,56,0,6,0,201,81,0,37,0,0,0,120,19,0,9,0,0,0,23,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,11,0,0,0,31,252,311,149,14,14,7,745
POA2904,0,4,12,0,0,9,25,0,16,0,0,0,0,22,0,33,0,0,3,0,40,0,17,8,0,0,0,34,0,5,7,0,0,0,14,3,3,5,0,6,0,20,5,12,19,0,0,0,29,119,15,72,0,4,0,216,141,5,37,0,4,0,182,39,0,6,0,4,0,48,11,0,3,0,0,0,14,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,6,0,0,0,27,336,118,180,6,23,13,672
POA2905,0,25,34,3,0,18,83,0,71,0,0,0,0,75,3,197,10,0,3,0,211,3,108,18,3,3,0,129,3,56,7,0,0,0,66,6,41,34,0,7,0,97,59,51,64,3,18,0,192,542,54,292,0,20,3,912,233,12,151,0,10,0,414,37,3,15,0,0,0,52,7,0,0,0,0,0,6,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,12,33,11,3,0,3,63,911,662,632,16,65,27,2313
POA2906,0,20,15,3,0,3,37,0,29,0,3,0,0,36,0,96,3,0,0,0,102,0,66,11,6,3,0,86,3,23,6,3,0,0,39,3,24,5,3,20,0,54,26,17,35,4,28,0,118,367,24,130,8,10,0,541,98,10,46,0,4,0,151,46,0,9,0,0,0,56,5,0,0,0,0,0,4,3,0,3,0,0,0,5,3,0,0,0,0,0,3,0,0,3,0,0,0,4,3,17,7,9,4,5,40,563,318,285,33,75,12,1288
POA2911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,4,7,0,0,0,68,0,69,50,8,7,14,39,0,116,54,3,25,7,11,0,98,67,0,16,0,4,0,81,43,0,10,0,3,0,59,14,0,3,0,0,0,21,0,0,4,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,0,3,0,8,243,11,75,19,125,0,471
POA2912,0,3,7,3,0,0,10,0,3,0,3,0,0,4,0,13,3,0,0,0,10,4,16,11,8,4,0,41,4,9,4,6,0,0,18,19,3,13,3,14,0,54,194,8,33,3,75,0,317,149,0,66,0,20,3,237,202,0,55,0,14,0,272,72,0,29,0,3,0,109,10,0,11,0,0,0,25,3,0,5,0,0,0,7,3,0,0,0,0,0,4,3,0,4,0,0,0,8,9,0,8,0,3,0,21,664,56,250,31,124,9,1124
POA2913,4,22,43,0,3,12,80,0,50,0,0,0,0,53,6,101,15,0,3,0,126,7,49,29,0,3,0,91,11,31,14,0,10,0,66,7,21,26,0,70,0,126,265,37,102,3,104,3,513,1002,37,340,4,56,7,1432,396,3,153,0,17,3,577,153,0,56,0,13,0,222,45,0,19,0,0,0,66,10,0,8,0,0,0,22,3,0,0,0,0,0,5,11,0,7,0,3,0,15,19,18,27,0,12,3,78,1941,357,833,14,294,25,3468
POA2914,3,0,14,0,4,3,28,0,15,0,0,0,0,20,4,38,4,3,0,0,54,4,23,13,0,4,0,50,8,3,14,3,10,0,33,41,15,11,3,75,0,143,242,37,39,35,145,0,501,372,16,124,7,53,0,563,437,0,137,0,16,0,594,239,0,67,0,13,0,328,43,0,19,0,6,0,62,10,0,6,0,3,0,20,4,0,11,0,0,0,13,3,0,3,0,0,0,8,12,9,11,3,5,0,42,1421,160,481,54,337,9,2463
