POA_CODE_2016,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_15,F_AgriForestFish_16_24,F_AgriForestFish_25_34,F_AgriForestFish_35_39,F_AgriForestFish_40,F_AgriForestFish_41_48,F_AgriForestFish_49over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_15,F_Min_16_24,F_Min_25_34,F_Min_35_39,F_Min_40,F_Min_41_48,F_Min_49over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_15,F_Mnfg_16_24,F_Mnfg_25_34,F_Mnfg_35_39,F_Mnfg_40,F_Mnfg_41_48,F_Mnfg_49over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_15,F_EGW_WS_16_24,F_EGW_WS_25_34,F_EGW_WS_35_39,F_EGW_WS_40,F_EGW_WS_41_48,F_EGW_WS_49over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_15,F_Cnstn_16_24,F_Cnstn_25_34,F_Cnstn_35_39,F_Cnstn_40,F_Cnstn_41_48,F_Cnstn_49over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_15,F_WTrade_16_24,F_WTrade_25_34,F_WTrade_35_39,F_WTrade_40,F_WTrade_41_48,F_WTrade_49over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_15,F_RTrade_16_24,F_RTrade_25_34,F_RTrade_35_39,F_RTrade_40,F_RTrade_41_48,F_RTrade_49over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_15,F_AccomFoodS_16_24,F_AccomFoodS_25_34,F_AccomFoodS_35_39,F_AccomFoodS_40,F_AccomFoodS_41_48,F_AccomFoodS_49over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_15,F_TransPostWhse_16_24,F_TransPostWhse_25_34,F_TransPostWhse_35_39,F_TransPostWhse_40,F_TransPostWhse_41_48,F_TransPostWhse_49over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_15,F_InfoMedTelecom_16_24,F_InfoMedTelecom_25_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40,F_InfoMedTelecom_41_48,F_InfoMedTelecom_49over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_15,F_FinInsurS_16_24,F_FinInsurS_25_34,F_FinInsurS_35_39,F_FinInsurS_40,F_FinInsurS_41_48,F_FinInsurS_49over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_15,F_RentHirREserv_16_24,F_RentHirREserv_25_34,F_RentHirREserv_35_39,F_RentHirREserv_40,F_RentHirREserv_41_48,F_RentHirREserv_49over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_15,F_ProScieTechServ_16_24,F_ProScieTechServ_25_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40,F_ProScieTechServ_41_48,F_ProScieTechServ_49over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_15,F_AdminSupServ_16_24,F_AdminSupServ_25_34,F_AdminSupServ_35_39,F_AdminSupServ_40,F_AdminSupServ_41_48,F_AdminSupServ_49over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_15,F_PubAdmiSafety_16_24,F_PubAdmiSafety_25_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40,F_PubAdmiSafety_41_48,F_PubAdmiSafety_49over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_15,F_EducTrain_16_24,F_EducTrain_25_34,F_EducTrain_35_39,F_EducTrain_40,F_EducTrain_41_48,F_EducTrain_49over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_15,F_HealthCareSocA_16_24,F_HealthCareSocA_25_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40,F_HealthCareSocA_41_48,F_HealthCareSocA_49over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_15,F_ArtRecServ_16_24,F_ArtRecServ_25_34,F_ArtRecServ_35_39,F_ArtRecServ_40,F_ArtRecServ_41_48,F_ArtRecServ_49over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_15,F_OthServ_16_24,F_OthServ_25_34,F_OthServ_35_39,F_OthServ_40,F_OthServ_41_48,F_OthServ_49over,F_OthServ_hours_NS,F_OthServ_Tot
POA2612,114,396,301,290,969,1061,631,1403,86,5261,0,0,0,4,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,6,3,3,3,7,0,37,0,0,3,3,0,8,0,3,0,15,0,0,3,3,6,7,5,6,0,30,0,3,0,0,4,3,0,3,0,15,8,86,39,33,40,14,13,18,4,250,12,103,73,35,25,20,15,23,14,331,5,3,3,3,18,3,0,4,0,41,4,6,7,4,16,13,8,11,0,71,0,4,3,3,8,14,10,9,0,55,3,3,0,0,4,8,3,6,0,32,11,36,30,30,82,99,65,78,3,451,3,24,23,13,21,10,5,8,0,113,75,32,55,90,477,431,251,317,12,1751,25,95,33,45,97,64,40,88,3,482,14,34,49,51,87,50,19,31,3,347,6,26,13,3,16,13,8,4,3,95,3,21,19,15,17,18,7,7,3,109
POA2614,148,428,307,358,1000,1041,585,753,69,4677,0,4,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,14,3,6,5,3,0,0,0,39,0,3,0,3,12,8,0,0,0,22,0,6,7,7,3,7,3,6,0,32,0,4,0,4,6,0,0,0,0,19,7,95,59,49,60,21,11,7,0,312,4,99,40,33,35,21,20,16,0,267,3,3,0,11,11,3,0,6,0,39,3,5,7,9,22,6,7,3,0,73,0,0,4,11,17,16,8,3,0,56,0,3,3,0,14,5,4,11,0,41,28,37,31,63,86,68,35,36,3,385,3,16,18,18,13,16,4,10,0,101,108,32,94,188,364,258,157,125,3,1328,26,88,92,101,147,98,78,105,7,737,44,86,115,137,124,86,39,37,7,685,3,19,13,14,15,8,6,7,0,87,0,31,15,25,30,11,3,13,6,127
POA2615,339,769,579,711,2797,2640,1432,1773,175,11205,0,8,3,0,6,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,27,14,6,15,19,3,5,0,93,3,3,0,6,22,12,3,3,0,54,5,23,10,20,18,22,11,15,0,132,4,7,3,9,17,3,3,4,0,49,34,237,154,155,160,76,34,36,14,901,27,234,88,83,63,58,37,33,13,635,6,10,13,21,27,22,3,12,0,129,7,18,11,16,60,30,13,5,0,168,16,4,20,27,66,42,26,23,0,221,6,3,5,10,35,33,13,15,0,124,32,72,78,109,210,177,67,70,5,818,9,57,53,37,56,39,10,13,0,277,260,81,172,371,980,630,318,234,15,3077,93,207,164,261,329,174,137,212,3,1579,93,188,276,350,461,244,95,108,17,1821,12,51,33,32,29,22,11,7,0,203,8,74,54,56,74,46,20,21,0,356
POA2617,256,770,612,601,2029,2028,975,1270,163,8699,0,7,8,3,4,0,0,0,0,21,0,0,0,0,3,0,0,0,0,4,4,14,8,7,12,7,3,5,0,67,5,0,4,0,4,8,7,4,0,32,0,16,12,11,8,20,4,10,0,89,3,4,6,3,7,6,3,9,0,40,33,200,147,115,135,31,26,21,8,727,26,203,125,94,82,40,31,33,14,652,11,10,11,8,22,15,7,3,0,92,9,16,12,10,30,27,8,8,3,120,12,17,7,20,51,40,14,9,0,155,4,10,10,3,33,25,12,11,0,106,33,57,51,83,192,148,80,67,3,711,3,31,34,23,47,43,13,10,7,221,143,50,142,243,679,461,232,173,13,2142,55,178,132,163,257,161,106,140,12,1213,64,137,202,188,273,176,52,68,13,1180,4,49,22,23,23,17,7,9,4,170,9,61,39,38,57,27,21,4,3,254
POA2618,21,33,15,27,47,91,35,103,15,382,0,4,4,3,4,0,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,6,0,3,0,17,0,0,0,0,0,0,0,0,0,3,0,10,6,0,4,0,0,0,0,21,0,9,0,7,3,0,0,3,0,25,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,6,4,5,3,5,6,5,6,8,0,49,0,3,3,0,0,5,0,3,0,19,8,0,6,10,11,13,4,8,0,64,3,8,0,12,11,4,5,7,0,47,0,7,5,18,3,3,0,3,0,42,0,4,3,5,0,0,0,0,0,8,0,4,0,0,0,3,0,0,0,9
POA2900,21,33,27,39,121,192,61,68,7,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,10,0,3,3,0,27,0,3,0,6,3,11,3,0,0,27,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,5,0,0,0,0,6,3,4,0,0,9,3,3,8,3,0,20,3,0,0,41,0,4,4,3,0,0,0,0,0,14,10,3,7,4,56,54,22,14,0,170,3,4,7,7,8,5,6,11,0,45,4,9,18,14,15,14,12,7,0,90,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,3,0,0,0,16
POA2902,111,278,204,283,789,878,450,586,52,3634,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,7,3,8,5,0,3,0,34,3,0,0,0,10,4,0,3,0,17,0,3,11,8,10,12,3,3,0,46,0,3,3,4,6,6,6,0,0,27,13,90,35,45,32,15,17,11,0,252,3,84,39,40,27,9,12,8,3,215,3,4,3,4,7,5,3,0,0,37,0,3,5,8,5,5,3,0,0,33,3,3,3,4,10,3,0,5,0,36,3,7,5,6,19,7,3,3,0,54,11,22,26,36,43,46,19,22,0,237,3,20,13,10,10,11,10,7,3,87,86,33,83,134,333,196,131,93,11,1096,19,61,57,64,84,63,37,55,3,452,30,80,110,130,146,83,34,46,3,660,0,26,13,9,6,3,4,0,0,62,3,15,23,28,23,14,8,14,0,134
POA2903,71,219,120,163,501,552,293,372,46,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,7,3,0,0,0,18,0,0,0,0,3,0,0,0,0,10,0,4,4,3,3,10,5,3,0,31,0,0,3,0,3,0,3,3,0,10,8,73,33,31,32,13,13,12,3,206,3,54,27,12,7,8,7,8,0,123,7,0,0,4,5,6,5,0,0,26,3,3,3,0,12,6,3,3,0,34,3,0,4,4,13,6,4,5,0,37,0,3,3,0,8,7,4,0,0,26,3,11,14,21,23,27,15,5,4,130,7,3,14,6,13,7,4,3,0,52,53,26,47,80,224,155,66,54,3,722,18,30,41,50,54,35,19,44,3,291,24,54,73,76,102,48,18,28,6,423,0,10,10,5,6,3,3,0,0,35,0,3,7,10,19,9,8,9,0,69
POA2904,116,280,173,200,666,846,458,585,43,3370,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,11,0,4,3,10,5,5,0,35,0,0,0,0,0,6,0,0,0,13,0,12,4,8,17,9,0,0,0,54,0,4,3,3,3,4,0,3,0,22,3,83,39,38,34,14,10,12,3,232,7,67,20,22,22,8,7,8,0,162,0,0,6,6,16,7,0,0,0,38,4,6,3,7,13,3,3,5,0,42,3,3,3,10,19,16,10,3,0,62,3,4,0,3,7,17,5,4,0,44,10,14,18,26,36,39,19,10,0,176,3,15,9,16,15,12,4,4,0,75,79,35,67,131,326,246,108,90,9,1081,25,49,53,61,79,58,49,64,0,445,37,68,80,104,130,98,33,36,4,595,3,10,3,8,5,0,7,0,0,38,4,24,26,14,18,19,13,10,3,126
POA2905,244,523,341,486,1829,1999,1051,1324,139,7928,0,3,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,17,12,13,25,15,3,4,0,90,0,0,4,8,19,10,3,3,0,43,6,18,20,15,24,28,9,6,0,129,0,7,9,8,9,8,7,3,0,53,41,171,104,111,122,57,39,28,4,667,18,158,57,53,49,42,18,22,4,412,10,11,20,17,46,17,9,7,0,133,7,10,12,5,23,14,10,3,0,80,10,11,3,13,44,22,8,8,0,114,7,5,3,8,38,32,11,10,0,113,15,45,29,50,100,80,34,34,0,393,5,50,29,31,49,36,3,17,5,229,185,52,146,260,833,495,261,183,11,2429,42,98,86,135,191,96,77,89,4,830,70,133,188,261,379,183,67,91,13,1385,4,37,19,18,9,5,5,3,0,104,4,45,34,47,52,30,14,25,3,257
POA2906,131,330,197,267,1134,1204,687,766,86,4797,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,24,3,11,14,15,3,7,0,76,0,0,4,3,8,4,0,3,0,18,3,8,10,8,10,18,3,4,0,68,0,6,0,3,13,12,0,3,0,39,19,146,81,82,95,31,18,21,3,501,12,114,49,36,25,26,10,11,6,286,6,0,3,3,15,13,3,10,0,57,6,10,8,9,12,14,4,3,0,56,5,0,9,6,35,15,13,4,0,74,4,5,0,6,30,14,6,9,0,85,13,35,15,31,66,48,23,19,0,241,7,22,24,18,27,18,8,11,0,136,106,30,86,191,529,346,213,92,13,1606,15,58,56,69,100,59,42,75,0,478,54,93,99,148,234,117,45,42,8,843,0,16,9,12,5,7,0,5,0,65,3,44,18,22,44,21,9,18,0,178
