POA_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
POA2612,..,73,4,78,0,78,..,52,3,52,0,57,..,122,0,121,0,125,..,26,3,27,0,27,..,37,0,39,0,39,..,63,3,68,3,68,..,101,3,106,0,106,..,399,14,415,6,420,..,92,3,98,3,100,..,53,11,63,0,63,..,140,38,177,4,182,..,10,0,12,0,12,..,4,0,4,0,4,..,46,5,50,0,50,..,48,3,51,0,54,..,37,0,34,0,34,..,5,0,5,0,5,..,28,3,28,0,28,..,34,0,35,0,40,..,76,3,80,3,88,..,43,0,43,0,45,..,52,3,53,0,51,..,207,5,215,7,218,..,130,9,143,0,143,..,52,3,55,0,56,..,39,17,49,0,49,..,13,0,12,0,12,..,154,39,200,0,200,..,406,79,482,8,496,..,3101,393,3501,33,3530,..,16,3,18,1464,1483,11175,3116,394,3513,1494,16184
POA2614,..,135,15,148,3,147,..,74,3,74,0,75,..,139,5,145,0,145,..,95,12,102,3,102,..,79,8,87,0,84,..,130,14,145,0,145,..,65,11,72,0,72,..,576,47,628,10,635,..,145,34,177,3,185,..,52,8,64,0,64,..,49,20,69,0,69,..,7,3,6,0,6,..,11,0,9,0,9,..,30,3,29,0,29,..,25,0,29,0,33,..,47,5,51,0,51,..,15,0,15,0,15,..,29,10,33,0,35,..,40,0,40,0,40,..,59,7,65,0,72,..,49,3,58,0,58,..,36,3,37,0,39,..,186,17,199,0,201,..,139,23,163,11,167,..,46,7,54,0,53,..,37,3,42,0,42,..,18,4,19,0,19,..,137,45,184,0,184,..,551,124,673,16,690,..,3245,533,3775,48,3828,..,44,3,47,789,836,14730,3287,540,3822,833,19390
POA2615,..,243,35,276,4,279,..,156,14,167,3,172,..,255,15,267,0,272,..,204,21,231,4,235,..,133,3,138,0,139,..,224,23,247,0,247,..,193,17,210,3,206,..,1161,95,1258,14,1269,..,295,19,311,6,319,..,79,14,92,0,92,..,43,13,54,0,60,..,41,6,49,0,49,..,14,0,14,0,14,..,43,7,49,0,50,..,88,19,108,0,108,..,80,12,91,0,93,..,48,8,55,3,59,..,78,10,91,0,91,..,114,0,116,0,116,..,118,3,119,3,125,..,223,3,228,3,233,..,47,0,46,0,46,..,498,17,509,8,522,..,418,52,472,6,475,..,84,0,85,0,85,..,69,32,96,0,96,..,26,0,26,0,26,..,431,164,591,8,599,..,1224,274,1504,37,1540,..,6596,1053,7651,102,7750,..,76,9,86,1797,1886,34539,6669,1065,7730,1903,44177
POA2617,..,249,34,290,0,290,..,135,12,144,0,144,..,324,15,338,0,335,..,141,15,156,0,159,..,150,10,156,3,159,..,177,13,186,6,190,..,160,14,168,0,172,..,1078,70,1146,12,1159,..,323,23,344,0,349,..,109,15,116,0,116,..,201,81,280,0,280,..,54,8,54,0,55,..,3,0,3,0,3,..,104,7,112,0,112,..,101,7,113,0,115,..,91,7,99,0,99,..,57,5,62,0,63,..,87,5,92,0,92,..,151,0,150,0,147,..,158,20,183,0,183,..,140,0,147,0,147,..,41,0,41,0,41,..,494,26,516,0,517,..,303,28,333,3,339,..,140,10,150,0,150,..,117,20,134,0,134,..,15,3,16,0,16,..,352,92,446,4,445,..,1001,171,1169,23,1189,..,8023,1188,9214,73,9288,..,80,7,87,1922,2006,21211,8100,1199,9301,1993,32503
POA2618,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,6,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,6,0,5,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,80,3,79,4,86,..,0,0,0,104,110,1256,81,3,86,109,1445
POA2900,..,3,0,3,0,3,..,18,0,18,0,18,..,73,7,73,0,79,..,14,0,19,0,19,..,14,0,14,0,14,..,16,3,18,0,18,..,30,0,34,0,34,..,168,11,175,0,177,..,3,0,3,0,3,..,5,0,4,0,4,..,5,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,7,0,7,0,7,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,3,0,3,..,15,0,20,0,20,..,8,0,8,0,8,..,14,0,14,0,14,..,0,0,0,0,0,..,39,0,41,0,41,..,8,0,14,0,14,..,26,3,26,0,26,..,12,3,15,0,11,..,3,3,8,0,8,..,13,0,8,0,8,..,126,15,142,5,150,..,494,48,543,11,550,..,9,0,9,104,111,1265,502,48,554,112,1930
POA2902,..,49,4,54,0,54,..,21,0,21,0,21,..,57,3,60,0,60,..,32,5,38,0,38,..,21,3,29,0,29,..,23,3,22,0,22,..,14,0,14,0,14,..,174,10,185,0,185,..,81,9,86,0,86,..,16,0,16,0,16,..,14,0,12,0,12,..,11,0,11,0,11,..,11,0,11,0,11,..,11,3,16,0,16,..,42,0,40,0,40,..,31,0,31,0,31,..,24,0,24,0,24,..,37,9,47,0,47,..,31,0,35,0,35,..,26,0,25,0,25,..,50,0,50,0,50,..,13,0,13,0,15,..,123,0,126,0,124,..,98,10,106,0,106,..,24,3,25,0,29,..,15,7,21,0,21,..,8,0,7,0,7,..,49,17,69,0,69,..,277,45,326,11,330,..,1556,213,1767,14,1781,..,39,4,39,683,720,12396,1594,218,1806,697,14900
POA2903,..,52,5,65,0,61,..,14,0,14,0,14,..,27,0,27,0,27,..,37,5,45,0,45,..,20,0,20,0,21,..,34,4,40,0,40,..,16,0,15,0,18,..,160,14,169,0,173,..,80,6,92,0,92,..,23,0,26,0,23,..,19,4,20,0,20,..,7,0,10,0,10,..,3,0,3,0,3,..,6,0,10,0,10,..,14,7,21,0,21,..,36,4,40,0,40,..,20,0,21,0,21,..,11,3,13,0,13,..,20,0,24,0,24,..,19,0,17,0,17,..,30,0,32,0,32,..,10,0,9,0,9,..,83,6,85,0,85,..,56,7,66,0,65,..,25,4,30,0,30,..,29,3,28,0,30,..,3,0,3,0,3,..,48,12,58,0,58,..,216,30,252,12,263,..,1183,165,1349,20,1369,..,21,0,21,363,386,7452,1204,170,1371,383,9207
POA2904,..,44,5,48,0,53,..,16,0,16,0,16,..,64,4,63,0,63,..,38,7,41,0,41,..,53,0,49,0,49,..,38,0,37,0,37,..,13,3,15,0,15,..,217,15,230,0,230,..,73,3,76,0,77,..,33,0,29,0,29,..,9,3,14,0,17,..,14,0,16,0,16,..,7,0,7,0,7,..,15,0,15,0,15,..,39,0,39,0,41,..,21,0,21,0,21,..,12,0,12,0,12,..,34,7,48,0,47,..,24,3,22,0,22,..,17,0,20,0,20,..,39,3,43,0,43,..,13,0,13,0,13,..,91,7,98,0,98,..,83,5,86,0,86,..,67,8,75,3,74,..,28,7,32,0,32,..,3,0,3,0,3,..,115,25,133,0,133,..,258,38,299,8,305,..,1725,178,1905,23,1929,..,31,0,34,600,638,10297,1758,179,1941,624,12863
POA2905,..,75,10,88,0,88,..,43,3,48,0,48,..,150,8,160,0,160,..,125,9,129,0,129,..,44,3,47,0,47,..,69,4,79,0,82,..,59,3,57,0,57,..,494,30,524,3,527,..,130,19,145,3,145,..,19,3,21,0,21,..,28,10,36,0,36,..,33,6,39,0,39,..,27,0,27,0,27,..,28,3,32,0,32,..,73,8,77,0,77,..,35,3,37,0,37,..,72,9,84,0,83,..,98,14,115,0,115,..,90,0,91,0,89,..,34,3,39,0,39,..,121,3,122,0,122,..,23,0,20,0,20,..,273,7,274,0,276,..,176,19,193,0,193,..,71,7,74,0,77,..,61,21,79,0,79,..,8,0,7,0,7,..,225,63,289,0,289,..,711,135,843,13,857,..,3535,504,4037,30,4065,..,78,9,88,1135,1222,23340,3609,507,4117,1162,28625
POA2906,..,38,0,43,0,43,..,47,0,50,0,50,..,88,6,91,0,91,..,56,7,65,0,65,..,84,3,87,0,88,..,67,3,69,0,69,..,17,0,19,0,19,..,361,25,388,0,387,..,72,9,81,0,81,..,31,0,31,0,31,..,9,0,9,0,9,..,25,0,26,0,26,..,17,0,17,0,17,..,35,3,39,4,38,..,44,5,49,0,55,..,11,0,11,0,11,..,12,3,11,0,11,..,37,6,43,0,49,..,58,0,58,0,58,..,10,0,9,0,9,..,75,0,77,0,77,..,18,0,18,0,18,..,164,3,163,0,163,..,124,10,132,0,132,..,59,3,66,0,66,..,44,3,49,0,49,..,3,0,3,0,3,..,106,17,130,0,128,..,417,85,497,6,511,..,2122,240,2362,19,2380,..,35,7,38,695,733,14524,2154,243,2402,715,17633
POA2911,..,22,0,22,0,22,..,84,0,82,0,82,..,102,3,105,0,105,..,29,10,36,0,36,..,29,0,29,0,29,..,80,3,81,0,87,..,59,9,66,0,66,..,388,19,407,0,409,..,20,4,25,0,25,..,13,0,13,0,13,..,18,3,24,0,24,..,12,0,11,0,11,..,0,0,0,0,0,..,16,3,23,0,23,..,7,0,7,0,7,..,14,3,16,0,16,..,3,0,3,0,3,..,15,0,17,0,17,..,6,0,6,0,6,..,8,4,13,0,13,..,22,0,18,0,18,..,3,0,3,0,3,..,32,3,39,0,39,..,30,3,28,0,35,..,52,0,52,0,52,..,8,5,8,0,6,..,8,0,8,0,8,..,42,10,53,0,53,..,253,33,284,5,293,..,1524,202,1726,13,1741,..,15,3,14,161,181,2541,1533,209,1744,179,4466
POA2912,..,12,0,12,0,12,..,39,3,40,0,41,..,139,3,137,4,144,..,73,11,85,0,90,..,28,0,25,3,29,..,57,7,67,0,67,..,67,8,67,0,68,..,401,28,434,5,441,..,32,3,37,0,37,..,12,3,18,0,18,..,140,101,246,0,246,..,13,3,15,0,15,..,0,0,0,0,0,..,33,9,39,0,38,..,7,0,9,0,9,..,12,0,13,0,13,..,7,5,18,0,18,..,3,5,9,0,9,..,34,0,37,0,37,..,9,0,9,0,9,..,45,0,49,0,49,..,11,0,11,0,11,..,102,4,108,0,108,..,69,11,83,0,83,..,53,3,62,0,62,..,17,3,20,0,20,..,15,3,15,0,22,..,141,43,185,0,186,..,258,55,315,13,328,..,2071,461,2537,33,2563,..,13,3,14,347,367,3217,2081,469,2553,377,6142
POA2913,..,194,15,207,3,213,..,327,20,344,0,346,..,567,28,594,6,599,..,260,42,296,3,298,..,329,10,338,3,344,..,387,29,415,8,422,..,302,18,314,0,321,..,2171,143,2321,18,2336,..,272,13,282,0,282,..,84,17,96,0,97,..,271,154,428,0,432,..,102,9,107,5,112,..,5,0,5,0,5,..,88,13,101,0,105,..,72,3,71,0,71,..,65,8,73,0,73,..,24,3,21,0,21,..,112,8,120,0,122,..,122,5,134,0,135,..,95,9,105,0,107,..,176,5,185,0,185,..,45,9,49,0,49,..,444,29,478,3,480,..,307,39,348,0,350,..,204,16,219,0,219,..,84,9,95,3,98,..,7,0,7,0,7,..,511,129,643,0,644,..,1336,247,1577,26,1605,..,9022,1438,10464,91,10551,..,70,15,86,1541,1630,22877,9092,1455,10551,1631,35053
POA2914,..,106,5,116,0,116,..,341,20,365,0,365,..,534,24,563,0,565,..,386,35,421,3,424,..,215,10,225,0,225,..,387,33,424,3,424,..,359,33,388,3,392,..,2229,157,2381,11,2398,..,117,5,126,3,133,..,41,10,48,0,48,..,225,108,328,0,331,..,48,3,54,0,54,..,0,0,0,0,0,..,66,6,75,0,73,..,58,3,62,0,62,..,60,7,71,0,71,..,35,0,34,0,34,..,65,6,70,0,70,..,130,0,127,0,127,..,62,4,63,0,65,..,128,0,128,3,138,..,34,3,36,0,36,..,356,11,365,8,368,..,187,18,203,3,200,..,318,20,337,3,340,..,62,12,70,0,76,..,21,6,26,0,26,..,301,60,361,3,359,..,1242,198,1438,37,1472,..,7633,1075,8702,88,8787,..,47,15,62,883,945,15472,7681,1085,8767,968,25204
