POA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
POA2612,231,226,453,652,640,1294,0,0,0,74,71,141,3,3,3,1320,1217,2539,0,4,7,84,95,181,7,7,13,13,12,23,32,38,76,9,7,8,65,61,129,50,32,82,94,96,195,11,3,13,10,9,18,154,159,313,91,119,210,3,7,16,2681,2576,5259,187,126,313,190,144,335,23,25,48,0,0,0,14,12,30,19,25,41,37,36,75,4034,3415,7445,70,55,122,12,25,38,4115,3496,7603,1182,922,2104,8647,7537,16184
POA2614,205,220,429,892,1164,2059,0,0,0,97,128,224,0,0,0,1723,1909,3638,7,5,17,143,145,284,22,21,43,21,19,45,48,67,110,5,10,17,43,49,95,83,83,162,152,185,334,15,14,26,23,14,41,222,342,556,190,221,411,10,20,34,3684,4397,8084,169,154,319,270,229,499,17,24,37,0,0,0,53,36,91,28,48,74,78,86,164,4185,3889,8076,57,59,115,21,24,43,4265,3972,8231,801,812,1615,9487,9903,19390
POA2615,392,509,903,2436,2892,5331,0,0,0,258,282,538,0,0,0,4912,5669,10582,11,34,51,295,292,587,28,59,88,87,93,183,132,160,293,21,12,38,98,117,211,317,362,681,376,441,821,39,43,78,47,56,97,532,684,1215,549,633,1180,26,17,41,10170,11847,22010,360,381,735,527,498,1024,10,11,21,4,8,14,114,97,208,80,103,176,193,206,399,8146,7204,15356,74,62,136,22,40,59,8239,7314,15553,1790,1739,3530,21666,22506,44177
POA2617,392,535,926,1292,1584,2872,0,0,0,172,176,352,3,4,3,3169,3469,6632,21,21,40,300,325,627,8,29,38,44,28,68,70,101,167,13,15,28,94,98,190,153,208,355,305,305,613,17,15,36,35,25,65,335,474,814,358,412,766,20,19,40,6400,7298,13702,485,412,896,506,435,942,28,30,64,3,3,8,83,75,158,70,70,141,157,156,310,6498,5711,12205,96,68,165,34,31,66,6627,5811,12435,1663,1563,3233,16258,16243,32503
POA2618,0,0,0,112,120,231,0,0,0,4,6,13,0,0,0,224,207,433,0,0,0,11,3,10,0,0,0,0,0,0,3,7,8,0,0,0,0,3,5,0,0,0,11,16,30,0,0,0,0,0,3,19,31,53,11,4,9,3,0,6,405,409,814,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,239,472,0,0,0,0,3,3,232,244,476,74,78,150,720,732,1445
POA2900,28,35,69,73,121,194,0,0,0,3,12,15,0,0,0,178,208,389,0,0,0,4,6,11,3,4,6,0,0,0,5,5,10,0,3,3,5,3,8,17,8,21,19,24,45,3,3,6,0,0,0,12,27,37,16,21,36,0,0,0,335,447,783,133,116,255,27,24,58,3,0,3,0,0,0,10,4,13,8,4,10,11,7,24,306,258,562,4,3,6,0,3,3,310,263,568,95,82,176,947,982,1930
POA2902,72,98,170,825,998,1829,0,0,0,73,93,165,0,0,0,1780,1975,3756,5,13,12,77,94,170,13,21,31,10,14,19,41,60,108,12,6,19,52,53,105,88,96,176,137,165,303,12,10,20,13,11,22,173,221,399,141,177,317,4,12,19,3454,4010,7464,64,62,133,83,82,164,0,0,4,0,0,0,25,22,48,34,41,70,60,58,120,2850,2562,5411,47,31,74,12,21,37,2910,2613,5518,672,655,1327,7315,7581,14900
POA2903,75,100,177,549,666,1214,0,0,0,43,41,93,0,0,0,1101,1192,2293,0,3,5,60,74,133,16,13,29,7,3,6,37,32,64,10,6,11,29,41,77,38,59,99,94,115,200,9,11,28,18,17,28,91,129,219,126,161,285,5,7,16,2237,2569,4805,50,45,92,89,76,165,3,7,18,0,0,0,22,20,37,18,18,40,44,35,79,1665,1428,3088,12,16,29,6,5,15,1683,1447,3129,384,369,753,4559,4646,9207
POA2904,104,126,234,806,1005,1813,0,0,0,57,66,120,0,0,0,1689,1897,3586,5,6,16,99,93,190,5,4,12,6,6,16,43,53,100,11,11,19,27,41,69,85,89,170,134,155,290,11,14,29,5,11,16,163,236,396,126,156,277,13,10,23,3288,3853,7138,70,88,156,108,128,237,5,8,16,0,0,0,24,21,48,9,21,27,32,41,79,2061,1809,3868,38,28,59,14,8,23,2109,1849,3956,487,566,1054,6208,6659,12863
POA2905,251,337,583,1789,2049,3836,10,3,8,133,145,281,0,0,0,3664,4141,7805,13,0,16,181,185,360,31,35,64,48,49,102,81,111,190,15,12,31,80,81,158,164,178,344,279,357,633,36,56,94,26,37,61,241,359,598,330,360,693,9,9,14,7118,8169,15292,191,163,352,304,238,539,6,3,11,0,5,10,60,49,111,46,74,116,105,131,228,4927,4338,9264,40,39,79,17,25,46,4986,4407,9391,1121,1098,2219,14074,14544,28625
POA2906,206,223,431,1137,1386,2525,0,0,0,85,103,190,0,3,6,2289,2591,4876,7,12,15,97,94,195,7,24,29,12,22,32,26,52,78,8,15,26,36,43,81,126,133,262,155,184,340,34,32,69,16,14,31,179,239,420,168,178,352,4,6,12,4396,5128,9525,94,109,200,150,179,336,4,3,5,0,3,3,41,33,72,22,25,48,63,63,130,2882,2673,5551,44,31,71,8,19,24,2934,2717,5651,688,674,1359,8539,9102,17633
POA2911,70,79,148,133,182,316,0,0,0,19,25,48,0,0,0,465,515,985,0,3,3,46,42,85,5,3,8,0,0,3,6,16,27,8,12,21,7,6,14,19,26,47,15,23,38,4,0,4,3,4,9,28,32,61,65,70,133,0,0,3,829,963,1795,179,168,344,138,127,260,3,0,5,0,0,0,16,18,35,10,5,19,29,24,54,814,727,1540,3,0,10,0,0,0,817,732,1546,158,145,310,2219,2240,4466
POA2912,106,139,245,204,280,483,0,0,0,40,47,91,0,0,0,568,601,1165,0,0,0,27,20,48,5,9,16,3,3,6,9,12,19,6,6,14,12,14,27,45,52,99,64,70,133,0,5,7,4,4,3,61,78,140,94,100,194,7,3,14,1153,1313,2466,188,181,369,121,129,256,4,7,10,0,0,0,39,38,79,11,17,28,52,61,111,1126,998,2122,17,15,26,6,6,7,1145,1010,2152,278,260,540,3040,3105,6142
POA2913,621,729,1350,1547,1995,3542,3,0,7,161,187,348,0,0,0,3667,4098,7763,16,10,26,306,322,628,24,29,51,40,39,83,64,83,147,53,48,101,120,113,233,202,237,442,340,366,711,20,26,47,25,33,62,360,416,772,422,470,891,3,11,14,7370,8502,15870,765,757,1520,702,559,1261,12,10,22,3,3,9,150,164,308,49,79,128,203,239,438,6068,5391,11461,63,43,107,25,27,55,6159,5458,11619,1506,1470,2976,17336,17717,35053
POA2914,347,434,777,1151,1328,2480,0,0,0,134,152,285,0,0,0,2644,2931,5573,0,3,3,162,199,363,34,33,68,21,24,43,50,66,120,50,53,110,72,56,135,131,152,277,209,233,443,32,26,58,25,31,60,231,309,545,368,422,788,6,8,18,5322,6040,11354,935,916,1847,653,633,1280,3,7,8,5,3,4,201,197,398,42,36,79,242,241,483,4011,3569,7578,51,38,85,21,17,36,4081,3621,7697,916,834,1755,12491,12711,25204
