POA_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
POA2612,0,0,0,0,0,147,9,5,0,0,0,0,0,0,0,161,31,0,0,0,0,0,0,0,0,3,34,15,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,3,0,5,65,1076,209,168,37,61,51,62,75,44,38,1826,539,212,354,101,127,204,262,384,238,55,2483,67,30,45,7,12,20,29,50,53,24,331,5,3,3,0,0,3,0,0,0,3,16,610,246,396,111,144,226,290,432,290,82,2830,0,0,0,0,0,3,0,0,0,0,7,1679,449,567,147,209,279,355,511,338,121,4662
POA2614,0,0,0,0,0,415,0,7,0,3,0,0,0,0,15,439,89,0,0,0,0,0,0,0,0,7,102,49,0,0,0,0,0,0,0,0,4,55,32,0,0,0,0,0,0,0,0,6,39,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,19,97,0,0,0,0,0,0,0,0,0,3,3,172,0,0,0,0,0,0,0,0,27,200,1605,117,148,64,28,29,28,36,24,46,2124,823,285,422,127,125,155,177,197,121,61,2492,125,11,54,12,22,27,39,45,48,40,405,7,4,3,0,0,0,3,0,0,0,16,947,302,480,136,147,182,213,238,170,98,2911,3,0,0,0,0,0,0,0,0,3,8,2559,420,629,204,169,209,243,275,190,149,5050
POA2615,0,0,0,0,0,588,4,12,0,0,0,0,0,0,12,620,74,0,0,0,0,0,0,0,0,0,75,48,0,0,0,0,0,0,0,0,0,54,32,0,0,0,0,0,0,0,0,3,37,0,0,0,0,0,0,0,0,0,0,0,83,0,3,0,0,0,0,0,0,3,92,0,0,0,0,0,0,0,0,0,0,0,158,0,3,0,0,0,0,0,0,4,170,2962,249,294,74,81,60,53,31,24,106,3930,1935,724,1118,140,141,174,177,150,111,66,4733,304,54,123,21,20,34,46,45,39,44,741,23,3,9,0,0,4,4,3,0,3,46,2266,788,1254,159,162,207,223,201,147,111,5518,3,0,3,0,0,0,0,0,0,3,6,5236,1039,1551,231,239,268,275,225,175,216,9455
POA2617,0,0,0,0,3,396,6,9,0,3,0,4,0,0,10,431,65,0,0,0,0,0,0,0,0,3,70,43,0,0,0,0,0,0,0,0,0,44,28,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,3,76,3,0,0,0,0,0,0,0,0,0,3,142,3,0,0,0,0,0,0,0,3,147,1897,238,258,88,77,72,100,77,67,73,2951,1845,690,1083,293,318,403,600,620,466,162,6483,254,51,86,34,29,58,112,119,113,60,928,15,0,3,0,0,0,3,0,3,7,30,2115,740,1174,328,350,466,714,738,583,224,7441,9,0,0,0,0,0,0,0,0,12,21,4019,980,1433,411,428,538,820,822,653,311,10409
POA2618,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,112,6,4,0,0,3,0,0,0,6,139,29,0,10,0,0,0,0,0,3,5,47,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,34,0,10,0,0,3,0,0,0,5,54,0,0,0,0,0,0,0,0,0,0,0,153,10,14,0,0,4,0,0,0,11,193
POA2900,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,30,8,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,166,15,27,3,3,3,11,9,4,3,231,92,44,90,12,39,44,41,45,23,4,438,8,0,3,0,0,6,8,3,3,0,31,0,0,0,0,0,0,0,0,0,0,6,101,45,100,12,39,52,49,47,32,5,475,0,0,0,0,0,0,0,0,0,0,0,264,63,118,17,38,54,59,55,35,10,713
POA2902,0,0,0,0,0,233,0,0,0,0,0,0,0,0,4,239,27,0,0,0,0,0,0,0,0,0,27,9,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,43,1185,114,105,20,31,13,15,9,0,36,1532,589,119,220,20,43,38,41,20,3,27,1124,71,10,25,3,6,12,9,8,6,4,158,3,0,0,0,0,0,0,0,0,0,3,666,133,243,29,48,44,47,30,10,30,1281,4,0,0,0,0,0,0,0,0,0,6,1857,244,347,48,72,64,64,41,10,70,2820
POA2903,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,123,21,0,0,0,0,0,0,0,0,0,21,15,0,0,0,0,0,0,0,0,0,15,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,45,784,71,44,17,15,5,13,10,3,17,975,428,90,180,32,30,31,20,14,10,7,848,67,5,13,4,3,8,9,3,7,8,114,6,3,0,0,0,0,0,0,0,0,14,497,101,196,39,38,42,28,15,13,16,980,0,0,0,0,0,0,0,0,0,0,0,1277,168,237,50,54,51,42,28,18,32,1955
POA2904,0,0,0,0,0,207,0,3,0,0,0,0,0,0,9,218,36,0,0,0,0,0,0,0,0,0,36,25,0,0,0,0,0,0,0,0,0,25,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,78,1088,68,91,19,29,30,11,22,4,21,1380,695,132,224,42,38,23,25,22,15,12,1222,70,3,6,3,3,3,16,4,0,3,119,7,0,3,0,0,0,0,0,0,0,12,778,137,229,42,43,31,37,28,20,18,1355,3,0,0,0,0,0,0,0,0,0,4,1869,205,323,56,73,62,52,48,24,39,2743
POA2905,0,0,0,0,0,286,3,4,0,0,0,0,0,0,10,299,43,0,0,0,0,0,0,0,0,0,48,20,0,0,0,0,0,0,0,0,4,20,19,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,3,42,0,0,0,0,0,0,0,0,0,0,3,84,0,0,0,0,0,0,0,0,4,88,1918,147,112,37,46,17,29,31,12,59,2402,1219,273,556,103,105,59,62,67,33,45,2519,190,20,29,14,11,12,24,19,13,16,344,3,0,0,0,5,0,0,0,0,0,10,1415,298,584,115,120,72,88,88,39,64,2879,6,0,0,0,0,0,0,0,0,3,8,3338,441,693,155,165,86,115,121,56,125,5295
POA2906,0,0,0,0,0,181,3,5,0,0,0,0,0,0,0,194,26,0,0,0,0,0,0,0,0,0,28,20,0,0,0,0,0,0,0,0,0,20,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,66,1189,110,109,20,17,16,21,12,4,42,1536,892,169,255,39,28,31,33,18,9,30,1500,86,13,17,0,9,6,6,10,5,8,158,3,0,0,0,0,0,0,0,0,0,3,981,179,277,40,36,35,43,22,18,39,1669,3,0,0,0,0,0,0,0,0,0,3,2176,289,381,58,49,45,65,32,24,80,3208
POA2911,0,0,0,0,0,16,5,3,0,0,0,0,0,0,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,43,46,23,13,17,7,13,8,9,377,250,312,366,67,50,41,35,41,20,17,1194,12,12,42,7,4,0,5,15,3,15,122,0,0,0,0,0,0,0,0,0,0,7,262,320,402,71,54,47,46,60,27,35,1315,0,0,0,0,0,0,0,0,0,0,3,461,363,458,94,69,60,53,73,31,44,1697
POA2912,0,0,0,0,0,38,6,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,13,247,54,51,15,26,10,25,9,0,11,446,421,238,366,69,112,91,138,136,76,56,1697,62,30,67,12,20,33,31,47,44,31,372,0,3,3,0,0,0,0,0,0,3,11,486,275,430,85,133,122,173,184,115,87,2089,0,0,7,0,0,0,0,0,0,0,8,731,329,487,101,153,137,196,187,118,104,2540
POA2913,0,0,0,0,0,267,0,10,3,3,0,3,0,0,9,302,23,0,0,0,0,0,0,0,0,3,26,13,3,0,0,0,0,0,0,0,0,14,23,0,4,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,35,5,4,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,56,5,4,0,0,0,0,0,0,3,64,1740,311,341,116,87,73,77,65,34,73,2916,2145,1255,1734,293,233,297,285,317,140,113,6823,283,93,198,37,60,54,88,87,61,64,1032,9,4,8,0,0,0,0,3,3,3,36,2445,1356,1938,327,299,349,379,408,210,184,7892,3,0,3,0,0,0,3,0,0,0,15,4186,1666,2278,440,383,424,461,469,247,259,10817
POA2914,0,0,0,0,0,89,0,9,0,0,3,4,3,0,4,119,4,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,3,18,922,239,364,116,103,87,78,65,19,45,2029,1308,1281,1768,269,224,210,250,257,132,123,5816,112,90,157,33,45,39,80,65,45,62,724,11,3,8,0,0,0,0,0,0,3,30,1427,1371,1933,305,269,248,324,317,171,186,6566,0,0,0,0,0,0,0,0,0,0,3,2352,1604,2303,419,373,339,403,386,191,234,8601
