POA_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
POA2612,36,4,0,4,44,3,0,41,417,61,12,0,486,13,3,18,505,34,0,540,305,40,0,6,351,7,3,8,360,17,0,379,59,5,6,0,75,0,0,0,75,0,0,76,5,3,0,3,14,0,0,0,18,0,0,18,789,114,18,7,932,20,4,28,960,49,0,1010,7,3,0,0,11,0,0,0,7,0,0,7,11,4,0,0,15,0,0,0,15,0,0,15,19,3,0,0,25,0,0,0,26,0,0,26,808,123,18,7,961,21,4,27,984,49,0,1033,180,30,4,3,221,3,3,3,220,17,0,241,3,3,0,0,6,0,0,0,6,0,0,6,995,153,21,9,1179,24,9,35,1216,64,0,1278
POA2614,83,3,0,5,84,16,0,97,1015,140,20,0,1176,15,4,22,1193,61,0,1259,1014,168,27,12,1224,8,0,13,1234,54,0,1286,141,26,15,0,178,0,0,0,178,3,0,181,12,4,0,7,25,0,0,0,23,0,0,24,2176,338,61,25,2594,23,6,34,2626,125,0,2749,19,3,0,0,24,3,0,3,26,7,0,34,30,6,0,0,31,13,0,13,47,4,0,50,49,11,0,0,63,11,0,11,76,10,0,84,2220,349,56,22,2651,40,6,45,2703,131,0,2835,443,77,20,3,540,9,3,13,552,67,0,621,6,0,0,0,6,0,0,0,6,0,3,9,2673,424,74,27,3200,45,9,54,3257,201,3,3461
POA2615,166,0,3,6,168,28,0,189,2499,330,36,11,2874,33,13,52,2924,141,0,3069,2656,332,39,13,3042,22,4,32,3077,45,0,3120,429,62,71,3,569,0,3,0,570,8,0,582,20,0,0,31,49,0,0,0,48,0,0,54,5597,731,154,55,6539,61,25,86,6624,194,3,6827,73,8,0,0,88,3,3,6,93,0,0,94,92,17,0,0,105,7,4,7,117,0,0,113,164,24,0,0,198,12,5,18,213,5,0,214,5765,752,154,59,6734,69,31,102,6835,197,3,7034,1199,128,40,40,1409,29,16,44,1451,223,0,1671,11,0,0,7,20,0,0,0,20,0,11,29,6978,886,192,104,8160,95,50,143,8302,421,16,8742
POA2617,107,3,0,3,113,20,0,130,1208,193,19,15,1436,24,7,26,1458,91,3,1557,1483,189,25,5,1699,6,3,9,1710,40,0,1752,200,16,30,0,247,3,0,3,248,5,0,251,24,3,0,4,27,0,0,0,25,0,3,34,2913,398,74,26,3412,34,5,44,3452,134,8,3590,43,8,0,4,52,8,3,12,67,0,0,69,54,5,0,0,60,4,0,4,68,0,0,69,91,16,0,4,111,15,3,15,131,3,0,136,3003,416,77,27,3517,45,10,61,3581,138,8,3726,587,107,14,9,719,15,0,20,737,104,7,843,4,4,0,11,15,0,0,0,15,0,3,21,3597,525,85,48,4256,66,14,75,4331,241,16,4591
POA2618,18,0,0,0,18,0,0,18,82,11,0,0,91,0,0,0,91,10,0,102,113,11,6,0,130,0,0,0,133,0,0,133,12,8,0,0,11,0,0,0,11,0,0,11,0,0,0,5,7,0,0,0,7,0,0,7,210,25,6,5,248,0,0,0,245,14,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,27,6,5,246,0,0,0,250,14,0,261,29,4,7,0,35,0,0,0,35,4,0,41,0,0,0,0,0,0,0,0,0,0,0,0,239,32,16,5,284,0,0,0,289,12,0,304
POA2900,0,0,0,0,0,0,0,0,41,12,0,0,54,3,0,3,51,0,0,53,46,3,0,0,54,0,0,0,54,0,0,54,7,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,93,18,0,0,109,3,0,3,116,0,0,112,11,5,0,0,17,0,0,0,17,0,0,17,3,0,0,0,3,0,0,0,3,0,0,3,11,5,0,0,15,0,0,0,15,0,0,15,107,21,0,0,129,3,0,3,130,0,0,134,38,4,0,3,41,0,0,0,46,3,0,52,0,0,0,0,0,0,0,0,0,0,0,0,145,22,0,3,167,3,0,3,178,6,0,184
POA2902,59,0,0,0,57,12,0,72,814,101,13,0,924,14,6,14,942,43,0,987,855,132,10,0,999,10,0,14,1011,39,3,1054,133,22,7,0,164,0,0,0,164,0,0,164,9,3,0,10,21,0,0,0,21,3,0,26,1812,256,24,17,2113,18,8,27,2137,84,3,2224,6,5,0,0,13,0,0,0,13,3,0,12,21,0,4,0,29,4,0,4,28,0,5,33,31,5,4,0,39,4,0,4,41,3,5,42,1842,259,29,17,2149,26,8,33,2176,84,4,2269,299,43,6,13,364,11,0,17,377,73,4,454,3,0,0,0,9,3,0,3,12,0,4,18,2148,299,42,29,2518,40,13,48,2569,162,14,2736
POA2903,36,0,0,0,36,8,0,44,437,70,6,0,515,9,0,15,531,38,3,566,541,80,0,4,623,3,6,10,627,15,3,650,81,7,17,0,108,0,0,0,108,4,0,109,10,0,0,7,16,0,0,0,19,0,0,19,1068,151,27,14,1257,16,8,22,1283,55,4,1343,11,0,0,0,16,0,0,0,16,0,0,13,23,3,0,0,28,3,0,3,32,3,0,36,38,4,0,0,41,3,0,3,46,3,0,47,1101,160,27,14,1304,19,8,25,1329,56,4,1394,176,37,8,12,237,0,0,0,243,38,0,279,0,0,0,0,0,0,0,0,0,0,4,4,1284,197,37,27,1538,19,10,31,1570,100,6,1676
POA2904,78,0,0,0,80,11,0,93,775,83,18,14,884,9,0,15,894,44,0,941,735,79,5,9,827,3,0,3,831,16,4,852,109,8,14,0,138,0,0,0,138,0,0,138,5,0,4,5,20,0,0,0,20,3,0,18,1619,172,45,28,1868,15,0,13,1878,63,4,1950,12,0,0,0,12,8,0,8,20,0,0,20,11,3,0,0,19,0,0,0,19,0,0,19,23,3,0,6,31,8,0,8,35,0,0,35,1645,179,48,30,1897,19,0,25,1919,63,4,1984,285,55,0,7,354,4,6,3,358,31,0,393,13,0,0,0,13,0,0,0,13,0,3,13,1945,231,48,35,2262,22,5,29,2291,99,4,2397
POA2905,125,0,0,0,127,16,0,142,1712,203,36,22,1962,22,3,22,1988,82,0,2070,1549,204,16,20,1787,17,3,22,1807,40,0,1841,247,32,39,0,316,10,0,10,324,8,0,331,11,0,0,9,19,0,0,0,21,0,0,29,3514,431,94,44,4083,52,9,58,4140,129,0,4273,32,0,0,0,33,0,0,0,38,11,0,53,36,9,3,0,51,3,0,5,52,9,0,57,72,6,3,0,81,3,0,6,94,22,0,109,3586,443,99,44,4173,55,7,63,4234,150,0,4384,785,100,9,18,902,9,3,16,918,98,0,1017,12,4,0,0,16,0,0,0,16,3,4,26,4377,543,102,61,5091,67,11,78,5164,244,7,5418
POA2906,95,0,0,0,95,11,0,105,1230,125,11,11,1376,8,0,13,1387,43,0,1436,1049,109,28,3,1189,10,6,16,1208,15,0,1221,158,28,25,3,209,4,3,6,219,0,0,221,14,0,0,15,30,0,0,0,30,0,4,40,2452,268,65,31,2813,24,11,34,2842,65,4,2912,27,3,0,0,29,6,0,12,35,0,0,42,40,3,0,0,44,0,0,0,40,0,0,45,61,4,0,0,70,12,0,13,79,3,0,86,2515,270,65,31,2883,34,8,45,2926,68,4,2992,434,40,7,7,489,15,3,14,504,59,0,569,8,0,0,0,8,0,0,0,8,0,6,14,2956,306,71,43,3374,48,12,56,3433,132,9,3576
POA2911,13,0,0,0,13,0,0,11,361,28,0,3,389,0,0,3,391,13,0,412,285,28,4,0,325,0,0,0,325,6,0,333,73,7,12,0,91,0,0,0,91,3,0,92,5,0,0,4,8,0,0,0,8,0,0,8,728,67,16,10,818,0,0,3,819,24,0,839,8,3,0,0,10,0,0,0,9,0,0,9,11,0,0,0,11,0,0,0,17,0,0,12,21,3,0,0,23,0,0,0,28,0,0,28,753,68,16,10,836,0,3,3,846,29,0,867,121,10,3,3,139,0,0,0,139,4,0,142,17,0,0,4,20,0,0,0,20,0,0,20,888,80,17,13,995,0,3,3,1003,28,0,1031
POA2912,23,0,0,0,25,0,0,24,343,53,6,3,410,18,3,25,429,11,0,440,291,35,6,5,338,8,0,8,349,3,3,350,38,4,8,0,55,0,0,0,55,0,0,55,0,3,0,0,5,0,0,0,5,0,0,5,677,97,25,4,807,33,3,37,838,15,3,851,27,0,0,0,27,0,0,3,24,3,0,30,12,0,0,0,12,0,0,0,16,0,4,25,42,0,0,0,42,0,5,3,45,4,4,54,715,97,25,4,842,31,6,41,881,16,8,903,208,19,3,3,238,6,3,8,248,34,0,285,8,0,0,0,8,0,0,0,8,0,0,8,928,123,31,10,1085,39,11,48,1134,54,8,1193
POA2913,141,3,0,3,139,20,3,163,2406,198,40,17,2660,47,6,53,2714,112,8,2829,2178,262,33,23,2487,15,11,27,2515,51,0,2563,353,29,46,6,430,4,0,4,437,4,0,442,21,0,0,26,44,0,0,0,44,0,0,51,4947,488,112,71,5623,70,16,86,5704,166,5,5883,66,18,8,3,97,0,0,0,94,12,0,110,97,4,0,0,99,0,3,5,106,4,0,109,162,20,8,7,190,7,3,9,205,15,0,218,5113,506,116,77,5814,74,22,95,5912,183,5,6102,1102,136,32,20,1282,41,12,50,1340,118,0,1449,9,0,0,0,12,0,0,0,12,0,12,23,6221,645,149,98,7117,113,33,146,7258,299,21,7578
POA2914,88,3,0,3,86,11,0,100,2327,186,19,13,2547,33,3,34,2583,97,0,2679,1887,166,29,8,2092,18,5,21,2114,21,0,2143,315,8,54,4,390,4,0,4,390,4,0,391,31,3,0,24,56,0,0,0,56,0,0,58,4561,367,108,47,5087,52,4,62,5147,124,4,5271,109,10,3,0,118,18,0,18,139,3,0,140,77,3,0,0,78,8,0,15,94,14,0,101,185,11,0,0,202,28,0,28,229,15,0,244,4748,382,111,47,5285,82,5,89,5378,136,4,5518,1092,110,15,18,1232,29,3,29,1263,86,0,1353,13,4,4,10,22,0,0,0,22,0,3,32,5849,495,125,74,6544,112,11,122,6665,223,10,6900
