POA_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
POA2612,0,244,21,265,16,404,23,447,10,531,38,576,3,1446,146,1596,19,2150,255,2422,22,897,130,1043,32,746,110,885,33,604,79,715,22,362,49,430,17,139,21,179,21,62,3,84,197,7572,880,8647,3,233,13,254,5,392,21,419,5,412,41,465,6,1148,106,1265,17,1898,202,2120,9,764,89,865,17,645,63,723,29,502,45,568,29,386,51,465,40,191,30,262,58,64,21,140,222,6637,678,7537,5,481,39,517,23,798,42,862,15,946,76,1039,10,2597,255,2863,38,4046,458,4543,28,1655,219,1911,54,1388,167,1609,59,1102,117,1282,53,750,99,895,62,329,51,443,81,125,26,230,421,14204,1558,16184
POA2614,9,591,26,629,46,1141,44,1232,11,486,26,520,17,638,38,695,22,1131,65,1221,22,1242,65,1326,31,1174,64,1264,30,844,37,909,53,804,50,908,96,437,46,579,93,101,8,204,433,8596,457,9487,8,535,42,575,24,1149,45,1217,16,446,19,473,10,546,31,591,17,1196,67,1283,37,1306,61,1399,41,1140,56,1238,55,952,46,1050,71,966,50,1089,141,464,43,650,184,120,25,333,595,8828,477,9903,14,1124,65,1203,71,2286,89,2449,26,931,39,997,26,1187,69,1282,41,2328,135,2509,53,2551,118,2721,75,2313,117,2505,80,1799,77,1960,129,1768,106,1998,239,896,91,1228,280,229,33,538,1029,17421,937,19390
POA2615,30,1691,101,1822,178,2903,117,3196,59,1182,64,1301,28,1227,75,1336,53,2950,165,3167,64,3196,174,3427,96,2415,98,2610,116,1928,109,2150,146,1546,105,1795,133,512,51,697,54,89,18,158,952,19646,1073,21666,21,1608,76,1703,86,2670,94,2850,40,1166,58,1261,35,1171,68,1265,71,3262,153,3489,102,3319,153,3575,113,2480,134,2729,152,2251,150,2551,167,1791,117,2082,178,525,45,747,131,100,32,261,1100,20332,1076,22506,52,3301,179,3524,263,5571,209,6045,97,2347,125,2563,64,2399,142,2606,121,6211,321,6658,165,6512,327,7009,213,4900,233,5337,269,4180,252,4701,315,3338,222,3876,315,1038,90,1439,189,186,49,420,2054,39976,2146,44177
POA2617,9,960,43,1011,71,1400,78,1551,19,872,62,954,31,1908,146,2087,42,2986,246,3271,46,2078,153,2280,38,1529,130,1690,57,1446,100,1603,88,1036,79,1203,82,339,29,445,75,71,12,163,557,14631,1063,16258,10,840,35,882,43,1279,50,1374,22,851,54,930,27,1938,180,2142,40,2967,191,3197,55,1974,127,2156,56,1495,99,1656,84,1627,130,1836,94,1075,75,1245,135,381,29,542,162,92,23,284,719,14520,1007,16243,20,1794,82,1893,116,2677,129,2921,41,1727,112,1889,50,3852,318,4221,85,5952,437,6473,101,4053,283,4436,89,3027,225,3343,145,3074,226,3438,183,2115,150,2447,215,718,56,989,235,172,37,446,1279,29154,2072,32503
POA2618,0,33,8,36,0,87,3,94,5,57,8,66,0,41,5,43,0,47,9,50,0,81,5,88,0,107,8,112,0,80,5,88,4,81,3,88,5,36,3,44,3,3,0,5,17,642,57,720,0,22,0,28,0,102,10,110,0,56,6,60,0,31,3,33,0,45,5,50,0,101,15,116,0,107,7,110,0,98,6,106,0,79,3,85,3,22,3,32,0,3,0,3,12,658,57,732,0,57,7,64,0,190,11,202,3,109,13,123,0,70,10,81,0,86,14,104,4,178,21,206,5,209,12,226,0,171,16,193,4,169,7,175,11,59,5,70,3,4,0,7,33,1305,114,1445
POA2900,0,57,4,66,5,50,0,54,0,36,3,37,0,61,6,72,3,225,16,243,4,142,9,152,6,89,9,101,3,93,7,103,8,72,7,85,7,28,0,37,6,8,0,7,34,858,54,947,0,57,0,57,0,47,0,46,0,33,0,34,3,72,0,70,3,208,16,228,0,109,4,116,3,113,6,118,0,108,13,125,15,95,6,117,14,38,0,54,4,9,0,16,46,877,53,982,0,121,3,123,6,93,3,102,0,69,6,69,3,133,3,140,5,430,38,468,5,248,17,267,9,198,10,214,10,202,21,231,20,165,11,199,23,66,4,85,13,16,0,25,82,1732,110,1930
POA2902,6,498,33,537,54,900,50,1003,18,434,16,462,9,372,24,408,21,773,50,847,40,919,55,1015,39,884,43,963,35,828,50,918,60,743,52,854,38,199,24,261,17,28,3,44,338,6583,400,7315,4,450,26,484,25,878,38,946,29,427,19,474,8,335,32,373,24,776,46,846,36,980,62,1080,32,946,58,1036,66,996,62,1119,54,755,49,863,56,216,18,287,26,36,4,72,354,6804,423,7581,11,946,59,1017,82,1778,90,1952,44,864,36,942,25,709,53,780,47,1556,98,1695,71,1903,121,2092,73,1829,99,2001,101,1826,112,2040,114,1501,105,1716,92,419,42,551,45,62,10,119,688,13390,817,14900
POA2903,6,302,16,323,34,573,25,630,13,264,10,284,12,261,13,287,13,491,20,525,12,592,26,633,18,557,33,603,18,571,42,638,39,404,17,461,28,117,9,153,13,14,3,32,205,4147,206,4559,3,268,10,278,5,534,25,565,7,266,10,285,3,232,14,244,9,526,26,560,21,585,27,633,31,586,25,648,23,716,40,776,30,404,26,460,42,94,6,141,28,30,0,53,197,4232,211,4646,10,567,25,605,41,1105,51,1196,25,526,16,571,16,490,25,529,19,1022,47,1083,33,1173,61,1269,48,1142,57,1246,45,1284,83,1415,66,811,42,920,69,215,13,290,42,39,4,84,404,8375,419,9207
POA2904,3,395,11,410,37,704,22,762,13,397,16,430,16,370,19,409,16,660,21,695,13,696,28,733,19,770,48,835,28,925,39,997,41,535,40,616,36,164,20,216,56,42,3,106,275,5662,269,6208,3,333,12,351,12,716,30,764,13,382,15,410,7,341,7,352,15,681,20,720,16,758,37,811,25,898,44,973,32,1055,43,1130,36,515,42,589,93,219,19,332,147,62,15,221,407,5956,294,6659,6,729,24,759,54,1419,53,1524,25,783,31,839,21,712,30,763,30,1342,40,1415,25,1453,64,1543,44,1669,90,1807,64,1984,87,2127,75,1049,81,1204,134,383,40,555,207,107,19,329,690,11613,562,12863
POA2905,8,951,45,1007,143,1735,70,1944,45,962,35,1049,30,975,58,1056,42,1978,104,2122,44,1693,89,1828,54,1800,101,1951,85,1721,77,1878,75,695,40,809,78,228,32,332,42,44,10,90,640,12771,666,14074,11,976,46,1034,56,1670,78,1802,28,894,51,970,22,891,51,963,48,1972,100,2120,58,1825,87,1966,86,2087,104,2275,94,1749,100,1938,102,768,51,921,110,274,21,406,86,53,13,150,698,13154,695,14544,20,1929,94,2035,203,3399,150,3752,76,1856,83,2016,54,1865,101,2022,86,3952,202,4248,98,3519,172,3795,138,3890,203,4227,178,3463,175,3820,174,1460,97,1729,185,498,52,744,126,93,22,238,1339,25924,1358,28625
POA2906,14,609,27,653,82,1080,47,1213,27,653,22,708,20,591,34,642,18,1047,48,1113,27,1039,73,1144,46,1282,75,1408,42,864,54,960,45,378,22,441,32,154,21,206,21,29,4,55,379,7739,426,8539,3,590,29,627,38,1061,49,1141,20,682,34,737,12,632,27,677,23,1158,67,1255,34,1186,63,1278,52,1503,81,1637,59,804,38,901,40,436,24,502,55,196,16,267,46,27,7,78,385,8275,440,9102,11,1204,61,1276,121,2138,91,2353,45,1341,62,1445,32,1224,59,1321,45,2213,114,2364,66,2221,135,2421,103,2792,152,3048,106,1670,89,1866,82,810,49,939,89,345,35,471,59,56,12,131,761,16006,866,17633
POA2911,3,270,11,288,5,255,10,271,3,87,3,92,0,156,4,161,3,523,27,557,4,442,22,468,3,190,3,200,3,96,3,101,9,53,0,57,11,18,0,22,0,4,0,4,32,2094,95,2219,0,253,11,267,5,246,13,270,3,74,3,76,0,154,6,165,0,614,33,644,4,379,20,402,4,182,3,194,6,121,3,135,7,50,0,64,5,24,0,30,3,4,0,4,44,2107,89,2240,4,526,21,553,11,502,18,539,3,161,3,172,0,309,17,327,3,1136,61,1202,3,823,39,869,7,380,11,391,10,218,8,237,15,103,4,117,14,35,0,53,3,3,0,9,74,4204,186,4466
POA2912,3,223,7,232,22,323,19,361,0,170,8,181,4,320,26,351,5,589,55,654,5,501,42,547,11,335,17,364,3,200,15,215,6,75,3,81,7,26,0,37,3,6,0,7,76,2770,201,3040,3,223,15,245,11,342,19,370,5,183,9,195,4,299,23,327,13,622,50,684,10,480,38,529,7,328,21,357,11,202,20,233,7,100,6,117,11,22,4,40,10,8,0,11,85,2816,199,3105,3,451,28,480,28,664,41,730,8,353,16,378,5,622,50,677,24,1213,104,1337,13,980,77,1073,19,667,39,719,11,394,36,450,17,176,9,202,19,49,3,73,6,14,0,20,157,5590,400,6142
POA2913,24,1545,79,1651,73,2205,78,2358,30,1093,51,1169,25,1088,68,1181,30,3117,179,3326,30,2675,163,2862,43,2033,138,2214,52,1303,62,1423,67,673,41,782,62,223,21,302,32,37,3,74,465,15980,885,17336,15,1313,74,1397,35,2125,88,2251,15,1024,39,1085,24,1216,76,1315,37,3397,199,3627,54,2700,137,2888,82,2131,127,2334,70,1345,84,1497,74,786,45,902,87,250,25,361,41,24,0,64,520,16302,893,17717,37,2855,152,3047,107,4330,170,4610,45,2117,93,2254,45,2301,151,2496,69,6508,378,6952,80,5375,297,5750,122,4163,263,4543,119,2649,146,2921,143,1455,87,1687,144,472,45,665,73,62,6,138,988,32284,1782,35053
POA2914,12,1301,77,1394,89,2115,86,2295,22,658,26,708,6,678,32,713,15,2049,81,2144,24,2518,109,2648,16,1387,87,1496,30,607,33,663,37,257,8,296,24,83,7,119,3,7,3,16,281,11665,552,12491,10,1240,55,1308,41,2056,70,2165,10,738,28,777,3,769,44,813,18,2362,92,2471,29,2488,102,2627,39,1305,50,1391,42,610,33,689,38,276,19,333,36,86,4,118,13,11,0,25,282,11936,498,12711,22,2539,133,2700,132,4175,154,4459,38,1395,59,1488,7,1447,74,1530,36,4411,171,4612,54,5010,213,5273,55,2690,146,2887,69,1219,65,1352,72,529,28,630,53,169,11,237,19,18,4,43,554,23595,1050,25204
