POA_CODE_2016,A55_64_SOLSE_VWW_12,A55_64_SOLSE_VWW_13,A55_64_SOLSE_VWW_14,A55_64_SOLSE_VWW_15,A55_64_SOLSE_VWW_16,A55_64_SOLSE_VWW_YNS,A55_64_SOLSE_VWW_T,A55_64_SOLSE_NWNAA_B00,A55_64_SOLSE_NWNAA_00_05,A55_64_SOLSE_NWNAA_06_10,A55_64_SOLSE_NWNAA_11,A55_64_SOLSE_NWNAA_12,A55_64_SOLSE_NWNAA_13,A55_64_SOLSE_NWNAA_14,A55_64_SOLSE_NWNAA_15,A55_64_SOLSE_NWNAA_16,A55_64_SOLSE_NWNAA_YNS,A55_64_SOLSE_NWNAA_T,A55_64_SOLSE_PinE_NS_B00,A55_64_SOLSE_PinE_NS_00_05,A55_64_SOLSE_PinE_NS_06_10,A55_64_SOLSE_PinE_NS_11,A55_64_SOLSE_PinE_NS_12,A55_64_SOLSE_PinE_NS_13,A55_64_SOLSE_PinE_NS_14,A55_64_SOLSE_PinE_NS_15,A55_64_SOLSE_PinE_NS_16,A55_64_SOLSE_PinE_NS_YNS,A55_64_SOLSE_PinE_NS_T,A55_64_SOLSE_T_B00,A55_64_SOLSE_T_00_05,A55_64_SOLSE_T_06_10,A55_64_SOLSE_T_11,A55_64_SOLSE_T_12,A55_64_SOLSE_T_13,A55_64_SOLSE_T_14,A55_64_SOLSE_T_15,A55_64_SOLSE_T_16,A55_64_SOLSE_T_YNS,A55_64_SOLSE_T_T,A55_64_L_PinE_NS_B00,A55_64_L_PinE_NS_00_05,A55_64_L_PinE_NS_06_10,A55_64_L_PinE_NS_11,A55_64_L_PinE_NS_12,A55_64_L_PinE_NS_13,A55_64_L_PinE_NS_14,A55_64_L_PinE_NS_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B00,A55_64_T_00_05,A55_64_T_06_10,A55_64_T_11,A55_64_T_12,A55_64_T_13,A55_64_T_14,A55_64_T_15,A55_64_T_16,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B00,A65_74_SEO_00_05,A65_74_SEO_06_10,A65_74_SEO_11,A65_74_SEO_12,A65_74_SEO_13,A65_74_SEO_14,A65_74_SEO_15,A65_74_SEO_16,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_SOLSE_VWW_B00,A65_74_SOLSE_VWW_00_05,A65_74_SOLSE_VWW_06_10,A65_74_SOLSE_VWW_11,A65_74_SOLSE_VWW_12,A65_74_SOLSE_VWW_13,A65_74_SOLSE_VWW_14,A65_74_SOLSE_VWW_15,A65_74_SOLSE_VWW_16,A65_74_SOLSE_VWW_YNS,A65_74_SOLSE_VWW_T,A65_74_SOLSE_NWNAA_B00,A65_74_SOLSE_NWNAA_00_05,A65_74_SOLSE_NWNAA_06_10,A65_74_SOLSE_NWNAA_11,A65_74_SOLSE_NWNAA_12,A65_74_SOLSE_NWNAA_13,A65_74_SOLSE_NWNAA_14,A65_74_SOLSE_NWNAA_15,A65_74_SOLSE_NWNAA_16,A65_74_SOLSE_NWNAA_YNS,A65_74_SOLSE_NWNAA_T,A65_74_SOLSE_PinE_NS_B00,A65_74_SOLSE_PinE_NS_00_05,A65_74_SOLSE_PinE_NS_06_10,A65_74_SOLSE_PinE_NS_11,A65_74_SOLSE_PinE_NS_12,A65_74_SOLSE_PinE_NS_13,A65_74_SOLSE_PinE_NS_14,A65_74_SOLSE_PinE_NS_15,A65_74_SOLSE_PinE_NS_16,A65_74_SOLSE_PinE_NS_YNS,A65_74_SOLSE_PinE_NS_T,A65_74_SOLSE_T_B00,A65_74_SOLSE_T_00_05,A65_74_SOLSE_T_06_10,A65_74_SOLSE_T_06,A65_74_SOLSE_T_12,A65_74_SOLSE_T_13,A65_74_SOLSE_T_14,A65_74_SOLSE_T_15,A65_74_SOLSE_T_16,A65_74_SOLSE_T_YNS,A65_74_SOLSE_T_T,A65_74_L_PinE_NS_B00,A65_74_L_PinE_NS_00_05,A65_74_L_PinE_NS_06_10,A65_74_L_PinE_NS_11,A65_74_L_PinE_NS_12,A65_74_L_PinE_NS_13,A65_74_L_PinE_NS_14,A65_74_L_PinE_NS_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B00,A65_74_T_00_05,A65_74_T_06_10,A65_74_T_11,A65_74_T_12,A65_74_T_13,A65_74_T_14,A65_74_T_15,A65_74_T_16,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B00,A75_84_SEO_00_05,A75_84_SEO_06_10,A75_84_SEO_11,A75_84_SEO_12,A75_84_SEO_13,A75_84_SEO_14,A75_84_SEO_15,A75_84_SEO_16,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_SOLSE_VWW_B00,A75_84_SOLSE_VWW_00_05,A75_84_SOLSE_VWW_06_10,A75_84_SOLSE_VWW_11,A75_84_SOLSE_VWW_12,A75_84_SOLSE_VWW_13,A75_84_SOLSE_VWW_14,A75_84_SOLSE_VWW_15,A75_84_SOLSE_VWW_16,A75_84_SOLSE_VWW_YNS,A75_84_SOLSE_VWW_T,A75_84_SOLSE_NWNAA_B00,A75_84_SOLSE_NWNAA_00_05,A75_84_SOLSE_NWNAA_06_10,A75_84_SOLSE_NWNAA_11,A75_84_SOLSE_NWNAA_12,A75_84_SOLSE_NWNAA_13,A75_84_SOLSE_NWNAA_14,A75_84_SOLSE_NWNAA_15,A75_84_SOLSE_NWNAA_16,A75_84_SOLSE_NWNAA_YNS,A75_84_SOLSE_NWNAA_T,A75_84_SOLSE_PinE_NS_B00,A75_84_SOLSE_PinE_NS_00_05,A75_84_SOLSE_PinE_NS_06_10,A75_84_SOLSE_PinE_NS_11,A75_84_SOLSE_PinE_NS_12,A75_84_SOLSE_PinE_NS_13,A75_84_SOLSE_PinE_NS_14,A75_84_SOLSE_PinE_NS_15,A75_84_SOLSE_PinE_NS_16,A75_84_SOLSE_PinE_NS_YNS,A75_84_SOLSE_PinE_NS_T,A75_84_SOLSE_T_B00,A75_84_SOLSE_T_00_05,A75_84_SOLSE_T_06_10,A75_84_SOLSE_T_11,A75_84_SOLSE_T_12,A75_84_SOLSE_T_13,A75_84_SOLSE_T_14,A75_84_SOLSE_T_15,A75_84_SOLSE_T_16,A75_84_SOLSE_T_YNS,A75_84_SOLSE_T_T,A75_84_L_PinE_NS_B00,A75_84_L_PinE_NS_00_05,A75_84_L_PinE_NS_06_10,A75_84_L_PinE_NS_11,A75_84_L_PinE_NS_12,A75_84_L_PinE_NS_13
POA2612,0,0,0,0,3,0,96,13,4,15,0,0,0,3,0,0,8,43,0,0,0,0,0,0,0,0,0,0,0,96,6,20,4,3,0,3,4,4,4,143,0,0,0,0,0,0,0,0,0,0,0,305,10,22,4,3,3,3,9,5,5,373,162,3,0,0,0,3,0,0,0,4,178,76,0,0,0,0,0,0,0,0,0,76,18,5,0,0,0,3,0,0,0,3,28,0,0,0,0,0,0,0,0,0,0,0,90,4,0,0,0,3,0,0,0,3,108,0,0,0,0,0,0,0,0,0,0,0,260,5,7,0,0,6,0,0,0,11,281,79,3,0,0,0,0,0,0,0,0,86,48,0,0,0,0,0,0,0,0,0,46,16,3,5,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,62,3,5,0,0,0,0,0,0,0,74,0,0,0,0,0,0
POA2614,3,0,3,0,0,0,209,19,3,4,0,3,3,5,0,3,3,47,0,0,0,0,0,0,0,0,0,0,4,208,10,14,0,7,6,4,0,4,4,261,0,0,0,0,0,0,0,0,0,0,0,525,18,17,4,6,9,4,0,4,7,594,409,5,0,0,0,0,4,0,0,3,423,158,3,0,0,0,0,0,0,0,3,172,21,0,8,3,0,3,0,3,3,6,44,3,0,0,0,0,0,0,0,0,0,3,181,4,8,3,0,3,0,3,3,8,213,0,0,0,0,0,0,0,0,0,0,0,594,10,10,5,0,3,7,3,3,11,637,240,0,0,0,0,0,0,0,0,8,250,131,0,0,0,0,0,0,0,0,3,132,44,0,7,0,3,0,0,0,0,3,57,0,0,0,0,0,0,0,0,0,0,0,175,0,7,0,3,0,0,0,0,7,190,0,0,0,0,0,0
POA2615,0,4,4,3,0,7,521,76,13,7,3,7,6,12,12,0,4,137,3,0,0,0,0,0,0,0,0,0,5,527,43,25,3,7,11,15,13,5,16,660,0,0,0,0,0,0,0,0,0,0,0,1170,52,39,3,10,11,16,11,5,28,1345,781,3,3,0,0,0,0,0,0,17,804,373,4,0,0,0,0,0,0,3,8,384,67,0,15,0,3,3,3,0,3,4,107,7,0,0,0,0,0,0,0,0,0,11,440,8,17,0,3,3,3,3,5,11,500,0,0,0,0,0,0,0,0,0,0,3,1224,6,20,5,3,0,3,3,5,30,1311,302,0,0,0,0,0,0,0,0,7,313,204,0,0,0,0,0,0,0,0,3,216,81,3,4,0,0,0,0,0,0,0,93,3,0,0,0,0,0,0,0,0,0,3,286,3,8,0,0,0,0,0,0,3,307,0,0,0,0,0,0
POA2617,0,3,3,0,3,3,493,63,6,13,4,6,8,14,3,7,11,135,4,0,0,0,0,0,0,0,0,0,3,493,33,25,9,6,18,19,9,11,12,632,0,0,0,0,0,0,0,0,0,0,4,934,48,33,14,6,14,19,7,11,17,1112,417,0,3,0,0,0,0,0,0,12,432,381,4,0,0,0,0,3,0,0,6,398,65,0,3,6,0,3,8,3,6,3,98,3,0,0,0,0,0,0,0,0,0,3,454,6,8,6,0,4,8,3,9,13,505,0,0,0,0,0,0,0,0,0,0,3,872,8,11,6,0,4,12,3,9,22,940,160,7,0,0,3,0,0,0,0,9,175,176,0,0,0,0,0,0,0,0,3,179,68,0,6,0,0,0,4,0,0,4,77,0,0,0,0,0,0,0,0,0,0,0,237,0,4,0,0,0,4,0,0,4,258,0,0,0,0,0,0
POA2618,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,34,42,0,0,0,0,0,0,0,0,0,41,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,47,14,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
POA2900,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,0,3,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,58,0,4,0,0,0,0,0,0,0,69,42,0,0,0,0,0,0,0,0,0,46,13,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,3,0,0,0,0,63,21,0,0,0,0,0,0,0,0,0,21,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
POA2902,0,0,0,0,0,4,159,15,4,0,0,0,0,3,0,0,0,28,3,0,0,0,0,0,0,0,0,0,3,154,8,10,0,3,0,3,0,0,4,187,0,0,0,0,0,0,0,0,0,0,0,445,19,13,3,5,0,3,0,0,16,513,310,3,0,0,0,0,0,0,0,3,314,156,0,5,0,0,0,0,0,0,0,166,22,0,3,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,175,0,3,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,486,3,3,0,0,3,0,0,0,5,502,125,0,0,0,0,0,0,0,0,0,122,81,0,0,0,0,0,0,0,0,0,88,24,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0
POA2903,0,0,0,0,0,0,119,5,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,124,7,5,0,0,0,0,0,0,3,138,0,0,0,0,0,0,0,0,0,0,0,324,12,5,0,0,3,0,0,0,3,347,205,0,0,0,0,0,0,0,0,6,207,99,0,3,0,0,0,3,0,0,0,106,19,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,120,0,3,0,0,3,3,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,325,0,3,0,0,3,3,0,0,3,338,69,0,0,0,0,0,0,0,0,0,68,32,0,0,0,0,0,0,0,0,0,32,19,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0
POA2904,0,0,0,0,0,0,241,11,0,0,0,0,0,4,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,239,14,0,4,0,0,4,4,0,4,267,0,0,0,0,0,0,0,0,0,0,0,568,25,10,5,3,0,5,6,0,3,621,264,0,0,3,0,0,0,0,0,4,275,145,0,0,0,0,0,0,0,0,3,150,17,3,0,0,0,0,3,0,0,0,22,3,0,0,0,0,0,0,0,0,0,3,164,5,0,0,0,4,3,0,0,3,175,0,0,0,0,0,0,0,0,0,0,0,426,5,0,3,0,3,3,0,0,10,454,116,0,0,0,0,0,0,0,0,6,122,55,0,3,0,0,0,0,0,0,3,61,28,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,87,0,3,0,0,0,0,0,0,3,92,0,0,0,0,0,0
POA2905,0,0,0,0,0,5,418,53,3,3,6,4,0,0,3,3,0,74,0,0,0,0,0,0,0,0,0,0,0,433,24,13,8,4,0,5,3,4,12,496,0,0,0,0,0,0,0,0,0,0,0,1010,39,25,5,4,0,5,4,3,24,1116,356,3,0,0,0,0,0,0,0,3,369,225,0,3,0,0,0,0,0,0,3,231,55,3,3,0,0,3,0,3,0,3,74,0,0,0,0,0,0,0,0,0,0,0,278,3,4,0,0,3,0,3,0,8,304,0,0,0,0,0,0,0,0,0,0,0,639,6,10,0,0,0,0,3,0,14,674,163,3,0,0,0,0,0,0,0,4,169,75,0,0,0,0,0,0,0,0,0,79,45,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,125,0,4,0,0,0,0,0,0,0,131,0,0,0,0,0,0
POA2906,0,0,0,0,0,6,284,34,4,3,0,0,0,3,0,0,4,44,0,0,0,0,0,0,0,0,0,0,0,295,14,8,0,0,0,3,3,0,9,332,0,0,0,0,0,0,0,0,0,0,0,597,17,20,0,3,4,3,3,0,11,662,193,5,0,0,0,0,0,0,0,0,200,132,0,0,3,0,0,0,0,0,5,147,15,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,151,0,4,3,0,0,0,0,0,5,163,0,0,0,0,0,0,0,0,0,0,0,340,5,4,3,0,0,3,0,0,6,371,104,0,3,0,0,0,0,0,0,0,113,62,0,3,0,0,0,0,0,0,0,61,16,0,3,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,79,3,6,0,0,0,0,0,0,0,89,0,0,0,0,0,0
POA2911,3,3,3,0,0,0,73,4,3,10,3,3,0,0,4,3,5,35,0,0,0,0,0,0,0,0,0,0,0,52,14,12,3,6,3,0,0,6,5,107,0,0,0,0,0,0,0,0,0,0,0,74,14,14,3,6,7,0,0,6,5,135,13,0,0,0,0,0,0,0,0,0,16,19,0,3,0,3,0,0,0,0,0,20,4,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,26,0,4,0,3,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,41,3,4,0,3,0,0,0,0,4,58,10,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,8,5,3,0,0,0,0,0,0,3,22,0,0,0,0,0,0
POA2912,3,0,0,0,0,3,115,25,6,11,6,4,6,4,5,9,10,90,0,0,0,0,0,0,0,0,0,0,0,106,20,16,11,5,6,3,10,9,11,197,0,0,0,0,0,0,0,0,0,0,0,151,23,15,11,5,6,3,10,9,11,245,37,0,0,0,0,0,0,0,0,0,39,33,7,6,0,0,0,0,0,0,3,43,12,0,4,0,0,3,0,0,0,11,35,0,0,0,0,0,0,0,0,0,0,0,44,7,7,4,0,3,0,0,0,12,76,0,0,0,0,0,0,0,0,0,0,0,82,7,8,4,0,3,0,0,0,13,114,10,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,14,13,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0
POA2913,0,0,0,3,0,5,645,86,16,20,9,8,7,24,9,10,21,196,5,0,0,0,0,0,0,0,0,0,7,637,67,50,7,8,5,23,13,7,24,846,0,0,0,0,0,0,0,0,0,0,3,962,93,65,11,12,11,23,18,7,38,1239,284,3,3,0,0,0,0,0,0,0,294,251,6,17,0,0,0,0,5,0,12,285,62,10,16,4,7,3,14,3,8,3,128,0,0,0,0,0,0,0,0,0,0,0,311,15,30,4,7,3,17,13,8,18,416,0,0,0,0,0,0,0,0,0,0,3,596,20,36,4,3,3,17,13,5,16,711,126,3,0,0,0,0,0,0,0,3,130,96,0,3,0,0,0,0,0,0,0,108,46,0,3,3,5,0,3,0,0,3,62,3,0,0,0,0,0,0,0,0,0,3,143,0,10,3,3,0,3,0,0,4,168,0,0,0,0,0,0
POA2914,3,3,3,0,3,10,321,30,16,29,5,11,9,15,17,3,20,150,0,0,0,0,0,0,0,0,0,0,3,266,57,55,5,11,9,13,17,6,31,477,0,0,0,0,0,0,0,0,0,0,0,407,65,64,4,16,12,20,17,6,33,647,103,0,3,0,0,0,0,3,0,0,110,106,6,12,0,0,4,6,0,0,0,142,27,4,14,7,4,6,4,0,0,7,70,0,0,0,0,0,0,0,0,0,0,0,133,13,26,5,5,7,11,3,0,10,210,0,0,0,0,0,0,0,0,0,0,0,232,12,31,8,5,7,11,6,0,10,323,37,0,0,0,0,0,0,0,0,0,38,37,0,3,0,0,0,0,0,0,0,43,17,0,0,3,0,3,5,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,54,0,3,0,0,3,4,0,0,3,77,0,0,0,0,0,0
