POA_CODE_2016,M_AgriForestFish_0,M_AgriForestFish_1_15,M_AgriForestFish_16_24,M_AgriForestFish_25_34,M_AgriForestFish_35_39,M_AgriForestFish_40,M_AgriForestFish_41_48,M_AgriForestFish_49over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_15,M_Min_16_24,M_Min_25_34,M_Min_35_39,M_Min_40,M_Min_41_48,M_Min_49over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_15,M_Mnfg_16_24,M_Mnfg_25_34,M_Mnfg_35_39,M_Mnfg_40,M_Mnfg_41_48,M_Mnfg_49over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_15,M_EGW_WS_16_24,M_EGW_WS_25_34,M_EGW_WS_35_39,M_EGW_WS_40,M_EGW_WS_41_48,M_EGW_WS_49over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_15,M_Cnstn_16_24,M_Cnstn_25_34,M_Cnstn_35_39,M_Cnstn_40,M_Cnstn_41_48,M_Cnstn_49over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_15,M_WTrade_16_24,M_WTrade_25_34,M_WTrade_35_39,M_WTrade_40,M_WTrade_41_48,M_WTrade_49over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_15,M_RTrade_16_24,M_RTrade_25_34,M_RTrade_35_39,M_RTrade_40,M_RTrade_41_48,M_RTrade_49over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_15,M_AccomFoodS_16_24,M_AccomFoodS_25_34,M_AccomFoodS_35_39,M_AccomFoodS_40,M_AccomFoodS_41_48,M_AccomFoodS_49over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_15,M_TransPostWhse_16_24,M_TransPostWhse_25_34,M_TransPostWhse_35_39,M_TransPostWhse_40,M_TransPostWhse_41_48,M_TransPostWhse_49over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_15,M_InfoMedTelecom_16_24,M_InfoMedTelecom_25_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40,M_InfoMedTelecom_41_48,M_InfoMedTelecom_49over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_15,M_FinInsurS_16_24,M_FinInsurS_25_34,M_FinInsurS_35_39,M_FinInsurS_40,M_FinInsurS_41_48,M_FinInsurS_49over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_15,M_RentHirREserv_16_24,M_RentHirREserv_25_34,M_RentHirREserv_35_39,M_RentHirREserv_40,M_RentHirREserv_41_48,M_RentHirREserv_49over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_15,M_ProScieTechServ_16_24,M_ProScieTechServ_25_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40,M_ProScieTechServ_41_48,M_ProScieTechServ_49over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_15,M_AdminSupServ_16_24,M_AdminSupServ_25_34,M_AdminSupServ_35_39,M_AdminSupServ_40,M_AdminSupServ_41_48,M_AdminSupServ_49over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_15,M_PubAdmiSafety_16_24,M_PubAdmiSafety_25_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40,M_PubAdmiSafety_41_48,M_PubAdmiSafety_49over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_15,M_EducTrain_16_24,M_EducTrain_25_34,M_EducTrain_35_39,M_EducTrain_40,M_EducTrain_41_48,M_EducTrain_49over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_15,M_HealthCareSocA_16_24,M_HealthCareSocA_25_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40,M_HealthCareSocA_41_48,M_HealthCareSocA_49over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_15,M_ArtRecServ_16_24,M_ArtRecServ_25_34,M_ArtRecServ_35_39,M_ArtRecServ_40,M_ArtRecServ_41_48,M_ArtRecServ_49over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_15,M_OthServ_16_24,M_OthServ_25_34,M_OthServ_35_39,M_OthServ_40,M_OthServ_41_48,M_OthServ_49over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot
POA2612,0,3,0,0,0,0,0,5,0,14,0,0,0,0,0,0,0,0,0,3,0,4,3,3,6,20,8,16,0,57,0,4,0,0,6,9,4,0,0,24,3,0,11,9,8,38,23,43,0,146,0,0,3,7,4,15,7,8,0,36,8,52,33,24,27,17,23,30,4,207,16,72,68,35,48,34,22,51,9,356,0,7,3,7,13,11,20,12,0,74,3,7,11,0,21,23,12,12,0,88,0,3,0,10,5,18,7,11,0,58,3,3,3,4,13,10,7,17,0,63,9,32,28,35,104,165,96,147,4,614,3,21,23,12,14,20,9,15,5,115,57,60,43,90,543,549,342,880,34,2584,5,79,26,21,75,82,33,92,8,431,8,12,15,14,39,21,12,21,0,135,5,9,9,13,10,6,3,12,0,64,0,10,11,7,11,16,16,12,0,87,3,14,12,8,20,9,7,13,34,120
POA2614,0,4,4,7,0,8,3,3,0,34,0,0,0,0,0,0,3,0,0,3,0,11,10,3,24,23,16,19,0,96,0,3,3,0,10,3,3,4,0,26,11,19,12,24,43,116,54,95,7,376,0,0,5,3,11,9,11,12,0,51,5,57,32,34,51,46,28,30,0,280,10,61,55,37,45,36,18,33,0,298,3,12,11,13,25,34,24,33,0,158,4,7,4,8,19,26,17,11,0,96,0,4,0,6,14,14,7,4,0,55,0,7,4,7,4,18,10,19,0,60,10,24,23,29,127,173,82,96,3,571,3,33,17,16,25,17,13,18,0,132,51,33,40,70,402,338,200,183,11,1330,20,64,31,40,87,79,59,108,0,486,5,35,23,28,53,35,16,32,8,235,3,28,11,8,12,23,9,15,0,105,4,16,12,14,23,26,14,18,0,120,11,16,17,8,21,22,5,20,31,146
POA2615,3,7,0,4,10,10,4,6,0,48,0,0,3,0,0,3,0,3,0,11,3,12,9,6,71,62,43,58,3,272,3,0,3,7,56,43,19,32,0,161,33,49,46,79,200,533,227,391,23,1573,3,14,6,3,45,48,29,42,5,193,25,124,91,96,178,117,110,111,5,854,25,183,94,60,114,54,41,75,6,655,24,26,29,47,110,112,58,100,0,509,6,16,6,6,53,67,27,38,0,219,4,5,3,6,58,38,18,19,0,159,0,8,3,4,24,24,18,26,4,117,26,39,29,50,255,309,130,181,4,1026,11,42,38,40,81,60,38,39,4,350,110,45,65,121,984,767,438,318,21,2876,19,78,43,59,215,121,72,128,4,737,16,44,59,55,155,73,35,48,7,501,4,39,17,22,41,30,26,31,3,201,7,19,18,29,87,93,60,84,3,393,13,25,16,15,63,75,34,44,71,357
POA2617,0,9,4,3,5,3,3,9,0,38,0,0,0,0,3,0,0,3,0,5,4,5,10,8,38,41,28,28,3,163,0,3,0,3,29,29,10,10,0,79,11,33,29,52,121,279,128,217,5,878,4,11,3,8,23,21,11,16,0,106,26,142,106,85,136,75,53,79,15,716,21,183,152,71,109,79,46,85,21,769,17,16,21,23,38,53,45,38,3,256,0,6,4,11,56,64,24,19,0,186,3,9,6,3,48,27,27,19,0,146,7,9,6,11,27,31,13,17,0,110,11,41,27,53,255,341,127,172,11,1042,6,34,33,24,42,49,19,19,5,242,94,41,63,94,717,609,301,296,15,2227,29,104,38,39,179,133,54,105,9,692,9,47,65,54,91,61,23,45,5,405,3,31,14,14,41,26,17,19,3,172,3,23,17,22,48,53,20,38,3,223,3,26,17,16,33,43,28,35,55,250
POA2618,0,3,6,0,3,9,0,7,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,5,0,8,13,36,12,40,4,112,0,0,0,0,0,0,0,0,0,8,0,6,3,0,3,3,0,0,0,22,0,5,0,3,0,5,0,3,0,20,0,0,0,7,0,0,4,5,0,16,0,0,0,0,3,0,0,4,0,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,5,4,0,0,3,0,10,7,15,0,43,0,0,0,0,3,3,0,0,0,6,8,3,0,0,9,12,8,5,0,43,0,0,3,0,4,3,0,5,0,10,0,0,0,0,0,8,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,4,3,0,0,3,0,13,0,0,4,0,0,3,0,3,5,20
POA2900,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,3,0,9,0,0,0,0,3,0,0,0,0,5,0,3,3,6,6,15,7,7,0,48,0,0,0,0,0,0,3,3,0,4,0,5,5,3,5,5,3,8,0,36,0,3,8,4,6,3,0,3,0,34,0,0,0,0,0,3,0,3,0,17,0,3,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,5,0,0,0,6,5,0,0,9,8,57,6,5,0,93,0,3,0,3,0,5,0,3,0,20,9,0,0,5,60,80,30,15,0,200,0,0,3,3,0,4,3,3,0,19,0,7,0,3,3,7,3,0,0,23,0,0,0,0,0,0,4,0,0,7,0,3,0,4,0,0,0,0,0,11,0,0,0,0,4,5,0,0,5,13
POA2902,0,0,3,0,6,3,0,3,0,15,0,0,0,0,0,0,0,4,0,3,5,8,5,10,21,31,13,23,0,115,0,0,0,0,5,17,7,8,0,44,14,13,17,27,60,143,57,116,7,450,0,7,3,0,17,21,9,8,0,73,9,38,27,27,54,24,22,37,0,241,4,58,20,26,28,21,11,28,0,201,3,6,11,12,23,36,34,37,0,171,0,5,5,3,19,20,11,6,3,77,0,3,0,0,12,9,13,11,0,41,0,0,0,0,7,10,3,8,0,35,9,24,13,16,59,92,43,54,3,318,4,17,10,15,19,17,5,17,0,106,39,20,24,58,303,278,149,130,8,1018,3,31,23,23,52,38,21,32,0,219,12,17,21,29,56,29,20,21,0,192,0,16,3,3,10,15,3,5,0,56,3,7,5,16,21,35,18,32,0,141,0,11,10,11,21,30,7,14,22,126
POA2903,0,0,0,3,4,0,0,0,0,9,0,0,0,0,0,0,3,0,0,5,3,3,4,0,12,11,18,9,0,69,0,0,0,0,5,10,0,5,0,25,3,9,13,16,33,83,41,63,7,284,0,0,0,0,10,12,3,10,0,34,3,46,17,17,31,26,17,30,7,188,0,34,21,14,8,16,0,21,4,122,8,8,5,10,22,17,9,22,0,104,3,3,0,0,4,8,3,0,0,33,0,0,0,0,0,10,3,4,0,22,0,0,0,0,0,9,4,7,0,23,5,18,14,16,40,72,34,29,0,223,3,14,6,7,15,9,3,4,0,62,25,17,15,27,199,178,114,89,0,666,3,17,4,11,29,22,12,29,0,133,8,14,9,19,36,14,8,6,3,110,0,15,3,3,13,3,0,7,0,43,0,5,5,4,15,15,8,17,0,74,4,9,3,7,14,22,3,15,20,99
POA2904,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,3,0,7,3,4,4,3,11,25,23,19,0,96,0,0,0,3,12,15,7,3,0,47,12,15,14,21,33,155,62,114,3,433,3,0,0,3,6,20,12,16,0,68,11,51,22,18,35,28,23,24,3,208,8,76,19,20,22,20,17,29,3,207,4,9,3,13,28,31,17,36,0,137,0,0,6,3,18,15,11,13,0,60,0,0,0,0,8,13,10,14,0,48,0,3,3,3,3,11,10,13,0,40,8,19,6,11,46,91,37,70,0,296,3,10,11,8,12,15,6,17,0,89,42,17,25,38,298,294,164,120,10,1018,3,35,15,16,39,43,12,34,0,188,6,9,13,17,47,35,21,14,0,157,0,13,4,7,6,6,6,3,0,52,0,8,12,5,21,18,14,21,0,112,6,9,7,10,13,24,9,16,16,101
POA2905,3,0,0,0,3,0,0,4,0,18,0,0,0,0,0,0,0,9,0,15,4,16,4,13,60,86,47,75,4,312,4,3,0,0,34,37,18,22,0,126,33,27,34,76,189,420,197,322,21,1326,0,8,0,14,33,47,33,34,0,169,18,126,44,60,131,79,80,87,4,624,9,124,56,54,66,47,28,52,6,432,17,22,14,45,79,94,71,111,9,459,6,6,8,9,37,38,13,17,0,130,3,3,0,6,12,16,5,12,0,63,0,6,3,9,25,25,12,15,0,96,13,15,24,17,110,199,89,81,3,554,10,21,18,25,52,46,10,28,5,215,90,32,50,74,693,567,315,234,10,2070,10,37,22,21,85,59,27,65,3,326,13,20,35,32,84,54,21,25,6,300,3,22,3,7,30,19,4,14,4,102,3,19,8,14,64,83,43,65,0,303,8,20,11,13,42,65,31,46,73,312
POA2906,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,4,0,3,0,12,0,4,4,3,42,61,28,29,0,169,3,0,0,0,22,19,14,16,0,71,13,18,17,37,98,244,109,140,10,689,0,7,3,0,18,24,19,18,0,100,8,76,41,38,76,63,37,57,3,394,6,96,32,33,29,36,16,34,3,288,10,13,12,16,48,50,38,71,3,258,4,0,4,3,15,19,15,15,0,71,4,5,0,3,12,5,11,9,0,42,0,3,0,0,6,13,6,13,0,46,6,10,13,18,79,112,60,57,3,354,5,12,16,19,22,30,7,17,0,125,50,19,29,35,470,385,229,168,3,1388,3,23,4,11,56,27,18,14,3,147,7,12,18,27,52,34,18,30,0,202,0,23,12,3,12,10,5,9,0,71,3,14,3,6,33,25,38,41,3,167,8,12,7,7,31,40,13,31,48,195
