POA_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
POA2612,0,0,9,0,0,0,0,0,0,10,223,347,1430,2014,534,448,246,91,59,5398,0,0,3,13,0,0,0,0,0,25,0,0,0,5,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,5,14,5,5,0,0,0,29,0,0,3,8,0,0,3,0,0,18,0,4,138,115,14,13,5,3,4,304,0,0,0,3,4,0,4,6,0,22,0,0,0,0,0,0,0,0,0,8,0,8,45,78,50,47,33,23,5,296,0,0,3,7,0,3,0,0,0,22,0,4,0,14,6,4,0,0,0,27,0,0,3,13,6,6,4,0,3,38,0,0,3,4,0,0,4,0,3,16,0,0,12,26,0,3,3,0,0,42,0,8,33,90,8,14,0,0,0,153,0,5,11,12,3,0,0,0,0,38,0,5,0,26,4,3,0,0,0,35,0,0,0,3,0,0,0,0,0,4
POA2614,0,0,7,10,0,0,0,0,0,17,554,1054,879,1649,866,621,558,302,108,6582,0,3,3,20,4,3,0,0,0,31,0,0,0,0,0,0,0,0,0,8,0,0,3,4,3,0,0,0,0,18,0,0,3,10,7,0,3,0,0,24,0,0,0,4,3,0,4,0,0,8,6,4,89,82,24,19,6,3,9,238,0,0,0,0,7,8,8,9,0,29,0,0,0,6,0,0,3,0,0,11,0,12,16,44,58,64,87,66,25,380,0,3,0,9,8,3,0,3,0,21,0,3,0,8,6,0,0,0,0,21,0,4,0,9,12,6,24,14,5,63,0,0,0,0,0,6,9,7,5,37,0,0,8,11,4,4,0,3,0,31,10,4,16,118,20,9,14,3,0,199,0,10,4,12,3,0,0,4,0,34,0,0,0,8,0,3,0,0,0,18,0,0,3,8,0,0,0,0,0,14
POA2615,0,5,11,19,16,3,4,0,0,56,1704,2860,2124,4816,1794,1421,1094,318,68,16191,0,3,3,36,11,5,0,4,0,60,0,0,0,11,4,3,0,5,0,30,0,0,3,11,9,3,0,0,0,31,0,5,0,13,10,3,4,0,0,45,0,3,4,18,14,16,11,3,0,65,4,6,90,106,28,19,18,7,0,286,0,0,0,3,8,8,15,19,0,54,3,0,3,7,3,3,4,3,0,23,0,19,22,125,125,137,158,69,14,668,0,5,5,28,11,3,3,3,0,61,0,0,0,8,5,3,4,0,0,20,0,0,3,16,12,19,55,15,8,120,0,4,0,6,0,11,21,20,3,65,0,0,4,23,11,11,0,4,0,49,0,17,22,229,40,13,8,12,3,339,0,3,3,15,5,4,3,3,0,43,0,3,0,11,0,0,0,0,0,17,0,7,10,13,5,3,0,0,0,33
POA2617,0,0,3,10,0,4,0,0,0,15,911,1299,1852,3135,1023,985,671,209,78,10151,0,8,9,42,4,0,0,0,0,62,0,0,0,9,3,8,0,3,0,25,0,0,3,10,0,0,0,0,0,17,3,3,0,20,11,3,3,0,0,44,0,0,0,11,3,6,10,0,0,34,6,7,536,375,48,51,30,5,3,1062,0,0,0,7,8,10,25,20,0,68,0,0,0,3,0,3,3,0,0,13,0,17,29,68,72,93,80,27,16,407,0,0,0,16,8,6,0,3,0,27,0,0,5,11,4,0,3,0,0,20,0,0,3,14,11,7,30,4,0,66,0,0,3,0,3,9,19,15,5,59,0,4,23,43,11,15,6,4,0,108,17,13,44,336,35,29,17,10,0,492,3,17,7,40,10,3,0,3,0,84,0,4,3,43,6,3,0,0,0,59,0,3,0,10,3,3,0,0,0,21
POA2618,0,0,0,0,0,0,0,0,0,0,33,92,88,107,93,68,67,22,0,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,10,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2900,0,0,0,0,0,0,0,0,0,0,52,33,95,170,46,61,42,21,7,537,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,7,0,3,0,10,10,4,9,3,0,43,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,7,10,10,3,115,3,3,0,0,0,136,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
POA2902,0,0,0,0,0,0,0,0,0,3,491,902,740,1431,696,640,569,121,27,5604,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,0,15,0,0,0,4,4,0,3,0,0,14,0,0,11,12,4,6,3,3,0,40,0,0,0,3,3,3,7,7,0,23,0,0,0,0,0,3,0,0,0,4,0,7,3,34,64,63,65,34,11,283,0,0,0,4,0,0,0,0,0,6,0,0,0,3,3,0,0,0,0,7,0,0,0,0,10,0,17,7,0,40,0,0,0,0,0,5,6,0,0,15,0,0,0,7,0,5,3,0,0,16,7,8,5,48,13,4,0,0,0,89,0,3,5,3,0,3,0,0,0,9,0,3,5,0,0,0,0,3,0,12,0,5,0,8,0,0,0,0,0,17
POA2903,0,0,0,0,0,0,0,0,0,0,306,560,484,881,417,454,272,73,6,3451,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,14,10,0,3,0,0,0,33,0,0,0,0,4,0,7,4,0,11,0,3,0,3,3,0,0,0,0,7,0,4,0,22,32,30,51,18,6,163,0,0,0,3,3,4,0,0,0,10,0,0,0,4,0,0,0,0,0,5,0,0,0,3,0,4,7,3,0,25,0,0,0,0,4,0,4,3,0,9,0,0,0,3,4,3,0,0,0,10,4,8,4,46,10,8,3,3,4,80,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3
POA2904,0,4,0,6,0,0,0,0,0,10,387,661,733,1120,566,664,343,98,44,4619,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,3,7,9,9,12,0,0,39,0,0,0,0,3,3,5,8,0,14,0,0,0,0,0,0,0,0,0,3,0,8,12,25,67,66,41,29,7,257,0,0,3,0,3,3,0,0,0,6,0,3,4,4,0,3,0,0,0,15,0,0,0,3,5,8,24,3,0,47,0,0,0,0,3,3,3,0,0,10,0,0,0,7,0,6,0,0,0,11,0,8,8,47,16,18,7,0,0,107,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,5,0,0,0,0,0,16
POA2905,0,0,0,0,0,0,0,0,0,0,941,1750,1852,3099,1391,1262,443,163,56,10953,0,0,0,3,3,4,0,0,0,14,0,0,0,0,3,3,0,3,0,18,0,0,0,0,0,3,3,0,0,10,0,3,0,12,4,0,3,0,0,22,0,0,0,4,0,3,6,0,0,20,0,0,15,24,13,11,9,3,0,64,0,0,0,0,13,14,10,8,4,45,0,0,0,0,5,0,3,0,0,6,0,21,15,51,90,122,58,46,5,397,0,0,3,13,7,9,0,0,0,29,0,0,0,3,0,0,0,0,0,3,0,0,0,5,7,7,20,9,0,52,0,0,0,0,0,4,5,3,0,18,0,0,0,13,3,7,0,0,0,29,11,23,28,153,35,16,8,4,0,268,0,0,0,5,3,3,0,0,0,10,0,0,0,3,3,0,4,0,0,7,0,3,3,10,4,5,0,0,0,30
POA2906,0,0,0,3,0,0,0,0,0,9,614,1120,1212,1731,989,581,222,104,24,6600,0,0,3,5,0,8,3,0,0,18,0,0,0,0,3,0,4,0,0,8,0,0,0,0,0,3,0,0,0,8,0,0,0,7,0,3,3,0,0,16,0,0,0,3,3,4,3,0,0,15,0,0,9,8,4,4,3,0,0,28,0,0,0,6,6,3,9,5,0,30,0,0,0,3,4,0,0,3,0,9,0,8,9,32,88,70,51,19,5,290,0,0,0,11,4,4,0,0,0,21,0,0,0,0,3,0,0,0,0,3,0,0,0,3,6,7,15,8,3,39,0,0,0,0,5,5,3,0,0,12,0,0,0,6,6,4,3,0,0,20,0,5,6,74,13,7,6,3,0,123,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,11,0,0,0,8,0,5,0,0,0,19
POA2911,0,0,0,4,0,4,0,0,0,9,265,217,142,499,84,43,30,9,4,1290,0,3,4,22,6,8,4,0,0,39,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,4,3,41,116,22,10,3,0,0,203,0,0,0,0,7,3,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,5,17,10,0,4,0,0,41,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,22,0,7,3,115,17,4,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
POA2912,0,0,0,3,0,0,0,0,0,4,211,275,292,510,179,83,28,15,3,1596,0,0,0,11,0,4,0,0,0,18,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,5,96,90,20,31,6,0,0,249,0,0,0,0,3,4,0,0,0,13,0,0,0,3,0,0,0,0,0,5,0,0,0,21,17,5,3,7,0,55,0,0,0,0,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,11,3,4,0,0,0,20,6,14,13,123,11,10,6,0,0,184,0,0,0,3,0,0,0,0,0,3,0,5,3,8,5,3,0,0,0,20,0,0,3,0,0,3,0,0,0,15
