POA_CODE_2016,A0_14_SEO_B00,A0_14_SEO_00_05,A0_14_SEO_06_10,A0_14_SEO_11,A0_14_SEO_12,A0_14_SEO_13,A0_14_SEO_14,A0_14_SEO_15,A0_14_SEO_16,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_SOLSE_VWW_B00,A0_14_SOLSE_VWW_00_05,A0_14_SOLSE_VWW_06_10,A0_14_SOLSE_VWW_11,A0_14_SOLSE_VWW_12,A0_14_SOLSE_VWW_13,A0_14_SOLSE_VWW_14,A0_14_SOLSE_VWW_15,A0_14_SOLSE_VWW_16,A0_14_SOLSE_VWW_YNS,A0_14_SOLSE_VWW_T,A0_14_SOLSE_NWNAA_B00,A0_14_SOLSE_NWNAA_00_05,A0_14_SOLSE_NWNAA_06_10,A0_14_SOLSE_NWNAA_11,A0_14_SOLSE_NWNAA_12,A0_14_SOLSE_NWNAA_13,A0_14_SOLSE_NWNAA_14,A0_14_SOLSE_NWNAA_15,A0_14_SOLSE_NWNAA_16,A0_14_SOLSE_NWNAA_YNS,A0_14_SOLSE_NWNAA_T,A0_14_SOLSE_PinE_NS_B00,A0_14_SOLSE_PinE_NS_00_05,A0_14_SOLSE_PinE_NS_06_10,A0_14_SOLSE_PinE_NS_11,A0_14_SOLSE_PinE_NS_12,A0_14_SOLSE_PinE_NS_13,A0_14_SOLSE_PinE_NS_14,A0_14_SOLSE_PinE_NS_15,A0_14_SOLSE_PinE_NS_16,A0_14_SOLSE_PinE_NS_YNS,A0_14_SOLSE_PinE_NS_T,A0_14_SOLSE_T_B00,A0_14_SOLSE_T_00_05,A0_14_SOLSE_T_06_10,A0_14_SOLSE_T_11,A0_14_SOLSE_T_12,A0_14_SOLSE_T_13,A0_14_SOLSE_T_14,A0_14_SOLSE_T_15,A0_14_SOLSE_T_16,A0_14_SOLSE_T_YNS,A0_14_SOLSE_T_T,A0_14_L_PinE_NS_B00,A0_14_L_PinE_NS_00_05,A0_14_L_PinE_NS_06_10,A0_14_L_PinE_NS_11,A0_14_L_PinE_NS_12,A0_14_L_PinE_NS_13,A0_14_L_PinE_NS_14,A0_14_L_PinE_NS_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B00,A0_14_T_00_05,A0_14_T_06_10,A0_14_T_11,A0_14_T_12,A0_14_T_13,A0_14_T_14,A0_14_T_15,A0_14_T_16,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B00,A15_24_SEO_00_05,A15_24_SEO_06_10,A15_24_SEO_11,A15_24_SEO_12,A15_24_SEO_13,A15_24_SEO_14,A15_24_SEO_15,A15_24_SEO_16,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_SOLSE_VWW_B00,A15_24_SOLSE_VWW_00_05,A15_24_SOLSE_VWW_06_10,A15_24_SOLSE_VWW_11,A15_24_SOLSE_VWW_12,A15_24_SOLSE_VWW_13,A15_24_SOLSE_VWW_14,A15_24_SOLSE_VWW_15,A15_24_SOLSE_VWW_16,A15_24_SOLSE_VWW_YNS,A15_24_SOLSE_VWW_T,A15_24_SOLSE_NWNAA_B00,A15_24_SOLSE_NWNAA_00_05,A15_24_SOLSE_NWNAA_06_10,A15_24_SOLSE_NWNAA_11,A15_24_SOLSE_NWNAA_12,A15_24_SOLSE_NWNAA_13,A15_24_SOLSE_NWNAA_14,A15_24_SOLSE_NWNAA_15,A15_24_SOLSE_NWNAA_16,A15_24_SOLSE_NWNAA_YNS,A15_24_SOLSE_NWNAA_T,A15_24_SOLSE_PinE_NS_B00,A15_24_SOLSE_PinE_NS_00_05,A15_24_SOLSE_PinE_NS_06_10,A15_24_SOLSE_PinE_NS_11,A15_24_SOLSE_PinE_NS_12,A15_24_SOLSE_PinE_NS_13,A15_24_SOLSE_PinE_NS_14,A15_24_SOLSE_PinE_NS_15,A15_24_SOLSE_PinE_NS_16,A15_24_SOLSE_PinE_NS_YNS,A15_24_SOLSE_PinE_NS_T,A15_24_SOLSE_T_B00,A15_24_SOLSE_T_00_05,A15_24_SOLSE_T_06_10,A15_24_SOLSE_T_11,A15_24_SOLSE_T_12,A15_24_SOLSE_T_13,A15_24_SOLSE_T_14,A15_24_SOLSE_T_15,A15_24_SOLSE_T_16,A15_24_SOLSE_T_YNS,A15_24_SOLSE_T_T,A15_24_L_PinE_NS_B00,A15_24_L_PinE_NS_00_05,A15_24_L_PinE_NS_06_10,A15_24_L_PinE_NS_11,A15_24_L_PinE_NS_12,A15_24_L_PinE_NS_13,A15_24_L_PinE_NS_14,A15_24_L_PinE_NS_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B00,A15_24_T_00_05,A15_24_T_06_10,A15_24_T_11,A15_24_T_12,A15_24_T_13,A15_24_T_14,A15_24_T_15,A15_24_T_16,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B00,A25_34_SEO_00_05,A25_34_SEO_06_10,A25_34_SEO_11,A25_34_SEO_12,A25_34_SEO_13,A25_34_SEO_14,A25_34_SEO_15,A25_34_SEO_16,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_SOLSE_VWW_B00,A25_34_SOLSE_VWW_00_05,A25_34_SOLSE_VWW_06_10,A25_34_SOLSE_VWW_11,A25_34_SOLSE_VWW_12,A25_34_SOLSE_VWW_13,A25_34_SOLSE_VWW_14,A25_34_SOLSE_VWW_15,A25_34_SOLSE_VWW_16,A25_34_SOLSE_VWW_YNS,A25_34_SOLSE_VWW_T,A25_34_SOLSE_NWNAA_B00,A25_34_SOLSE_NWNAA_00_05,A25_34_SOLSE_NWNAA_06_10,A25_34_SOLSE_NWNAA_11,A25_34_SOLSE_NWNAA_12,A25_34_SOLSE_NWNAA_13,A25_34_SOLSE_NWNAA_14,A25_34_SOLSE_NWNAA_15,A25_34_SOLSE_NWNAA_16,A25_34_SOLSE_NWNAA_YNS,A25_34_SOLSE_NWNAA_T,A25_34_SOLSE_PinE_NS_B00,A25_34_SOLSE_PinE_NS_00_05,A25_34_SOLSE_PinE_NS_06_10,A25_34_SOLSE_PinE_NS_11,A25_34_SOLSE_PinE_NS_12,A25_34_SOLSE_PinE_NS_13,A25_34_SOLSE_PinE_NS_14,A25_34_SOLSE_PinE_NS_15,A25_34_SOLSE_PinE_NS_16,A25_34_SOLSE_PinE_NS_YNS,A25_34_SOLSE_PinE_NS_T,A25_34_SOLSE_T_B00,A25_34_SOLSE_T_00_05
POA2612,..,16,23,7,13,3,9,17,3,0,90,..,0,15,3,4,15,8,18,11,3,79,..,0,0,0,0,0,3,11,13,0,26,..,0,0,0,0,0,0,0,0,0,0,..,0,17,3,4,15,12,27,19,3,105,..,0,0,0,0,0,0,0,0,0,0,..,19,34,13,19,21,18,45,24,4,199,108,83,57,5,11,4,10,15,18,6,311,26,61,65,31,32,62,106,168,124,28,718,0,4,0,0,0,4,12,10,21,10,61,0,0,0,0,0,0,0,0,0,0,3,26,70,71,30,34,70,121,178,147,34,784,0,0,0,0,0,0,0,0,0,0,0,131,149,124,37,42,70,134,195,166,46,1090,188,53,60,12,21,29,29,31,23,13,452,106,75,177,46,55,91,116,155,78,21,923,0,5,5,3,4,6,9,16,17,5,70,0,3,0,0,0,0,0,0,0,0,3,106,84
POA2614,..,8,50,20,11,6,7,13,7,5,144,..,4,34,16,21,18,33,26,10,3,180,..,0,0,0,0,3,11,7,18,4,47,..,0,0,0,0,0,0,0,0,0,0,..,4,40,16,23,27,47,39,31,6,236,..,0,0,0,0,0,0,0,0,0,0,..,12,90,39,34,29,52,52,41,17,373,27,40,23,3,0,3,3,5,0,5,118,15,29,35,25,21,43,35,63,54,21,346,0,0,3,0,0,0,7,8,14,3,45,0,0,0,0,0,0,0,0,0,0,0,15,28,42,25,17,46,43,78,68,24,385,0,0,0,0,0,0,0,0,0,0,0,38,67,63,25,17,53,45,81,76,29,501,88,6,16,16,10,9,6,9,7,8,177,35,65,176,51,46,65,68,61,43,15,623,0,0,14,0,3,4,6,13,3,7,55,0,0,0,0,0,0,0,0,0,0,3,35,63
POA2615,..,24,53,23,26,21,14,9,9,10,190,..,19,123,25,24,46,32,17,13,0,302,..,0,3,3,0,3,3,8,16,3,44,..,0,0,0,0,0,0,0,0,0,0,..,19,128,29,23,52,39,28,35,7,352,..,0,0,0,0,0,0,0,0,0,0,..,34,182,50,46,70,55,40,36,20,540,56,59,35,3,3,7,9,5,3,11,192,38,89,144,19,23,40,47,43,47,12,497,3,0,7,0,0,3,10,12,12,4,52,0,0,0,0,0,0,0,0,0,3,8,38,89,148,18,23,44,57,61,59,26,556,0,0,0,0,0,0,0,0,0,0,0,96,141,181,23,30,50,67,63,63,28,755,193,56,73,21,28,13,12,8,9,11,430,142,156,397,52,63,46,61,54,33,17,1022,3,0,28,3,7,4,3,3,4,9,66,4,0,3,0,0,0,0,0,0,0,10,143,151
POA2617,..,15,42,13,6,19,21,14,6,5,137,..,7,61,36,24,29,33,27,15,11,247,..,0,0,0,0,10,10,16,19,6,59,..,0,0,0,0,0,0,0,0,0,0,..,8,64,36,29,40,44,43,32,19,311,..,0,0,0,0,0,0,0,0,0,3,..,22,101,48,37,59,68,60,43,22,453,81,59,41,12,15,21,21,23,27,7,304,49,82,144,59,101,126,265,313,262,72,1483,0,6,3,3,6,18,52,66,63,18,234,0,0,0,0,0,0,0,0,3,0,4,57,84,145,62,107,140,318,383,325,92,1719,0,0,0,0,0,0,0,0,0,0,0,135,145,187,69,123,164,341,403,354,98,2022,160,51,74,36,30,24,37,26,19,13,464,178,213,535,125,138,190,228,219,146,32,1998,5,5,20,5,6,14,21,26,13,8,119,0,0,0,0,0,0,0,0,0,0,5,184,216
POA2618,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,5,0,3,0,0,0,0,0,0,0,13,3,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0
POA2900,..,3,3,0,0,0,7,0,4,0,13,..,0,3,0,9,3,5,5,0,0,34,..,0,0,0,0,0,3,0,0,0,4,..,0,0,0,0,0,0,0,0,0,0,..,0,4,0,9,5,14,5,8,0,42,..,0,0,0,0,0,0,0,0,0,0,..,3,8,0,9,5,14,12,5,0,60,4,5,3,0,0,0,0,0,0,0,14,0,0,5,0,3,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,5,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,4,8,6,0,3,0,5,0,3,0,30,18,3,7,0,0,0,3,3,3,0,37,9,15,49,14,19,30,23,19,13,4,197,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,9,15
POA2902,..,11,35,8,8,3,10,6,0,4,81,..,8,18,3,12,9,6,0,0,8,67,..,0,0,0,0,0,0,4,3,0,11,..,0,0,0,0,0,0,0,0,0,0,..,8,21,3,12,9,6,0,3,8,79,..,0,0,0,0,0,0,0,0,0,0,..,17,58,14,27,13,13,9,3,9,155,21,21,17,3,3,0,0,0,0,6,74,9,21,32,3,0,8,8,8,0,0,86,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,21,32,3,3,8,9,10,0,0,97,0,0,0,0,0,0,0,0,0,0,3,33,45,48,4,6,10,9,10,0,4,176,55,20,22,3,5,3,3,0,0,0,111,21,22,51,9,8,7,16,8,3,6,155,0,0,3,0,0,3,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,21,28
POA2903,..,10,11,4,6,0,3,0,0,3,49,..,3,20,7,13,14,0,0,3,0,60,..,0,0,0,0,0,3,0,0,0,3,..,0,0,0,0,0,0,0,0,0,3,..,3,27,7,13,11,3,0,3,0,65,..,0,0,0,0,0,0,0,0,0,0,..,12,35,13,21,14,8,3,3,0,110,13,15,9,0,0,0,0,0,0,0,44,9,12,35,10,0,5,3,7,0,0,79,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,9,12,35,10,0,5,4,8,3,0,85,0,0,0,0,0,0,0,0,0,0,0,18,22,47,10,0,5,4,12,5,4,126,38,12,3,3,3,0,3,4,0,3,79,20,13,37,3,13,5,8,5,0,0,115,0,3,0,3,0,0,0,3,0,0,11,0,0,0,0,0,4,0,0,0,0,3,20,18
POA2904,..,8,28,6,12,11,8,9,4,0,74,..,3,44,8,7,7,6,0,3,0,78,..,0,0,0,0,0,0,3,0,0,6,..,0,3,0,0,0,0,0,0,0,3,..,3,41,8,7,5,6,3,3,0,85,..,0,0,0,0,0,0,0,0,0,0,..,11,66,12,22,23,8,8,5,0,160,14,18,16,3,0,3,0,6,0,3,58,9,19,22,3,6,0,4,4,3,3,81,0,0,0,0,0,0,3,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,9,19,22,3,6,0,7,7,9,3,86,0,0,0,0,0,0,0,0,0,0,0,21,38,41,9,3,3,7,15,9,5,149,39,5,10,4,3,3,0,3,0,5,70,24,25,51,8,8,4,9,12,4,0,152,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,24,27
POA2905,..,19,17,12,20,8,11,12,7,7,103,..,15,84,20,21,11,13,14,0,3,184,..,0,0,0,0,0,0,0,3,0,15,..,0,0,0,3,0,0,0,0,0,3,..,15,84,20,26,13,12,18,6,8,205,..,0,0,0,0,0,0,0,0,0,0,..,31,95,31,48,22,26,33,16,12,309,25,26,15,3,4,5,3,3,3,3,100,13,33,58,19,10,16,13,12,8,0,191,0,0,0,0,0,0,7,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,13,36,58,19,14,18,21,19,11,0,203,0,0,0,0,0,0,0,0,0,0,0,41,62,77,24,20,19,20,18,14,6,306,117,15,28,11,6,4,8,9,3,6,205,72,50,150,29,29,25,22,23,11,6,422,3,3,8,4,3,0,3,0,0,3,24,0,0,0,0,0,0,0,0,0,0,6,78,53
POA2906,..,14,28,7,3,8,7,6,0,3,70,..,0,30,7,5,0,5,0,3,0,62,..,0,0,0,0,3,0,0,0,3,7,..,0,0,0,0,0,0,0,0,0,0,..,0,37,7,5,4,5,0,7,3,67,..,0,0,0,0,0,0,0,0,0,0,..,17,62,12,14,15,13,6,11,3,143,19,25,16,4,3,0,4,3,0,5,76,10,17,15,3,3,6,12,4,3,5,83,0,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,10,17,15,3,3,6,14,8,5,5,88,0,0,0,0,0,0,0,0,0,0,0,38,43,37,3,6,6,15,13,5,14,166,60,19,14,3,3,3,0,0,3,5,120,49,35,86,17,12,11,8,5,3,7,229,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,49,35
POA2911,..,7,11,3,3,0,4,3,0,5,35,..,9,30,12,9,3,3,3,0,0,63,..,0,0,0,0,0,0,3,0,3,7,..,0,0,0,0,0,0,0,0,0,0,..,9,28,15,9,6,4,7,0,3,71,..,0,0,0,0,0,0,0,0,0,3,..,13,39,19,10,8,4,12,0,6,114,11,10,3,5,0,4,0,0,0,3,42,9,23,29,7,9,17,17,16,10,8,135,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,23,31,7,9,17,14,22,10,6,146,0,0,0,0,0,0,0,0,0,0,0,19,33,35,8,9,17,14,23,10,9,182,53,11,19,7,6,3,3,4,3,0,109,43,106,165,23,15,12,17,16,10,0,406,0,0,4,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,39,106
POA2912,..,4,9,4,5,7,12,0,0,0,38,..,3,22,3,12,10,10,13,3,4,88,..,0,0,0,3,0,9,4,3,0,22,..,0,0,0,0,0,0,0,0,0,0,..,3,25,3,12,10,15,23,6,4,105,..,0,0,0,0,0,0,0,0,0,0,..,6,33,7,18,15,26,23,11,4,149,4,14,5,0,0,0,3,3,0,4,40,21,31,39,10,23,26,47,66,44,13,320,0,0,0,0,0,3,4,19,13,12,53,0,0,0,0,0,0,0,0,0,0,0,21,37,36,10,27,27,53,84,57,25,370,0,0,0,0,0,0,0,0,0,0,0,29,47,47,10,30,32,54,83,57,26,409,35,11,18,5,13,0,8,3,0,4,91,51,59,179,32,42,39,50,39,23,16,531,0,5,15,4,7,11,7,8,11,0,76,0,0,3,0,0,0,0,0,0,0,6,50,70
POA2913,..,33,72,27,28,24,24,24,13,12,246,..,34,138,37,38,63,49,32,7,18,414,..,0,0,0,5,10,12,24,18,9,77,..,0,0,0,0,0,0,3,3,0,7,..,34,138,37,40,71,62,57,28,25,499,..,0,0,0,0,0,0,0,0,0,0,..,65,211,72,67,97,85,82,38,32,747,60,89,57,18,10,12,9,9,6,7,275,41,137,165,43,50,56,61,113,77,34,770,0,0,3,3,10,3,8,24,15,7,77,0,0,0,0,0,0,0,0,0,0,0,41,144,164,50,60,57,70,136,93,42,847,0,3,0,0,0,0,0,0,0,0,3,99,231,222,66,65,70,79,144,98,51,1127,197,44,90,23,28,11,21,20,6,12,452,238,351,745,115,78,111,111,127,46,21,1934,0,12,55,14,12,11,19,25,8,7,161,0,0,0,0,0,0,0,0,0,0,3,238,361
POA2914,..,23,105,40,42,29,29,30,3,5,302,..,35,186,39,43,36,41,54,12,24,469,..,0,0,3,3,3,14,14,10,5,53,..,0,0,0,0,0,0,0,0,3,3,..,35,183,41,40,40,56,67,23,30,520,..,0,0,0,0,0,0,0,0,0,0,..,57,290,83,84,67,82,100,31,38,830,23,66,52,9,13,9,13,7,4,4,204,47,131,196,35,33,48,60,92,68,36,741,0,0,0,3,0,3,6,9,17,12,57,0,0,0,0,0,0,0,0,0,0,4,47,130,194,41,35,47,71,97,86,43,796,0,0,0,0,0,0,0,0,0,0,0,71,195,251,52,48,56,76,107,92,56,1001,128,33,61,18,16,22,20,7,3,3,319,165,288,669,99,75,67,90,59,27,23,1563,3,10,29,11,19,9,14,9,7,0,112,0,0,3,0,0,0,0,0,0,0,8,167,302
