POA_CODE_2016,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
POA2612,0,0,112,3,13,0,0,13,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,13,0,22,0,0,0,0,0,0,0,113,19,0,0,19,0,135,58,6,0,0,6,0,59,0,11,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,11,0,0,0,0,0,0,0,59,13,0,0,13,0,76,32,0,0,0,0,0,38,0,6,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,5,0,0,0,0,0,0,0,33,7,0,0,9,0,41,931,36,0,0,36,0,967,68,202,4,0,212,0,278,0,19,4,0,26,0,25,5,3,0,3,6,0,6,70,220,11,3,237,0,308,3,0,0,0,0,0,3,1003,257,11,3,272,0,1278
POA2614,12,0,311,8,40,0,0,44,0,55,0,7,0,0,4,0,4,0,0,0,0,0,0,0,8,47,3,0,49,0,62,0,0,0,0,0,0,0,316,60,3,0,65,0,376,133,3,0,0,3,0,133,11,22,0,0,22,0,35,0,0,0,0,3,0,3,0,0,0,0,0,0,0,11,24,0,0,29,0,37,0,0,0,0,0,0,0,139,30,0,0,29,0,169,74,3,0,0,3,0,80,3,19,0,0,19,0,19,0,0,0,0,4,0,4,0,0,0,0,0,0,0,3,20,0,0,17,0,23,0,0,0,0,0,0,0,74,20,0,0,24,0,97,2569,85,0,3,87,0,2656,124,585,18,3,600,0,727,0,55,15,0,67,0,67,0,5,0,0,6,0,6,124,641,31,4,675,0,801,0,0,0,0,0,0,0,2691,723,36,7,765,0,3461
POA2615,13,0,707,40,133,7,0,137,0,179,0,10,16,0,29,0,29,0,3,0,0,4,0,4,40,139,24,0,168,0,208,5,0,0,0,0,0,5,736,156,24,0,182,0,921,221,3,0,0,3,0,230,13,91,4,0,91,0,99,0,10,12,0,26,0,26,0,0,0,0,0,0,0,13,100,15,0,117,0,125,0,0,0,0,0,0,0,233,100,15,0,120,0,355,126,3,0,0,3,0,127,17,38,3,0,37,0,50,0,5,4,0,10,0,10,0,0,0,0,0,0,0,17,41,9,0,46,0,63,0,0,0,0,0,0,0,140,46,10,0,53,0,189,6437,213,3,0,216,6,6664,390,1397,48,6,1455,0,1842,3,93,91,0,189,0,196,5,9,0,6,16,0,21,402,1507,141,14,1655,0,2056,10,0,0,0,0,3,18,6853,1723,148,14,1883,7,8742
POA2617,17,0,363,19,81,6,0,90,0,103,0,9,5,0,11,0,11,0,0,0,0,0,0,0,19,85,15,0,101,0,119,0,0,0,0,0,0,0,363,100,15,0,116,0,482,139,3,0,0,3,0,143,3,44,5,0,47,0,55,0,7,5,0,9,0,9,4,0,0,0,0,0,4,3,46,8,0,55,0,65,0,0,0,0,0,0,0,144,56,8,0,64,0,210,95,0,0,0,0,0,92,5,18,3,0,25,0,28,0,5,8,0,11,0,11,0,0,0,0,0,0,0,5,29,6,0,37,0,39,0,0,0,0,0,0,0,96,27,6,0,39,0,130,2939,164,0,0,164,3,3109,217,1046,50,6,1104,3,1329,7,82,48,0,125,0,132,10,0,0,0,0,0,7,233,1126,94,11,1237,3,1466,5,3,0,0,3,7,18,3180,1290,94,12,1398,14,4591
POA2618,0,0,45,0,7,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,6,0,0,0,0,0,0,0,47,7,0,0,7,0,51,15,0,0,0,0,0,15,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,15,4,0,0,4,0,22,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,18,270,3,0,0,3,0,277,6,15,0,0,15,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,0,15,0,25,0,0,0,0,0,0,0,277,20,0,0,20,0,304
POA2900,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,3,0,12,6,0,0,0,0,0,8,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,6,5,0,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,78,4,95,0,0,98,0,102,0,0,0,0,0,0,0,0,3,0,0,3,0,4,10,95,0,0,96,0,107,0,0,0,0,0,0,0,78,98,0,0,103,0,184
POA2902,8,0,298,19,23,0,0,24,0,46,0,5,3,0,7,0,13,0,0,0,0,0,0,0,21,29,3,0,38,0,54,0,0,0,0,0,0,0,308,42,3,0,45,0,356,105,4,0,0,4,0,109,7,19,0,0,19,0,24,0,0,3,0,4,0,4,0,0,0,0,0,0,0,9,20,3,0,18,0,31,0,0,0,0,0,0,0,113,20,3,0,26,0,138,57,3,0,0,3,0,58,3,6,0,0,9,0,13,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,12,0,0,12,0,11,0,0,0,0,0,0,0,55,12,0,0,14,0,72,2225,71,0,0,71,0,2298,138,250,7,0,261,0,397,6,24,18,0,37,0,40,3,0,0,0,0,0,3,139,271,23,0,299,0,444,0,0,0,0,0,3,3,2362,345,23,0,376,3,2736
POA2903,3,0,150,9,36,0,0,36,0,48,0,0,0,0,3,0,3,0,0,0,0,0,0,0,9,39,0,0,36,0,48,0,0,0,0,0,0,0,157,41,0,0,44,0,197,69,0,0,0,0,0,72,0,24,0,0,24,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,21,0,25,0,0,0,0,0,0,0,74,26,0,0,26,0,95,33,0,0,0,0,0,34,0,13,3,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,9,0,9,0,0,0,0,0,0,0,33,8,3,0,16,0,44,1255,33,0,0,35,10,1297,70,252,13,0,264,3,336,3,25,10,0,34,0,34,0,4,0,6,8,0,11,71,275,20,8,304,3,380,0,0,0,0,0,0,0,1327,309,20,11,339,14,1676
POA2904,12,0,284,10,58,3,0,57,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,58,0,0,55,0,69,0,0,0,0,0,0,0,283,65,0,0,70,0,356,114,10,0,0,10,0,121,6,27,0,0,27,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27,0,0,27,0,31,0,0,0,0,0,0,0,121,35,0,0,35,0,157,68,5,0,0,5,0,70,0,13,0,0,20,0,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,20,0,20,0,0,0,0,0,0,0,68,20,0,0,23,0,93,1800,66,0,0,66,0,1869,92,399,7,0,406,0,495,3,14,4,0,22,0,23,3,0,0,0,0,0,3,95,412,16,0,430,0,528,0,0,0,0,0,0,0,1893,481,16,0,502,0,2397
POA2905,11,0,557,25,89,9,0,101,0,122,0,6,4,0,11,0,11,0,0,0,0,0,0,0,25,101,11,0,110,0,135,3,0,0,0,0,0,3,577,106,11,3,121,0,700,208,0,0,0,0,0,207,8,50,5,0,54,0,58,0,3,9,0,12,0,12,0,0,0,0,0,0,0,10,55,10,0,63,0,68,0,0,0,0,0,0,0,214,53,10,0,63,0,278,109,0,0,0,0,0,107,3,25,4,0,26,0,31,0,4,3,0,6,0,6,0,0,0,0,0,0,0,3,23,7,0,30,0,32,0,0,0,0,0,0,0,114,23,7,0,31,0,142,4133,141,0,3,145,9,4286,187,798,44,3,846,0,1034,0,49,29,0,79,0,79,0,5,6,0,11,0,12,185,853,85,3,940,0,1129,3,0,0,0,0,3,8,4328,993,85,5,1083,10,5418
POA2906,12,0,442,12,62,0,0,57,0,76,0,3,0,0,0,0,5,0,0,0,0,0,0,0,14,65,4,0,67,0,81,0,0,0,0,0,0,0,446,77,4,0,81,0,522,158,4,0,0,4,0,167,8,44,3,0,50,0,54,0,3,5,0,6,0,6,0,0,0,0,0,0,0,8,47,5,0,57,0,56,0,0,0,0,0,0,0,166,54,5,0,61,0,224,73,3,0,0,3,0,78,0,21,3,0,28,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,28,0,31,0,0,0,0,0,0,0,76,31,3,0,29,0,105,2790,104,0,0,104,8,2897,115,498,22,0,518,0,639,3,24,7,0,25,0,31,0,6,0,0,6,0,6,120,522,29,0,554,0,675,3,0,0,0,0,0,7,2914,625,29,0,656,7,3576
POA2911,0,0,33,0,30,0,0,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,31,0,30,0,0,0,0,0,0,0,36,28,4,0,34,0,64,15,0,0,0,0,0,15,0,14,4,0,15,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,15,0,16,0,0,0,0,0,0,0,15,14,4,0,15,0,32,4,0,0,0,0,0,4,0,7,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,7,0,0,0,0,0,0,0,4,7,0,0,7,0,11,477,21,0,0,27,0,501,48,454,11,0,464,0,508,0,14,3,0,19,0,19,0,0,0,0,0,0,0,48,465,16,0,485,0,533,0,0,0,0,0,0,0,520,486,16,0,508,0,1031
POA2912,3,0,74,4,35,0,0,35,0,42,0,3,10,0,13,0,13,0,0,0,0,0,0,0,4,37,12,0,50,0,52,0,0,0,0,0,0,0,75,45,12,0,49,0,120,17,0,0,0,0,0,17,3,20,0,0,25,0,27,0,3,3,0,10,0,10,0,0,0,0,0,0,0,3,24,3,0,28,0,32,0,0,0,0,0,0,0,25,24,3,0,28,0,51,5,0,0,0,0,0,5,0,10,0,0,18,0,18,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,17,0,0,19,0,19,0,0,0,0,0,0,0,5,17,0,0,19,0,24,546,29,0,0,29,0,575,58,455,23,4,480,0,537,0,32,38,0,73,0,73,0,4,0,0,3,0,3,58,498,59,3,560,0,615,0,0,0,0,0,0,0,599,526,59,3,585,4,1193
POA2913,11,0,589,25,213,4,3,224,0,249,0,15,10,0,31,0,32,0,0,0,0,0,0,0,26,232,22,4,250,0,278,0,0,0,0,0,0,0,596,243,22,4,264,0,865,233,10,0,0,10,0,239,8,151,7,0,160,0,169,0,23,7,0,32,0,32,0,0,0,0,0,0,0,12,175,12,0,190,0,204,0,0,0,0,0,0,0,244,185,12,0,196,0,439,67,3,0,0,3,3,72,10,71,0,0,72,0,82,0,6,0,0,10,0,10,0,0,0,0,0,0,0,10,77,4,0,77,0,88,0,0,0,0,0,0,0,75,78,4,0,85,5,163,4341,207,0,3,212,5,4556,313,2346,74,15,2428,3,2746,4,156,90,7,247,0,255,3,7,0,0,7,0,16,317,2509,166,15,2687,4,3008,9,3,0,0,3,3,14,4665,2722,166,21,2904,9,7578
POA2914,15,0,372,32,198,9,0,206,0,238,0,19,11,0,23,0,23,0,0,0,0,0,0,0,32,217,16,0,232,0,260,0,0,0,0,0,0,0,393,231,16,0,248,0,636,132,7,0,0,7,0,136,14,105,10,0,118,0,130,0,4,6,0,13,0,13,0,0,0,0,0,0,0,15,115,17,0,126,0,144,0,0,0,0,0,0,0,145,122,17,0,135,0,279,42,0,0,0,0,0,40,3,49,0,0,55,0,56,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,54,6,0,55,0,63,0,0,0,0,0,0,0,44,52,6,0,58,0,100,3710,181,0,0,181,0,3892,327,2368,56,14,2435,0,2762,0,147,79,0,224,0,224,0,6,0,0,11,0,11,333,2522,129,17,2667,0,2998,3,3,0,0,3,3,10,4044,2708,129,17,2853,3,6900
