POA_CODE_2016,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
POA2612,32,0,0,0,34,4,0,35,0,0,0,0,0,0,0,0,0,0,0,0,140,23,0,0,161,6,4,6,174,6,0,175,50,10,3,0,64,0,0,0,66,4,0,65,29,0,0,0,29,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,0,0,4,81,9,3,0,89,0,0,4,92,4,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,9,3,0,95,0,0,4,99,4,0,100,10,0,0,0,12,0,0,0,12,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,85,13,3,0,103,0,0,4,108,3,0,111,64,4,0,0,66,3,0,3,69,9,0,78,28,5,0,0,31,0,0,0,35,0,0,39
POA2614,63,3,0,3,61,14,0,77,0,0,0,0,0,0,0,0,0,0,0,0,417,51,6,7,484,10,0,10,493,42,0,527,118,7,6,0,134,0,0,0,133,4,0,137,80,7,4,4,93,0,0,0,97,4,0,104,3,3,0,0,7,0,0,0,7,0,0,7,3,0,0,0,3,0,0,0,4,0,0,4,204,22,7,6,233,4,0,4,238,10,0,248,0,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,4,0,0,4,3,0,0,0,6,0,0,0,8,0,0,8,206,21,7,6,241,4,0,4,241,10,0,254,23,5,0,0,26,0,0,0,33,3,0,37,0,0,0,0,0,0,0,0,0,0,0,0,234,26,8,6,270,8,0,8,276,21,0,295,167,16,3,0,190,0,0,0,196,8,0,198,96,12,3,0,112,0,0,0,112,4,0,116
POA2615,129,0,3,3,136,33,0,167,0,0,0,0,3,0,0,0,3,0,0,3,948,118,14,10,1091,13,5,18,1111,54,5,1167,276,34,5,0,311,4,3,10,315,9,0,333,204,21,3,0,227,5,0,7,238,3,0,242,10,0,0,0,11,0,0,0,11,0,0,11,0,0,0,4,3,0,0,0,3,0,0,3,489,57,5,4,553,11,3,14,570,14,0,589,9,0,0,0,10,0,0,0,8,0,0,12,6,3,0,0,10,0,0,0,10,0,0,10,10,3,0,0,12,3,0,3,17,0,0,17,501,62,5,4,573,13,3,13,585,15,0,602,79,10,3,0,96,3,0,3,99,27,0,118,0,0,0,0,0,0,0,0,0,0,7,7,578,68,7,3,661,14,3,16,684,41,7,730,391,35,3,0,432,0,3,6,435,29,0,465,225,34,3,0,269,3,0,3,272,12,0,278
POA2617,60,0,0,0,57,15,0,79,3,0,0,3,7,0,0,0,7,0,0,8,452,60,11,7,535,3,0,3,534,42,0,584,124,17,3,0,150,0,0,0,148,6,0,157,124,19,3,0,143,0,0,0,143,3,0,146,9,0,0,0,9,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,255,34,5,4,297,0,0,0,301,11,0,313,3,0,0,0,5,0,0,0,5,0,0,5,3,0,0,0,3,0,0,0,3,0,0,3,9,0,0,0,10,0,0,0,10,0,0,10,257,39,5,3,304,0,0,0,309,11,0,321,36,6,3,0,47,0,0,0,47,7,0,51,0,0,0,0,0,0,0,0,0,0,0,0,296,43,7,3,352,0,0,0,351,21,0,377,209,30,3,0,239,0,0,6,242,19,0,254,115,9,5,0,134,3,0,3,138,4,0,143
POA2618,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,42,8,5,0,54,0,0,0,54,0,0,55,6,0,0,0,7,0,0,0,7,0,0,10,19,3,0,0,18,0,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,0,0,28,0,0,0,28,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,4,0,0,29,0,0,0,29,0,0,35,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,31,4,0,0,35,0,0,0,35,0,0,36,20,0,0,0,19,0,0,0,19,5,0,23,24,3,0,0,26,0,0,0,26,0,0,26
POA2900,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,14,0,0,0,14,3,0,15,4,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,5,0,0,0,6,0,0,6,9,0,0,0,9,0,0,0,9,0,0,9,0,3,0,0,8,0,0,0,8,0,0,8
POA2902,43,0,0,0,45,10,0,52,0,0,0,0,0,0,0,0,0,0,3,3,320,37,3,4,364,6,0,3,370,31,3,401,94,11,0,0,111,0,0,3,112,4,0,118,88,14,0,0,99,0,0,0,98,4,0,100,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,5,0,0,0,5,0,0,5,186,23,0,0,209,0,0,3,217,8,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,26,0,0,212,0,0,3,219,8,0,225,23,3,0,3,28,0,0,3,29,5,0,36,0,0,0,0,0,0,0,0,0,0,0,0,208,26,0,7,242,3,3,3,247,14,0,265,141,17,0,0,161,3,0,4,166,10,0,171,94,6,0,0,102,0,0,0,109,6,0,113
POA2903,28,0,0,0,28,8,0,37,0,0,0,0,0,0,0,0,0,0,0,0,180,28,5,4,211,4,3,6,222,20,0,243,52,0,0,0,55,0,0,0,55,0,0,57,49,4,0,0,53,0,0,0,53,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,103,8,0,0,115,0,0,0,115,4,0,118,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0,7,0,0,7,104,8,0,0,115,0,0,4,121,4,0,126,14,0,0,0,15,0,0,0,14,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,122,10,4,0,130,0,0,3,136,9,3,147,85,4,0,0,87,0,0,0,93,9,0,102,55,7,0,0,61,0,0,0,59,0,0,60
POA2904,39,0,0,0,39,3,0,44,4,0,0,0,4,0,0,0,4,0,3,5,288,24,0,6,317,0,0,0,316,4,3,327,92,9,3,0,104,3,0,3,106,3,0,107,47,9,0,0,55,3,0,3,61,9,0,63,3,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,147,14,3,0,162,3,0,3,166,12,0,177,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,5,0,0,5,147,14,3,0,168,5,0,5,173,12,0,182,22,3,0,0,29,0,0,0,24,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,168,20,3,3,192,5,0,5,200,14,0,213,179,12,8,5,205,0,0,0,205,9,0,210,71,11,0,0,86,0,0,0,86,0,0,87
POA2905,113,0,0,0,117,14,0,130,0,0,0,0,0,0,0,0,0,0,3,4,617,78,4,11,716,11,0,11,726,36,3,765,196,23,7,3,222,3,0,3,220,6,0,229,119,14,0,3,139,6,0,6,144,6,0,152,8,0,3,0,9,3,0,3,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,320,38,8,6,368,6,0,6,382,16,0,393,3,0,0,0,3,0,0,0,3,0,0,4,7,0,0,0,7,0,0,0,9,0,0,9,13,0,0,0,13,0,0,0,9,0,0,14,335,38,8,6,378,9,0,9,388,18,0,408,45,8,0,0,50,0,0,0,52,10,0,56,0,0,0,0,0,0,0,0,0,0,0,0,377,43,6,3,429,10,0,10,444,22,0,468,302,30,8,0,344,3,0,3,349,21,0,370,160,20,4,4,186,4,0,4,194,5,0,195
POA2906,52,0,0,0,52,4,0,55,0,0,0,0,0,0,0,0,0,0,0,0,432,32,11,5,482,4,0,5,488,14,0,506,140,20,0,0,154,0,0,3,158,3,0,164,112,13,3,0,127,3,0,3,125,3,0,133,3,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,252,28,9,3,288,0,0,3,291,9,0,299,3,0,0,0,3,0,0,0,4,0,0,4,3,0,0,0,4,0,0,0,4,0,0,4,5,0,0,0,10,0,0,0,7,0,0,7,259,31,9,3,297,6,0,4,303,9,0,312,28,3,0,0,34,0,0,0,39,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,289,29,9,3,335,9,0,9,344,11,0,353,254,14,0,3,274,4,0,4,273,3,0,277,134,15,3,0,155,3,0,3,157,6,0,163
POA2911,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,96,4,0,0,98,0,0,0,98,0,0,105,27,0,0,0,34,0,0,0,34,0,0,29,21,0,0,0,21,0,0,0,21,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,57,0,0,0,57,3,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,55,0,0,0,55,3,0,54,4,0,0,0,4,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,60,0,0,0,60,3,0,63,25,3,0,0,31,0,0,0,31,0,0,32,28,0,0,0,30,0,0,0,30,0,0,25
POA2912,19,0,0,0,23,6,0,27,0,0,0,0,0,0,0,0,0,0,0,0,139,21,0,0,162,8,0,9,169,8,0,175,32,3,0,0,41,3,0,0,39,0,0,40,17,3,0,0,26,0,0,0,26,0,0,26,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,54,3,0,0,65,3,0,0,66,0,0,65,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,4,60,3,0,0,68,3,0,0,72,0,0,71,9,5,0,0,16,0,0,0,16,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,67,14,0,0,81,3,0,0,84,5,0,88,52,12,4,0,65,3,0,3,68,3,0,70,25,7,0,5,30,0,0,0,30,0,0,32
POA2913,120,3,3,4,124,9,0,141,0,0,0,0,0,0,0,0,0,0,0,0,810,85,10,12,917,12,4,22,935,37,3,976,243,20,10,5,273,5,0,3,278,8,0,289,167,16,0,0,183,0,0,0,183,0,0,186,13,0,0,0,10,0,0,0,10,0,0,10,3,0,0,0,3,0,0,0,3,0,0,3,426,34,8,4,477,7,0,4,478,10,0,488,3,0,0,0,7,0,0,0,7,0,0,8,5,0,0,0,5,0,0,0,6,0,0,6,13,0,0,0,12,0,0,0,13,0,0,17,438,36,12,4,487,7,0,6,496,11,0,504,56,3,5,0,63,3,0,8,67,6,0,74,0,0,0,0,0,0,0,0,0,0,0,0,489,41,11,4,551,8,3,13,559,21,3,581,412,26,4,3,450,3,3,6,453,19,0,472,212,28,8,4,248,0,0,0,250,8,0,251
POA2914,142,3,0,3,146,9,0,155,0,0,0,0,0,0,0,0,0,0,0,0,875,59,9,8,947,13,3,16,971,30,0,996,260,20,0,0,280,4,0,6,287,8,0,295,148,12,3,0,163,3,0,3,164,0,0,168,9,0,4,0,10,0,0,0,10,0,0,10,4,0,0,0,4,0,0,0,4,0,0,4,423,32,7,0,459,3,0,4,467,10,0,475,3,0,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,3,0,0,3,6,0,0,0,6,4,0,4,7,0,0,6,427,32,7,0,463,5,0,8,470,11,0,481,54,8,0,3,63,0,0,0,63,9,0,73,3,0,0,0,3,0,0,0,3,0,0,4,481,34,9,3,531,8,0,10,540,21,0,559,297,24,4,0,326,3,0,6,333,9,0,344,165,8,0,0,174,0,0,0,176,0,0,183
