POA_CODE_2016,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
POA2612,0,7,13,4,5,0,0,25,0,3,0,0,3,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,11,4,8,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,15,4,8,0,0,40,3,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,11,16,4,10,0,0,49,7,17,8,9,8,4,3,58,3,12,6,3,7,4,0,34,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,13,28,15,13,15,7,6,96,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,30,15,13,18,11,8,108,17,15,8,5,4,7,0,49,0,0,0,0,0,0,0,0,28,44,21,17,20,13,12,153,8,19,17,18,14,4,7,87
POA2614,4,13,6,4,10,8,3,52,0,3,0,0,3,0,0,16,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7,26,9,11,16,8,3,76,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,9,5,29,16,13,14,8,3,82,0,0,4,3,7,0,0,17,0,0,0,0,0,0,0,0,11,28,17,16,24,6,5,101,21,34,44,30,52,25,13,220,18,38,23,21,19,7,0,126,8,0,0,0,0,0,0,13,0,5,0,0,0,0,0,6,50,77,77,47,68,28,17,370,0,4,0,0,7,0,0,19,3,6,0,0,0,0,0,17,3,12,0,7,6,4,0,34,55,88,79,54,82,29,17,400,60,59,29,16,21,3,3,193,0,0,0,0,0,0,0,5,111,149,109,75,104,33,24,602,23,45,55,40,62,26,16,271
POA2615,19,41,44,37,40,8,5,193,3,6,4,4,10,0,0,27,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,20,52,56,41,49,13,5,235,0,0,4,0,3,0,0,12,0,0,0,0,3,0,0,3,0,3,4,0,7,0,0,13,25,52,58,40,50,13,5,243,9,19,9,10,12,6,3,67,0,0,0,0,0,0,0,5,35,70,69,54,59,22,7,324,74,124,107,69,97,34,15,520,77,154,103,53,73,19,6,497,20,10,3,3,8,3,3,45,0,0,0,0,0,3,0,5,173,287,219,129,181,62,22,1069,5,0,0,0,5,3,7,24,16,18,9,11,10,3,0,57,20,19,14,11,19,7,7,87,192,308,232,140,198,66,27,1156,176,183,76,42,58,23,13,568,4,3,0,0,0,0,0,12,372,488,310,184,256,86,41,1737,89,167,152,105,133,44,19,716
POA2617,8,19,12,19,35,11,6,105,4,6,3,3,5,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,28,14,23,41,16,6,132,0,3,0,0,5,0,0,6,0,0,4,0,0,0,0,0,0,3,3,0,3,0,0,8,13,26,16,23,44,16,6,147,3,10,0,6,3,0,0,20,0,0,0,0,0,0,0,0,12,32,21,26,49,14,7,163,23,52,53,42,72,26,14,283,51,43,30,20,14,7,3,170,6,10,3,3,5,0,0,31,6,7,0,0,5,0,0,20,85,105,86,66,103,36,14,494,0,6,0,0,3,0,0,11,3,0,0,0,3,0,0,15,3,8,3,3,8,0,0,25,90,112,89,69,107,33,14,521,70,59,40,23,20,3,7,219,0,0,0,0,0,0,0,0,158,174,128,91,124,37,17,740,35,77,60,58,109,38,19,387
POA2618,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,3,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,3,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,4,3,0,21,0,3,0,0,3,0,0,10
POA2900,0,0,0,0,3,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,3,6,3,17,4,0,4,5,0,3,0,15,0,6,3,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,6,4,3,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,4,10,6,4,3,0,38,10,4,0,3,4,0,0,21,0,0,0,0,0,0,0,0,15,8,11,6,7,7,0,55,4,0,7,5,3,6,3,24
POA2902,3,11,11,8,17,6,3,64,3,3,5,3,7,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,13,11,27,8,3,95,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,22,19,11,27,8,3,95,3,4,0,0,4,3,0,20,0,0,0,0,0,0,0,0,9,25,21,15,32,11,7,110,18,30,41,34,45,22,6,188,34,41,23,23,23,4,0,139,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,53,67,60,52,67,28,6,332,3,3,3,3,3,0,0,19,12,17,5,0,3,0,0,36,15,20,11,3,4,0,0,47,64,84,68,52,71,29,4,382,71,53,41,13,11,13,4,200,4,0,0,0,0,0,0,3,142,139,113,68,86,39,7,588,22,44,48,34,62,29,7,250
POA2903,3,16,9,6,4,5,0,41,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,8,8,8,9,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,8,6,8,9,0,54,3,4,4,3,3,0,0,19,0,0,0,0,0,0,0,0,7,23,12,7,10,8,0,75,14,23,16,9,27,8,0,98,18,24,22,5,6,0,4,76,0,0,0,0,10,0,0,11,0,0,3,0,0,0,0,3,31,48,38,16,41,12,4,188,0,3,0,3,0,0,0,11,0,5,12,0,0,0,0,14,3,4,7,6,0,0,0,23,33,52,53,19,39,12,5,214,47,31,18,7,16,11,0,126,0,0,0,0,0,0,0,3,80,83,66,31,62,16,4,344,12,33,24,16,32,11,0,141
POA2904,0,17,7,6,14,0,3,49,0,0,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,9,6,16,3,8,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,6,16,4,8,64,0,3,5,0,0,0,0,11,0,0,0,0,0,0,0,0,3,17,15,6,16,7,4,74,7,35,18,17,40,25,9,148,15,28,12,18,22,5,3,106,0,0,0,0,4,0,0,9,0,3,0,0,0,0,0,6,28,67,32,32,64,34,9,266,0,4,0,3,4,0,3,15,0,0,0,0,0,0,0,0,0,4,0,3,3,0,3,15,29,65,34,38,67,31,12,275,24,27,15,12,4,3,4,84,0,0,0,0,0,0,0,0,55,94,50,46,74,37,12,365,7,49,27,20,50,27,12,196
POA2905,19,25,22,15,24,12,7,121,3,9,3,0,0,0,3,13,0,0,3,0,0,4,0,3,0,0,0,0,0,0,0,0,18,36,32,12,23,10,10,144,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,19,33,28,12,28,16,10,153,5,5,7,6,6,3,3,35,0,0,0,0,0,0,0,4,29,44,39,19,35,20,11,194,42,74,70,65,116,42,21,432,73,91,66,44,58,10,3,340,9,3,9,4,5,3,0,27,0,3,0,0,3,0,0,7,123,171,137,112,176,56,27,816,3,18,13,5,3,0,0,38,4,6,3,3,3,0,0,20,11,21,15,4,7,0,0,57,135,191,156,122,186,54,27,871,111,99,66,32,43,11,11,379,4,0,0,0,0,0,0,3,250,291,221,153,232,65,34,1254,56,102,93,82,139,50,32,551
POA2906,8,8,19,4,14,3,0,52,0,0,0,5,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,15,20,7,19,3,3,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,20,7,19,3,3,71,0,6,4,4,4,0,0,23,0,0,0,0,0,0,0,0,11,18,23,14,19,9,3,92,29,54,50,33,73,28,13,282,40,54,43,23,36,4,3,199,11,3,3,0,3,3,0,23,0,0,0,0,0,0,0,7,76,115,97,57,115,35,20,508,0,4,4,0,4,0,0,10,6,9,3,0,0,0,0,21,6,8,6,0,8,3,0,29,78,120,101,57,123,39,20,538,94,66,30,7,13,7,3,220,6,0,0,0,0,0,0,6,179,192,137,63,133,41,24,765,34,68,68,35,85,28,15,335
POA2911,4,11,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,17,7,12,10,6,6,3,0,43,4,4,7,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,12,10,7,4,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,12,10,7,4,0,68,0,0,3,0,3,0,0,10,0,0,0,0,0,0,0,0,11,17,14,11,11,5,0,78,10,19,9,9,8,3,3,63
POA2912,3,0,0,6,12,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,16,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,16,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,16,0,0,28,8,17,5,7,15,5,8,55,8,8,9,6,4,3,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,24,9,17,20,11,10,99,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,6,0,0,3,4,0,0,0,8,16,26,12,16,20,11,10,103,16,3,4,4,3,3,0,38,0,0,0,0,0,0,0,0,28,27,21,17,20,16,13,138,9,19,9,14,24,6,8,85
POA2913,5,42,23,24,22,18,5,143,3,7,0,0,5,4,0,26,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,12,51,30,24,32,20,5,174,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3,12,53,30,24,32,20,5,172,3,3,6,7,7,3,0,22,0,0,0,0,0,0,0,0,16,53,37,25,36,21,6,200,49,100,87,59,101,45,13,462,53,91,44,28,46,25,9,292,12,7,3,9,5,3,0,39,0,0,0,0,0,0,0,3,120,202,130,95,151,73,28,796,3,4,3,5,0,0,0,18,3,4,3,0,7,0,0,23,7,12,6,5,9,0,0,43,122,211,142,101,161,73,25,839,76,62,42,18,15,15,3,237,0,0,0,0,0,0,0,0,204,271,178,119,180,91,33,1072,50,140,111,80,127,64,25,603
POA2914,11,20,19,12,20,7,7,97,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,23,22,12,18,11,6,103,0,5,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,10,14,24,24,12,20,10,6,117,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,15,30,31,14,20,10,6,120,36,86,51,36,63,31,11,314,21,54,37,26,23,5,3,162,9,0,3,0,3,0,0,15,0,0,0,0,0,0,0,8,63,143,94,64,88,38,9,502,5,7,3,0,0,0,0,20,6,9,6,0,0,0,0,25,12,14,12,0,3,0,0,45,78,152,105,68,90,43,11,539,64,61,34,23,16,6,0,203,0,0,0,0,0,0,0,3,135,213,140,84,103,47,16,742,50,108,72,50,84,35,13,409
