POA_CODE_2016,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
POA2612,411,1414,2032,825,612,507,314,110,55,6285,7,16,43,27,32,29,4,3,4,170,6,14,66,43,89,71,30,16,11,345,0,0,13,5,10,9,16,4,7,71,0,0,7,5,18,12,10,10,9,65,0,3,4,4,4,0,3,3,0,25,32,143,254,132,110,83,56,29,9,846,460,1599,2418,1046,883,715,430,179,84,7810,284,1110,1840,721,571,426,303,137,55,5453,4,14,25,18,15,19,15,13,9,117,4,22,51,26,53,55,62,48,28,349,6,9,6,7,5,6,18,13,11,78,3,0,6,0,7,9,15,19,15,70,0,0,0,0,6,8,5,0,0,25,38,113,201,91,63,36,52,35,26,651,341,1265,2120,863,723,565,465,262,140,6744,694,2526,3869,1547,1186,938,618,247,108,11741,12,29,63,43,46,43,22,12,6,285,10,34,109,74,148,127,94,66,36,696,7,11,22,13,16,19,32,15,16,151
POA2614,139,574,1008,1118,966,695,614,326,83,5534,8,15,43,37,51,28,29,16,8,236,20,48,75,82,164,105,123,77,35,736,8,14,15,6,12,22,23,28,9,138,3,0,9,12,9,22,39,45,30,169,0,0,7,0,5,3,6,9,10,35,17,31,67,66,61,33,69,72,26,448,199,692,1221,1326,1264,909,905,579,204,7296,158,484,1108,1232,966,742,606,269,100,5670,12,21,29,29,39,51,46,38,13,285,8,33,65,43,146,159,247,143,49,891,5,10,9,14,13,29,70,38,27,201,0,3,11,10,8,21,57,72,51,230,0,0,3,3,5,3,3,10,9,40,12,32,59,61,55,43,67,79,85,492,188,587,1286,1397,1238,1046,1091,650,333,7812,296,1062,2112,2349,1928,1439,1219,601,181,11201,18,39,75,71,89,76,70,50,23,517,23,85,146,127,310,261,368,220,83,1624,8,17,22,23,30,46,93,60,36,338
POA2615,344,1012,2359,2602,1620,1257,984,339,66,10584,56,69,176,181,158,119,61,22,4,848,82,158,389,394,602,484,377,129,20,2631,16,16,42,66,75,96,139,40,15,504,3,4,24,27,36,64,117,74,30,380,0,4,11,9,13,7,4,18,0,73,55,67,163,150,108,118,111,67,21,868,557,1330,3165,3431,2610,2149,1790,697,158,15886,339,1010,2861,2859,1744,1317,867,226,46,11273,47,48,146,155,138,153,109,19,4,821,50,107,259,333,561,671,621,220,67,2878,17,22,44,47,72,130,175,75,38,616,6,8,18,29,51,109,143,107,59,533,0,5,10,16,12,17,18,18,5,100,55,65,150,138,140,156,141,72,41,972,517,1264,3482,3575,2724,2548,2079,742,261,17192,687,2016,5219,5462,3364,2569,1859,564,112,21856,103,118,320,335,293,269,170,42,13,1668,129,266,645,720,1161,1150,996,346,88,5509,33,36,81,111,150,228,314,114,46,1120
POA2617,400,1749,2739,1857,1152,1062,699,203,77,9932,30,67,86,73,67,58,37,10,4,430,27,80,164,155,281,263,217,71,13,1276,6,25,20,24,28,58,74,40,6,282,0,11,15,16,20,41,81,69,17,264,0,3,13,8,12,11,8,8,5,63,63,147,239,144,126,104,94,52,32,1003,524,2082,3273,2278,1691,1602,1203,443,163,13252,425,1824,2783,1817,1176,1039,576,194,74,9899,25,48,74,60,71,73,50,27,5,434,22,51,131,96,271,455,319,127,46,1510,3,27,16,23,27,61,94,44,25,318,4,6,6,15,18,66,102,82,43,350,0,4,18,12,7,11,14,9,9,83,53,173,178,131,90,139,93,64,83,1004,531,2140,3197,2155,1656,1836,1245,542,284,13589,824,3575,5522,3674,2324,2097,1274,395,150,19838,51,118,157,132,140,132,91,35,14,861,50,131,293,251,549,714,532,200,55,2782,14,52,36,50,57,123,166,81,30,601
POA2618,19,31,30,64,70,51,55,18,0,337,0,0,3,0,3,4,3,0,0,24,3,3,10,11,31,19,14,10,0,103,0,0,0,0,3,0,7,3,0,21,0,0,0,0,0,0,4,3,0,7,0,0,0,0,0,0,0,0,0,3,4,5,9,6,8,5,5,5,0,51,27,43,50,88,112,88,88,44,5,548,17,25,36,91,79,64,51,13,3,374,0,0,0,4,3,4,3,3,0,24,0,0,5,9,19,25,24,6,0,93,0,0,0,0,0,3,3,3,0,11,0,0,0,0,0,8,0,4,0,7,0,0,0,0,0,0,0,0,0,0,7,3,5,11,10,7,8,5,0,55,26,33,50,116,110,106,85,32,3,561,33,59,67,156,145,110,106,33,3,714,0,3,5,7,6,5,9,3,0,44,4,8,18,23,51,44,36,20,0,194,0,0,0,0,3,3,13,6,0,27
POA2900,16,54,202,123,66,69,48,23,3,601,0,3,6,6,3,7,4,3,0,34,3,6,14,9,13,18,16,0,0,82,0,0,5,3,3,6,3,3,0,24,0,0,0,0,3,0,4,3,0,15,0,0,0,0,0,0,0,0,0,0,3,4,18,10,9,7,6,3,0,55,24,72,243,152,101,103,85,37,7,814,8,59,188,93,68,65,37,18,6,550,4,3,0,0,9,6,8,0,3,34,4,10,13,9,31,40,47,18,3,163,0,0,0,3,3,4,7,8,3,28,0,0,0,0,5,0,3,5,3,16,0,0,0,0,0,0,3,0,0,3,0,3,19,7,6,13,9,0,3,58,16,70,228,116,118,125,117,54,16,857,27,106,392,219,129,135,90,39,14,1147,4,8,4,13,14,14,13,3,3,69,4,18,26,20,45,55,58,18,4,248,4,0,5,6,7,7,6,11,3,51
POA2902,108,299,636,754,650,548,464,123,19,3609,12,27,42,52,54,42,50,11,3,285,26,54,107,118,174,206,161,48,9,909,3,7,7,15,30,40,60,13,10,178,0,0,3,15,7,34,58,26,8,156,0,0,3,9,0,3,0,3,0,22,14,19,50,53,40,45,56,36,5,317,168,408,851,1015,963,914,854,261,44,5479,116,275,664,861,708,603,389,110,21,3754,19,19,34,41,57,56,35,8,0,267,19,40,90,87,184,295,255,76,14,1062,4,9,9,22,24,50,63,20,7,213,0,3,3,8,9,39,56,37,9,176,0,0,0,0,3,3,5,3,0,23,23,26,44,58,62,63,59,30,8,365,187,374,846,1080,1036,1121,863,291,72,5858,228,578,1298,1620,1360,1159,854,234,39,7363,31,47,80,91,104,91,84,21,5,557,50,86,199,212,354,504,414,128,25,1970,12,22,18,34,52,88,120,34,13,394
POA2903,78,210,415,479,380,395,263,76,8,2301,17,15,20,36,40,25,24,6,0,182,19,41,58,70,121,142,96,21,6,570,3,11,7,16,15,15,23,20,0,110,0,0,0,6,0,18,31,20,5,81,0,0,0,0,3,0,5,0,3,13,6,9,23,30,33,38,28,10,3,185,124,287,525,633,597,638,459,153,32,3444,66,198,453,507,423,428,206,48,12,2343,13,8,25,29,35,37,23,5,0,171,12,20,54,55,126,220,121,32,8,656,4,6,9,7,14,30,34,13,10,135,0,0,0,3,8,20,27,18,11,90,0,0,0,7,0,3,4,4,0,19,6,10,23,28,30,39,36,18,3,197,103,240,560,633,648,773,462,141,53,3618,145,403,861,990,807,824,470,121,20,4644,27,27,46,64,74,56,46,10,3,357,28,61,118,124,249,365,214,50,15,1224,6,16,14,22,30,49,61,34,14,242
POA2904,110,335,564,616,589,670,340,89,41,3342,6,18,35,26,54,54,29,15,0,242,11,25,72,58,138,190,121,40,20,677,7,9,8,3,12,27,49,13,7,135,0,0,0,3,10,15,29,27,6,88,0,0,0,0,0,3,3,0,0,9,18,15,16,28,38,40,42,36,37,258,152,409,695,733,835,997,616,216,106,4763,114,302,611,667,688,673,258,69,32,3420,7,7,25,32,42,65,36,18,4,236,11,24,52,60,170,294,169,104,31,917,0,3,0,15,19,37,45,27,19,171,0,4,8,3,9,25,37,45,28,149,0,0,0,0,0,0,0,4,4,16,9,10,19,35,41,45,41,66,103,371,144,352,720,811,973,1130,586,332,221,5274,227,644,1172,1278,1276,1344,595,161,72,6762,17,32,62,56,97,114,67,27,10,484,25,51,123,118,306,480,288,147,51,1594,8,10,12,16,36,61,100,42,27,311
POA2905,302,751,1492,1319,1074,1018,373,136,28,6490,38,61,138,105,138,113,50,10,3,650,68,155,344,252,548,510,186,73,16,2158,15,24,31,40,66,83,67,28,8,360,5,5,16,21,30,53,66,43,18,251,0,3,3,7,5,9,8,0,0,37,29,56,105,77,93,94,60,42,24,587,460,1061,2120,1828,1951,1878,809,333,90,10531,286,744,1642,1498,1366,946,347,101,22,6954,26,41,95,102,138,119,42,14,5,581,60,106,242,236,574,620,281,124,30,2279,15,11,28,28,64,96,83,39,13,397,9,6,7,14,21,58,83,74,39,306,0,0,5,0,8,11,8,8,8,47,46,44,98,82,96,98,72,47,30,611,443,957,2119,1961,2274,1937,921,406,150,11166,591,1498,3131,2816,2435,1962,722,237,44,13441,68,100,228,208,273,233,95,16,8,1234,128,262,584,489,1125,1130,466,203,50,4433,32,37,59,70,135,175,154,65,24,752
POA2906,197,475,798,805,810,528,214,74,21,3925,25,27,67,71,103,67,23,5,0,385,52,84,184,163,381,253,89,48,7,1263,13,16,17,22,28,35,48,25,8,199,3,3,6,8,8,28,28,19,5,117,0,0,4,6,7,0,7,3,3,26,22,33,48,71,73,48,28,25,11,358,311,641,1113,1141,1405,960,441,206,55,6270,244,542,931,959,1004,438,160,68,20,4361,11,24,71,69,99,67,19,7,5,372,40,71,163,178,391,281,183,81,16,1406,7,9,16,17,43,63,40,38,7,243,0,0,5,5,15,27,48,34,12,147,0,0,10,3,7,4,9,4,3,37,36,23,56,54,74,27,38,31,8,352,335,668,1249,1275,1638,903,502,267,78,6914,433,1018,1728,1760,1813,968,375,148,40,8278,34,50,137,140,202,131,45,10,11,759,92,154,349,333,771,529,274,130,20,2669,19,18,30,40,72,95,86,57,13,440
